tarih,bkea_std_isletme,bkea_std_kobi,bkea_std_buyuk,bkea_talep,bkea_talep_bek,bkea_std_konut,bkea_std_tasit,bkea_std_diger
2024-01-01,-11.1,6.1,-12.2,7.5,-21.6,-15.1,-15.1,-23.4
2024-04-01,-13.4,-0.9,-12.3,-26.6,1.3,-3.3,-0.7,-11.0
2024-07-01,-17.7,-6.0,-17.7,-12.5,-0.9,-4.0,-1.5,-13.0
2024-10-01,0.0,0.0,0.0,20.1,36.0,14.2,13.5,0.4
2025-01-01,1.0,20.2,-15.8,26.5,49.1,1.2,0.7,8.5
2025-04-01,-11.4,-1.1,-14.2,20.9,44.0,0.6,-2.5,18.8
2025-07-01,0.9,11.1,11.1,-11.5,51.6,1.2,1.2,-1.3
2025-10-01,4.1,22.0,-7.4,39.4,74.4,0.6,0.6,0.0
2026-01-01,5.4,23.3,5.4,51.9,58.2,18.3,0.0,-5.3
2026-04-01,-20.4,-20.4,-20.4,41.1,54.4,-0.6,-0.6,-18.2
