tarih,kredi_ar_13y,kredi_ham_13y,enf_3a,enf_6a,enf_yillik
2024-09-01,30.658743976196835,37.49649115987823,39.14448939777666,40.16855852576855,49.384993852763245
2024-10-01,28.106681392278244,34.96185018672504,35.72237563010467,41.73784733188355,48.584708788127706
2024-11-01,24.648698115100245,28.627845553654844,40.23763058400305,39.8158832346023,47.09272073194559
2024-12-01,24.59142201200979,29.623859030318577,38.44591792682594,38.794764163259,44.378771424028464
2025-01-01,28.199590153692064,34.890919486681106,38.54603739914197,37.1269387463633,42.11802299020802
2025-02-01,35.21301576957349,44.845017098769745,32.7501237049834,36.442525658682335,39.05095761148188
2025-03-01,39.24604530167548,51.466713367100645,33.41023764229148,35.904756396614125,38.10382944582984
2025-04-01,44.15165449270239,59.25072575177575,28.55510223261768,33.45710922154264,37.85866364644805
2025-05-01,42.23998464928448,56.95887875834431,28.936261129417677,30.82929570623025,35.405044152595934
2025-06-01,38.042281234309364,50.39043030192913,29.52865160077172,31.455118544484684,35.04865712412333
2025-07-01,35.81275188843615,46.617233121613594,31.633871765710552,30.08537904820896,33.522409247916144
2025-08-01,33.86041702554168,44.14472364393596,30.12280088091459,29.52817235363443,32.95018219755157
2025-09-01,31.69351291342948,40.65607718840235,31.12296586416949,30.32337074477429,33.294011471927675
2025-10-01,28.237767978645355,35.47619921860846,32.78888457060434,32.210116872645834,32.866855722764484
2025-11-01,27.45811551565371,33.895364336500165,33.41862041629844,31.760405958073523,31.074841098442963
2025-12-01,30.569823404396285,36.56413523649591,31.4570807765894,31.28991703581847,30.892328316136357
2026-01-01,32.91075113303346,38.98614877190379,30.051590298107243,31.41311050393292,30.652780124071576
2026-02-01,37.42811678040202,43.80384272135082,33.453030445067576,33.4358243214887,31.53483745488579
2026-03-01,30.87867392233099,37.29639881448107,31.056033823091056,31.256404127728167,30.865453527292573
2026-04-01,34.109069300051004,40.900253426767314,33.74026810116706,31.883033607253665,32.3717402432574
2026-05-01,28.759277806188315,35.94718491091416,32.86550561793271,33.15894399674877,32.61480199456586
2026-06-01,27.66914041117105,35.9167480594625,34.94141961739581,32.98453764822939,32.10903603221191
2026-07-01,22.498085174580392,31.023605598948592,30.620382340552133,32.171119968404604,31.754096790624352
2026-08-01,24.415338871555207,33.03757870908199,,,
