tarih,f_ticari_tl,f_ticari_dar,f_ihtiyac,f_konut,f_tasit,f_tuketici,mev_tl,kat_ticari,kat_tuketici,politika,aofm,aofm_kaynak_gun,koridor_alt,koridor_ust,aofm_taban_mn_tl,aofm_gecerli,aofm_ham,makas_kredi_mevduat,spread_politika,spread_aofm,pka_12a,pka_yas_gun,reel_ticari,reel_ticari_yaklasik,reel_tuketici,reel_tuketici_yaklasik,reel_mevduat,reel_mevduat_yaklasik
2005-11-25,17.43,,21.62,15.68,18.56,18.15,15.73,,,,,yok,,,,False,,1.6999999999999993,,,,,,,,,,
2005-12-02,19.0,,22.26,16.06,18.42,18.38,15.76,,,,,yok,,,,False,,3.24,,,,,,,,,,
2005-12-09,18.72,,21.17,15.72,18.44,18.18,15.5,,,,,yok,,,,False,,3.219999999999999,,,,,,,,,,
2005-12-16,19.39,,21.87,15.59,18.0,18.05,15.63,,,,,yok,,,,False,,3.76,,,,,,,,,,
2005-12-23,19.27,,21.66,15.35,17.58,17.65,15.68,,,,,yok,,,,False,,3.59,,,,,,,,,,
2005-12-30,16.57,,21.35,15.1,16.78,17.13,15.92,,,,,yok,,,,False,,0.6500000000000004,,,,,,,,,,
2006-01-06,19.5,,21.19,15.1,17.36,17.44,15.5,,,,,yok,,,,False,,4.0,,,,,,,,,,
2006-01-13,,,,,,,,,,,,yok,,,,False,,,,,,,,,,,,
2006-01-20,21.12,,21.39,15.35,18.18,17.85,15.17,,,,,yok,,,,False,,5.950000000000001,,,,,,,,,,
2006-01-27,17.32,,21.48,15.11,17.8,17.54,14.99,,,,,yok,,,,False,,2.33,,,,,,,,,,
2006-02-03,20.55,,21.38,15.01,17.51,17.36,14.94,,,,,yok,,,,False,,5.610000000000001,,,,,,,,,,
2006-02-10,18.75,,21.36,14.91,17.92,17.38,15.13,,,,,yok,,,,False,,3.619999999999999,,,,,,,,,,
2006-02-17,19.64,,21.05,15.0,17.77,17.43,15.0,,,,,yok,,,,False,,4.640000000000001,,,,,,,,,,
2006-02-24,17.4,,20.96,14.66,17.24,17.02,15.0,,,,,yok,,,,False,,2.3999999999999986,,,,,,,,,,
2006-03-03,16.64,,21.08,14.98,17.28,17.19,14.89,,,,,yok,,,,False,,1.75,,,,,,,,,,
2006-03-10,17.28,,20.87,14.86,17.27,17.18,14.85,,,,,yok,,,,False,,2.4300000000000015,,,,,,,,,,
2006-03-17,16.85,,21.13,14.73,17.22,17.18,14.73,,,,,yok,,,,False,,2.120000000000001,,,,,,,,,,
2006-03-24,17.53,,20.83,14.56,16.65,16.88,14.48,,,,,yok,,,,False,,3.0500000000000007,,,,,,,,,,
2006-03-31,16.01,,20.65,14.47,16.1,16.61,14.75,,,,,yok,,,,False,,1.2600000000000016,,,,,,,,,,
2006-04-07,17.15,,20.45,14.07,16.4,16.38,14.75,,,,,yok,,,,False,,2.3999999999999986,,,,,,,,,,
2006-04-14,17.06,,19.99,14.27,16.14,16.24,14.55,,,,,yok,,,,False,,2.509999999999998,,,,,,,,,,
2006-04-21,17.55,,19.71,14.15,16.19,16.37,14.52,,,,,yok,,,,False,,3.030000000000001,,,,,,,,,,
2006-04-28,16.28,,18.39,13.29,13.55,15.84,14.34,,,,,yok,,,,False,,1.9400000000000013,,,,,,,,,,
2006-05-05,16.6,,20.62,13.9,13.47,16.54,14.38,,,,,yok,,,,False,,2.2200000000000006,,,,,,,,,,
2006-05-12,16.23,,18.9,13.81,13.67,16.08,14.34,,,,,yok,,,,False,,1.8900000000000006,,,,,,,,,,
2006-05-19,15.83,,18.98,14.22,13.48,15.98,14.26,,,,,yok,,,,False,,1.5700000000000003,,,,,,,,,,
2006-05-26,15.4,,19.14,14.76,13.96,16.6,14.3,,,,,yok,,,,False,,1.0999999999999996,,,,,,,,,,
2006-06-02,15.97,,20.17,15.69,14.58,17.4,14.09,,,,,yok,,,,False,,1.8800000000000008,,,,,,,,,,
2006-06-09,16.65,,21.36,16.63,16.36,18.56,14.74,,,,,yok,,,,False,,1.9099999999999984,,,,,,,,,,
2006-06-16,17.25,,22.05,17.29,17.25,19.41,15.31,,,,,yok,,,,False,,1.9399999999999995,,,,,,,,,,
2006-06-23,17.76,,22.23,18.23,18.66,20.35,15.12,,,,,yok,,,,False,,2.6400000000000023,,,,,,,,,,
2006-06-30,19.22,,25.57,18.54,20.84,22.63,17.34,,,,,yok,,,,False,,1.879999999999999,,,,,,,,,,
2006-07-07,20.15,,27.45,20.68,22.43,24.89,17.35,,,,,yok,,,,False,,2.799999999999997,,,,,,,,,,
2006-07-14,19.5,,27.76,21.8,23.06,25.52,17.29,,,,,yok,,,,False,,2.210000000000001,,,,,,,,,,
2006-07-21,20.27,,27.82,21.29,23.35,25.43,17.92,,,,,yok,,,,False,,2.349999999999998,,,,,,,,,,
2006-07-28,19.38,,28.04,20.9,22.71,25.29,17.89,,,,,yok,,,,False,,1.4899999999999984,,,,,,,,,,
2006-08-04,20.18,,27.99,21.14,22.35,25.24,17.95,,,,,yok,,,,False,,2.2300000000000004,,,,,,,,,,
2006-08-11,20.02,,28.17,21.83,22.66,25.76,17.92,,,,,yok,,,,False,,2.099999999999998,,,,,,,,,,
2006-08-18,19.7,,27.94,22.02,22.51,25.62,17.96,,,,,yok,,,,False,,1.7399999999999984,,,,,,,,,,
2006-08-25,20.0,,27.73,21.83,22.22,25.41,17.84,,,,,yok,,,,False,,2.16,,,,,,,,,,
2006-09-01,18.92,,27.44,21.55,21.41,24.93,18.03,,,,,yok,,,,False,,0.8900000000000006,,,,,,,,,,
2006-09-08,19.85,,27.16,21.96,21.78,25.07,18.03,,,,,yok,,,,False,,1.8200000000000003,,,,,,,,,,
2006-09-15,19.81,,26.97,21.63,21.54,24.58,18.06,,,,,yok,,,,False,,1.75,,,,,,,,,,
2006-09-22,20.56,,26.8,21.96,21.45,24.7,17.82,,,,,yok,,,,False,,2.7399999999999984,,,,,,,,,,
2006-09-29,19.77,,26.93,21.66,21.3,24.54,18.27,,,,,yok,,,,False,,1.5,,,,,,,,,,
2006-10-06,20.43,,26.94,21.54,21.55,24.63,18.22,,,,,yok,,,,False,,2.210000000000001,,,,,,,,,,
2006-10-13,19.87,,26.4,21.65,21.66,24.33,18.16,,,,,yok,,,,False,,1.7100000000000009,,,,,,,,,,
2006-10-20,20.86,,26.17,21.83,21.77,24.29,18.18,,,,,yok,,,,False,,2.6799999999999997,,,,,,,,,,
2006-10-27,20.09,,26.86,21.57,22.04,24.8,17.88,,,,,yok,,,,False,,2.210000000000001,,,,,,,,,,
2006-11-03,20.71,,26.61,21.42,22.06,24.51,18.58,,,,,yok,,,,False,,2.1300000000000026,,,,,,,,,,
2006-11-10,21.11,,26.73,21.79,21.95,24.57,18.43,,,,,yok,,,,False,,2.6799999999999997,,,,,,,,,,
2006-11-17,19.73,,26.54,21.62,21.79,24.17,18.46,,,,,yok,,,,False,,1.2699999999999996,,,,,,,,,,
2006-11-24,20.8,,25.24,20.97,21.5,23.49,18.21,,,,,yok,,,,False,,2.59,,,,,,,,,,
2006-12-01,19.67,,24.09,19.47,21.45,22.26,18.23,,,,,yok,,,,False,,1.4400000000000013,,,,,,,,,,
2006-12-08,20.49,,25.76,19.67,20.88,22.86,18.57,,,,,yok,,,,False,,1.9199999999999982,,,,,,,,,,
2006-12-15,19.78,,25.15,19.85,21.04,22.62,18.33,,,,,yok,,,,False,,1.4500000000000028,,,,,,,,,,
2006-12-22,19.95,,25.26,21.09,20.81,23.38,18.31,,,,,yok,,,,False,,1.6400000000000006,,,,,,,,,,
2006-12-29,19.4,,25.25,21.53,20.46,23.12,19.12,,,,,yok,,,,False,,0.2799999999999976,,,,,,,,,,
2007-01-05,18.22,,25.16,21.45,20.52,23.26,18.28,,,,,yok,,,,False,,-0.060000000000002274,,,,,,,,,,
2007-01-12,19.83,,25.36,21.3,21.53,23.81,18.55,,,,,yok,,,,False,,1.2799999999999976,,,,,,,,,,
2007-01-19,20.35,,25.72,21.3,21.52,23.89,18.54,,,,,yok,,,,False,,1.8100000000000023,,,,,,,,,,
2007-01-26,18.66,,25.75,21.3,21.51,23.95,18.3,,,,,yok,,,,False,,0.35999999999999943,,,,,,,,,,
2007-02-02,19.97,,25.21,21.19,21.42,23.57,18.49,,,,,yok,,,,False,,1.4800000000000004,,,,,,,,,,
