tarih,kredi_ar_13y,enf_6a,enf_3a,enf_yillik
2006-04-01,60.44547706537931,8.502617691126213,8.486568977741161,8.82988845335111
2006-05-01,81.56746662205043,10.339822998021276,11.953572287149417,9.863741751265431
2006-06-01,78.0295302972692,10.675187954096833,15.060267687847984,10.118996633085883
2006-07-01,57.9224411650577,13.299872077264329,18.326730522358737,11.692784617970098
2006-08-01,34.25564094338671,11.990848075434002,12.028136274974145,10.262101675622448
2006-09-01,25.415217840522455,13.37364587755403,11.71174757249891,10.546776143028168
2006-10-01,24.813617882297727,11.347189488269738,4.779338972726088,9.979244526560338
2006-11-01,24.684561524309203,9.527521738509504,7.082724189347278,9.857540747385762
2006-12-01,29.001843045467666,8.792644977448404,5.949820483363988,9.65348568940334
2007-01-01,26.424069579402225,6.690913824841815,8.637363094481731,9.929594580486524
2007-02-01,24.84917669114981,8.294741606383681,9.520477260701776,10.158268797114768
2007-03-01,20.016654517832322,8.230928270891935,10.56114848460976,10.86326298892464
2007-04-01,25.924435536818144,9.887824043080752,11.152678314008655,10.719962101966953
2007-05-01,30.34625522864357,8.90123335202646,8.285490733959278,9.22776891599666
2007-06-01,33.61013434210305,8.527075627699809,6.530425070068824,8.59830536144015
2007-07-01,32.85177122521735,7.138395157066979,3.269087987285846,6.899475725935322
2007-08-01,32.44368574264585,6.518198079700976,4.779748840240239,7.394502596989994
2007-09-01,31.23945006077952,6.096967100735529,5.665272813571431,7.124837553045782
2007-10-01,32.096778662641455,5.442054638593041,7.660744401818031,7.699856491320745
2007-11-01,34.5226040056272,8.060335960329379,11.443636171179072,8.399165322107427
2007-12-01,35.82289401699842,8.408952536298987,11.223874004024225,8.387240554308285
2008-01-01,30.658506157176504,9.24462063656013,10.851798437169348,8.171378093839387
2008-02-01,31.871169595633454,11.692943539153331,11.942808625503098,9.104237025493212
2008-03-01,34.658625779745904,12.122793154360425,13.02897743231497,9.152320755110145
2008-04-01,41.627139295432215,13.83556245518973,16.89963953840843,9.660518148236472
2008-05-01,39.7633240724186,13.464515910036813,15.006908695392296,10.7405557497124
2008-06-01,40.13347932550096,12.96630219648267,12.903661714439018,10.609206028176033
2008-07-01,36.21921415784797,14.968869273052142,13.069988531327391,12.064613928040524
2008-08-01,32.80691838871251,11.842815424667542,8.765773326254301,11.766402461552785
2008-09-01,28.357255254974923,10.194563501748856,7.550469497199974,11.125383432821678
2008-10-01,20.813198957798328,10.060947731269376,7.131984117510037,11.98570143524611
2008-11-01,2.574232919017841,8.293296710232312,7.8228725243624675,10.759711135423869
2008-12-01,-7.929680549281873,7.409187053539057,7.268090203943678,10.063799210543012
2009-01-01,-15.698116458464316,4.3275709181633815,1.5965693470755271,9.50047634487683
2009-02-01,-13.085822406794426,3.726370607690077,-0.2144933857809228,7.733136194408474
2009-03-01,-13.171151335673706,5.469566187477315,3.701197351658436,7.885805548149194
2009-04-01,-6.997694206747002,2.1415068507339763,2.6893672570534437,6.126055254062246
2009-05-01,3.4973137496343165,2.249530854261761,4.774399756636005,5.2363448506144605
2009-06-01,12.867825136655531,4.172861558715724,4.646671036318617,5.734256575411445
2009-07-01,15.380229559896105,6.453166595805837,10.354917758011716,5.392535439039836
2009-08-01,14.499967581090607,6.956118245827114,9.183266683337088,5.334795357236244
2009-09-01,13.387048838992015,5.124924848368284,5.605364365003407,5.272283615040063
2009-10-01,20.807294234455675,8.002306219928723,5.699849048878636,5.0760467211412585
2009-11-01,27.21140313658997,9.101041801022005,9.018878841485712,5.530726313170398
2009-12-01,30.89336989471532,9.119449755452267,12.75046856311548,6.525803908563765
2010-01-01,29.659807173382802,9.98532400001164,14.444548447686522,8.18520828940732
2010-02-01,27.286941948083655,13.351225728886206,17.855737563791397,10.12784529246591
2010-03-01,31.47318193067978,14.012669565559976,15.289000454920942,9.560819186472802
2010-04-01,38.887139454947565,12.224418664234626,10.047357566204916,10.194264613754566
2010-05-01,45.55661957636758,9.095382386787666,0.9861946829476276,9.099822253157086
2010-06-01,48.429513685481595,7.706069756861611,0.6218929533167605,8.367509417220198
2010-07-01,50.1172020182129,5.194023545631832,0.5547323847529206,7.5772377719593775
2010-08-01,43.244362150854855,3.519707458201537,6.11678027750433,8.334864401777065
2010-09-01,37.54614447110737,4.711464003288435,8.967247304708481,9.235649412402068
2010-10-01,35.12992048239729,5.042573516090232,9.730710720446334,8.61925187914192
2010-11-01,41.171582294765074,5.691778391762958,5.268478655317987,7.287806479379189
2011-02-01,36.8888329765793,4.729135686349073,4.192556040664486,4.156520728320734
2011-03-01,41.24768143985716,3.0993818080431224,4.468621542719342,3.9860376995088487
2011-04-01,42.13109795844291,3.329766840822601,7.112198258497204,4.264607103856188
2011-05-01,44.873705961363996,8.719146562670543,13.442392417193028,7.172545503066607
2011-06-01,46.067045293470045,7.295483022832694,10.198837766758183,6.235878870693568
2011-07-01,38.57304626352467,8.08155839578555,9.059691194741305,6.311368354715063
2011-08-01,31.51099192773988,8.56282653918965,3.893148364102461,6.653476557436289
2011-09-01,19.847998896287322,9.318978501386413,8.44614428584769,6.154018005639705
2011-10-01,18.00559100766384,12.02761699961905,15.076311267040232,7.65560731796715
2011-11-01,15.837987993737745,10.435989917312227,17.390877657055647,9.484649106828558
2011-12-01,15.56401774016856,13.86536348216174,19.555389325324345,10.44817156944582
2012-01-01,12.467809430211346,13.129358559149363,11.215345948182298,10.613362481996646
2012-02-01,13.902063319834689,12.297127256580676,7.424401638100564,10.43331699697978
2012-03-01,16.233321436142937,11.55269785415527,4.085683370398807,10.427720506778137
2012-04-01,21.953219563001305,10.223186503736237,9.239878179203732,11.137949528109182
2012-05-01,24.472535851646263,6.262567573480293,5.113299167808294,8.280488437112332
2012-06-01,26.310837861593246,4.106316643855479,4.126954007519035,8.868566669608047
2012-07-01,20.137088318694254,5.007362631552881,0.9388365368353302,9.065185946264332
2012-08-01,17.422666808117423,5.400089216816761,5.687661740857997,8.883235187591687
2012-09-01,14.192014812586823,6.779828770893537,9.500291648961555,9.185122772823462
2012-10-01,17.17409207412086,5.471975873017021,10.208697427364498,7.798889571099776
2012-11-01,15.767736676043711,6.732786219736475,7.788245728819687,6.3695543745840855
2012-12-01,21.318418438360748,8.437889801575139,7.385795668152983,6.163803837928361
2013-01-01,22.935785724550005,9.559331966618178,8.91379266035386,7.307654319133783
2013-02-01,27.027393960043526,8.60217115304196,9.422242651835866,7.0254038581746725
2013-03-01,23.980903542947896,7.834197663278841,8.284472013570298,7.29064531040986
2013-04-01,26.319409171833495,6.764487093756966,4.657595938648029,6.133784192762559
2013-05-01,32.55626119722151,6.374394738226585,3.4114416017609006,6.514689487912051
2013-06-01,42.40485085087884,8.11049265456283,7.936792826099204,8.297518999646458
2013-07-01,42.35222821906599,8.046459736011524,11.545056589385805,8.884429071612221
2013-08-01,37.05382912682353,7.53908386644091,11.831479957208902,8.168232522657126
2013-09-01,27.882697896101185,7.869837996163409,7.8029246993241985,7.882437983425983
2013-10-01,26.120296652575426,8.840550705770456,6.201617894581246,7.7119364368371635
2013-11-01,22.264566513707813,8.511595414346761,5.290266603574967,7.315695414474921
2013-12-01,21.91045746090775,6.816265042875758,5.838635728418273,7.400459634226775
2014-01-01,20.726580039212074,7.399127181056686,8.610139354960978,7.751222648082456
2014-02-01,19.614620877234955,8.220916767582276,11.23313867284208,7.889047253771064
2014-03-01,15.096325404141314,8.992520115326252,12.240387069729763,8.38550467206558
2014-04-01,12.328113793193813,9.961943830478038,11.330573395723231,9.383390099399126
2014-05-01,11.231114907002976,10.938683755402124,10.64500831518842,9.656018523301224
2014-06-01,14.769604478081156,11.414121888863637,10.593939314864208,9.163472295600773
2014-07-01,16.567688711220576,11.015219814598588,10.7007595000592,9.319367045590576
2014-08-01,16.997711298868758,10.54421836365944,10.44352022480668,9.536024587015124
2014-09-01,15.565977571749967,8.663268465846997,6.766301904337202,8.856236857930844
2014-10-01,15.898784218107824,8.179000471528974,5.714687016332687,8.962885028214384
2014-11-01,17.37201974008851,7.593536793230093,4.817096884566596,9.150728171491252
2014-12-01,19.61591075408817,5.055754116250788,3.3726117330827643,8.169948848005127
2015-01-01,16.74038793779605,3.544829571662822,1.4195097542903712,7.24072962027793
2015-02-01,18.3284132711064,4.709573588158644,4.602160591116089,7.546687167708477
2015-03-01,13.929033837246546,6.718889314331666,10.173489336728547,7.610253795567945
2015-04-01,18.314004162035637,7.800855365832104,14.583717134497888,7.912801196986341
2015-05-01,19.784044788359072,8.798231919494782,13.162626870381256,8.092988571709991
2015-06-01,23.379852236831518,9.255008432598189,8.34418460800963,7.204527607824929
2015-07-01,18.985285169425357,9.881080050177715,5.3714441714378,6.814162882321595
2015-08-01,14.65466090872292,9.259453983517664,5.490908216985857,7.140509413261786
2015-09-01,10.230228085378606,9.087030343338707,9.834969289609274,7.946992738340408
2015-10-01,7.682115394002959,7.487215983768558,9.645470751486762,7.581430913019638
2015-11-01,4.696585261103286,7.498972246665159,9.545260623972563,8.10224254208951
2015-12-01,4.29493937185152,8.3058154701509,6.797950967006661,8.808332036810796
2016-01-01,5.916157650276759,9.234218560854067,8.82450887227957,9.578758282916075
2016-02-01,10.299365830511437,8.41038427389904,7.287265112795827,8.777354880252798
2016-03-01,9.141881015105463,6.040649145165755,5.28871733318157,7.459938151090761
2016-04-01,10.986173079302294,5.886746732897863,3.028290684368562,6.565403465964059
2016-05-01,12.050061442712561,5.887331491227044,4.5056648479687045,6.582327035292357
2016-06-01,13.178397310425277,6.893218343879637,8.522170440682086,7.637470678989211
2016-07-01,11.805563655991817,8.138531918485391,13.50224300343057,8.793408798381952
2016-08-01,8.801243910378892,7.3808168099098515,10.335069735576608,8.045095500756672
2016-09-01,7.433238023313874,8.426542108004753,8.330998041777061,7.282125315770282
2016-10-01,7.519457464562674,8.517125010474636,3.750957769028984,7.159431097619762
2016-11-01,6.8247943532879995,8.068601687825883,5.848690708682502,7.0005204706316215
2016-12-01,8.160729769042856,10.01130161457806,11.717668088559762,8.533056290752384
2017-01-01,10.992242683028447,10.301526699478414,17.265681723350703,9.218772707758196
2017-02-01,13.273129215585083,13.029158354700598,20.696728063770365,10.12828922847586
2017-03-01,14.921127161116923,14.40507561633697,17.157129670880455,11.29179278888648
2017-04-01,22.877891475100103,15.661047679623108,14.078371043863893,11.869618623097033
2017-05-01,27.236646759065504,15.696560311809304,10.903537177178247,11.722178319464671
2017-06-01,30.057724743935854,11.80537740369083,6.698093846257258,10.901084690381202
2017-07-01,21.478399952057416,9.222466297374776,4.573259899496351,9.788378546467412
2017-08-01,19.364908758402727,8.154508595996601,5.473621738086454,10.67930148799061
2017-09-01,16.017672880010974,7.972979484831022,9.263098135850022,11.198497927226914
