tarih,g_ar,g_ham,g_ar_13y,g_ham_13y,g_ar_52
2005-12-30,,,,,
2006-01-06,-0.02434910954423386,-0.025971167004389395,,,
2006-01-13,,0.00036905527086128487,,,
2006-01-20,,0.004143397333968624,,,
2006-01-27,0.014960366917003531,0.01330562557556858,,,
2006-02-03,-0.0020094953052863795,-0.0014700170564464488,,,
2006-02-10,0.000474906056081581,0.0008158876468213894,,,
2006-02-17,0.01909841779023247,0.019173590012460107,,,
2006-02-24,-0.0006567415727266601,-0.0021302824989333224,,,
2006-03-03,0.014893787679930881,0.013053693473096928,,,
2006-03-10,0.006072459799706387,0.010799125341803828,,,
2006-03-17,0.005888749156849338,0.0046872020455770436,,,
2006-03-24,0.011756889055403175,0.01248325297693409,,,
2006-03-31,0.027487281850125056,0.02874709193116165,,35.93174007666382,
2006-04-07,0.0019288513241748628,0.0005103191007442831,,51.328216437685725,
2006-04-14,0.013709874572122027,0.014916986145219191,,60.324908828630285,
2006-04-21,0.006982848554476062,0.004895675585366188,61.34305852123867,60.805894097242685,
2006-04-28,0.012125303667516407,0.011675207672860122,59.54789560951994,59.77343674754631,
2006-05-05,0.018987129090931587,0.018785048145735228,73.40444948571394,73.13719900813251,
2006-05-12,0.012262020023304787,0.016739557593860477,81.72187386074977,84.42190589241882,
2006-05-19,0.01852809978317116,0.02634146641592383,81.31542718931553,89.66507358541182,
2006-05-26,0.01087191800242171,0.024675120559756847,89.82811595242252,110.88066238350578,
2006-06-02,0.0029695789837573816,0.005319229057954011,81.0627880569826,104.51391290907762,
2006-06-09,0.006157191412329954,0.004561079337787044,81.12379233198943,99.51190697306598,
2006-06-16,0.007992076709800955,0.012206820292446574,82.64348017915285,105.55231686039957,
2006-06-23,0.001900792112125238,0.010354205108230818,75.62986719492177,103.82882254546666,
2006-06-30,0.018683959433213326,0.01242397940280271,69.68772372329941,91.19688182466048,
2006-07-07,-0.005986832895128247,-0.00758817135751233,64.38850369894304,85.08117345544122,
2006-07-14,0.006337013434974059,0.005251918615654549,59.657939628800435,78.13112162239699,
2006-07-21,0.0003125042949718715,-0.003168473975125319,55.46943391102002,72.48167132302686,
2006-07-28,0.0067185291303788475,0.0017449685831651962,52.17388742146729,65.80865717960029,
2006-08-04,0.0032074968760380518,0.001982283231467097,42.96456831569151,55.137619083968794,
2006-08-11,0.004302181730561294,-0.00031467115018690706,38.520570640758976,44.98781782329581,
2006-08-18,0.00520790933333104,0.003787630424562094,31.415260445700245,32.657365775234396,
2006-08-25,-0.0034547648019888078,0.0009611321667808426,24.122164371396092,20.79680808875839,
2006-09-01,0.011139450965189424,0.00844935770461408,28.216086979023025,22.30828468585857,
2006-09-08,-0.0018312962819037049,0.0007390878800361822,24.192386339928994,20.457525352990814,
2006-09-15,0.0133438372973671,0.01313320845963628,26.8509783876671,20.89910986497303,
2006-09-22,-0.00014060456528874887,-0.0003030456017869554,25.820286297225326,15.878260191053695,
2006-09-29,0.010854178781189994,0.013301150979969645,21.99635119876784,16.28037351018914,
2006-10-06,-0.0013407401109958306,-0.0015884538091427425,24.29327332076232,19.117911194483895,
2006-10-13,0.0027229949546709875,0.0020010419155513937,22.517390341853826,17.584511440581906,
2006-10-20,0.005919104454594981,0.00314610336488208,25.28733526442657,20.59236781455198,
2006-10-27,0.010452463273575852,0.009389361492709192,27.156472602148195,24.315716093868733,
2006-11-03,-0.005280992420196529,-0.004409771064513679,22.907125865548995,21.17369980540531,
