tarih,mevduat_toplam,mevduat_yi,mevduat_tl,mevduat_yp,mevduat_yp_usd,kredi_toplam,kredi_yi,kredi_tl,kredi_tuk_tl,kredi_tic_tl,kredi_yp,kredi_tic_yp,takip_toplam,takip_tl,takip_yp,menkul,k_yi_toplam,k_tuketici,k_konut,k_tasit,k_ihtiyac,k_bkk,k_fkdk,k_ticari,k_ticari_tl,k_kobi_tl,k_ticari_yp,k_kobi_yp,k_diger,k_kurumsal_kart,k_finansal,k_yd,k_takip_tuk,k_takip_tic,k_karsilik,m1,dolasim,vadesiz_tl,vadesiz_yp,m2,vadeli_tl,vadeli_yp,m3,repo,ppf,menkul_ihrac,ham_m1,ar_m1,ham_m2,ar_m2,ham_m3,ar_m3,f_ihtiyac,f_tasit,f_konut,f_ticari_tl,f_ticari_dar,f_tuketici,f_ticari_usd,f_ticari_eur,mev_tl,mev_tl_3a,mev_tl_6a,mev_usd,mev_eur,kat_ticari,kat_tuketici,zk_tl_taban,zk_dth,zk_taban,dth_usd,dth_tl,dth_pay_usd,dth_pay_eur,dth_pay_maden,dth_pay_diger,kart_harcama,kart_adet,fin_sirket,fin_sirket_tuk,fin_sirket_tic
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98,24.65,22.83,26.23,,26.13,4.5,5.05,19.28,19.45,20.04,2.46,2.57,,,,,,,,,,,,,,,,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,23.95,22.39,24.31,,27.05,5.39,4.95,18.8,19.02,19.34,2.48,2.51,,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35,23.01,22.05,25.71,,26.37,7.27,,18.77,19.38,19.9,2.34,2.48,,,,,,,,,,,,,,,,
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.14,22.36,21.18,22.2,,25.99,4.83,5.71,18.37,18.49,19.04,2.31,2.47,,,,,,,,,,,,,,,,
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.12,21.93,20.97,23.52,,25.12,6.89,4.56,18.42,18.67,18.5,2.23,2.28,,,,,,,,,,,,,,,,
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.84,21.7,20.6,22.3,,24.68,6.34,3.94,18.26,18.55,19.46,2.39,2.44,,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25,21.13,20.27,22.64,,24.4,6.39,6.45,18.11,18.43,18.73,2.42,2.35,,,,,,,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66,20.44,19.79,23.48,,24.17,6.26,5.62,17.86,17.78,18.62,2.45,2.42,,,,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15,19.99,19.23,22.54,,23.3,6.72,6.19,17.45,17.66,18.27,2.45,2.4,,,,,,,,,,,,,,,,
2005-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.56,20.04,18.99,23.73,,23.15,5.13,5.66,17.27,17.24,17.82,2.49,2.44,,,,,,,,,,,,,,,,
2005-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.89,19.69,18.68,23.94,,22.11,6.24,3.47,16.99,16.91,17.04,2.5,2.46,,,,,,,,,,,,,,,,
2005-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25,19.48,18.54,26.52,,22.18,6.06,3.96,16.69,17.03,18.75,2.42,2.34,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34,19.1,18.44,21.03,,21.61,5.54,5.14,16.33,17.21,18.32,2.56,2.41,,,,,,,,,,,,,,,,
2005-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.18,19.27,18.26,22.4,,21.55,6.75,3.39,16.61,17.02,18.38,2.66,2.47,,,,,,,,,,,,,,,,
2005-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.88,18.89,18.25,21.37,,21.12,6.06,5.55,16.43,16.75,17.02,2.65,2.42,,,,,,,,,,,,,,,,
2005-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.23,18.58,18.29,22.77,,21.37,6.16,5.05,16.53,16.78,16.87,2.61,2.47,,,,,,,,,,,,,,,,
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.02,18.39,18.15,20.17,,21.06,5.63,5.36,16.52,16.85,17.53,2.63,2.4,,,,,,,,,,,,,,,,
2005-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.03,18.39,18.15,20.66,,21.1,6.16,4.94,16.66,16.92,17.64,2.84,2.47,,,,,,,,,,,,,,,,
2005-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92,18.52,18.08,20.32,,20.89,6.1,4.36,16.49,17.02,17.69,2.75,2.41,,,,,,,,,,,,,,,,
2005-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.76,18.15,18.02,19.55,,20.96,6.95,5.94,16.33,16.79,17.66,2.75,2.45,,,,,,,,,,,,,,,,
2005-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,18.14,17.92,19.34,,21.13,6.9,4.5,16.4,17.05,17.77,2.66,2.38,,,,,,,,,,,,,,,,
2005-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99,18.3,17.92,19.92,,20.93,4.95,4.13,16.36,17.19,16.9,2.82,2.52,,,,,,,,,,,,,,,,
2005-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.38,18.38,17.91,20.76,,21.36,6.78,5.82,16.29,16.85,17.52,2.78,2.58,,,,,,,,,,,,,,,,
2005-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.54,17.9,16.93,20.7,,20.68,5.54,5.12,16.16,16.81,17.08,2.74,2.45,,,,,,,,,,,,,,,,
2005-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.67,17.48,16.61,20.68,,20.54,6.28,3.27,16.4,16.86,18.16,2.68,2.43,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.12,18.28,16.4,18.9,,20.18,5.81,3.69,16.69,16.92,18.1,2.9,2.4,,,,,,,,,,,,,,,,
2005-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85,17.02,16.22,18.6,,19.77,7.41,4.49,16.39,16.8,18.49,2.92,2.64,,,,,,,,,,,,,,,,
2005-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.68,17.0,15.99,19.8,,20.22,5.45,5.33,16.0,16.57,17.59,2.83,2.38,,,,,,,,,,,,,,,,
2005-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56,16.76,15.96,20.19,,20.37,5.87,4.98,16.22,16.52,17.46,2.77,2.33,,,,,,,,,,,,,,,,
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15,18.0,16.0,19.06,,19.66,6.19,5.17,16.25,16.73,17.4,2.79,2.3,,,,,,,,,,,,,,,,
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.33,16.29,15.96,18.99,,19.29,5.32,5.64,16.27,17.0,17.29,2.94,2.36,,,,,,,,,,,,,,,,
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.83,16.38,15.9,18.99,,19.37,5.71,5.13,16.12,16.65,17.25,2.89,2.48,,,,,,,,,,,,,,,,
2005-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.88,20.09,17.45,17.53,,20.27,6.23,4.77,16.16,16.85,16.74,2.84,2.37,,,,,,,,,,,,,,,,
2005-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97,19.88,17.27,17.71,,20.01,5.59,3.89,16.22,16.66,17.11,3.0,2.41,,,,,,,,,,,,,,,,
2005-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.68,19.66,17.27,18.91,,19.8,6.34,5.02,16.22,16.99,17.11,3.03,2.44,,,,,,,,,,,,,,,,
2005-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84,20.05,17.2,20.55,,19.97,6.6,3.31,16.22,16.77,17.18,3.01,2.47,,,,,,,,,,,,,,,,
2005-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.68,19.92,17.21,19.6,,19.99,7.16,4.24,16.3,16.78,16.71,2.91,2.44,,,,,,,,,,,,,,,,
2005-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74,19.67,17.06,20.13,,19.74,5.86,4.64,16.42,17.04,17.88,2.98,2.42,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55,19.46,16.68,18.34,,19.36,5.37,4.51,16.4,16.45,17.31,3.21,2.51,,,,,,,,,,,,,,,,
2005-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,19.46,16.34,19.34,,18.91,5.82,5.23,16.35,16.94,17.75,3.13,2.46,,,,,,,,,,,,,,,,
2005-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54,19.47,16.32,19.33,,18.8,6.78,3.96,16.15,16.67,17.46,3.0,2.35,,,,,,,,,,,,,,,,
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.87,19.39,16.54,20.13,,19.23,6.33,4.63,15.84,16.29,16.75,3.0,2.33,,,,,,,,,,,,,,,,
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.17,19.06,16.26,19.69,,18.72,7.21,4.6,16.08,16.62,16.84,3.22,2.49,,,,,,,,,,,,,,,,
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.26,18.71,15.8,17.8,,18.13,6.5,4.81,16.14,16.58,16.97,3.24,2.51,,,,,,,,,,,,,,,,
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,19.55,16.13,18.44,,18.65,6.38,3.95,15.78,16.45,16.37,3.15,2.5,,,,,,,,,,,,,,,,
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.87,19.19,16.01,15.88,,18.48,7.06,3.97,15.77,16.14,17.01,3.32,2.45,,,,,,,,,,,,,,,,
2005-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62,18.56,15.68,17.43,,18.15,6.36,5.08,15.73,16.24,16.48,3.28,2.43,,,,,,,,,,,,,,,,
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.26,18.42,16.06,19.0,,18.38,6.33,5.15,15.76,16.37,16.4,3.21,2.46,,,,,,,,,,,,,,,,
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17,18.44,15.72,18.72,,18.18,6.55,4.35,15.5,16.05,16.28,3.16,2.46,,,,,,,,,,,,,,,,
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.87,18.0,15.59,19.39,,18.05,6.25,3.9,15.63,16.29,16.38,3.31,2.5,,,,,,,,,,,,,,,,
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.66,17.58,15.35,19.27,,17.65,6.14,5.74,15.68,16.21,16.58,3.13,2.46,,,,,,,,,,,,,,,,
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61936598.0,18203299.0,24531406.0,19201893.0,237948998.0,114790408.0,61221992.0,260614096.0,2903561.0,19761537.0,,100.0,100.0,100.0,100.0,100.0,100.0,21.35,16.78,15.1,16.57,,17.13,6.34,4.86,15.92,16.47,17.43,3.55,2.51,,,150854206.0,85256849.77,236111057.11,63482.39,85256.84,37130.67,20848.97,,1662.36,,,,,
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62548071.0,21603545.0,22561600.0,18382925.0,241027834.0,116691908.0,61787856.0,264487928.0,3461194.0,19998899.0,,100.98,101.08,101.29,101.36,101.48,101.54,21.19,17.36,15.1,19.5,,17.44,6.36,3.98,15.5,16.45,16.5,3.62,2.5,,,152158344.0,84245397.84,236403741.84,63351.93,84245.39,37326.15,20161.31,,1646.72,,,,,
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62351482.0,22043856.0,22109508.0,18198118.0,241014925.0,117072766.0,61590676.0,265022854.0,3882522.0,20125407.0,,100.66,100.82,101.28,101.41,101.69,101.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59765950.0,19365644.0,21719700.0,18680607.0,236040781.0,114683003.0,61591828.0,259422151.0,2879574.0,20501796.0,,96.49,96.61,99.19,99.28,99.54,99.62,21.39,18.18,15.35,21.12,,17.85,7.19,4.29,15.17,15.59,16.22,3.55,2.51,,,150502057.0,84524937.05,235026994.05,63557.36,84524.93,37401.01,20253.6,,1689.96,,,,,
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57885531.0,18558957.0,20702901.0,18623674.0,237353435.0,115898280.0,63569625.0,260579769.0,3037953.0,20188380.0,,93.45,93.8,99.74,100.08,99.98,100.29,21.48,17.8,15.11,17.32,,17.54,6.68,4.21,14.99,15.7,15.81,3.12,2.38,,,151817063.0,86774688.28,238591751.28,65888.14,86774.68,39343.25,20282.67,,1704.7,,,,,
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56571658.0,18440755.0,19750741.0,18380162.0,236620702.0,116883338.0,63165705.0,260092810.0,3658739.0,19813369.0,,91.33,91.68,99.44,99.81,99.79,100.14,21.38,17.51,15.01,20.55,,17.36,6.27,4.92,14.94,15.68,15.53,3.41,2.37,,,149554106.0,85854624.08,235408730.08,64977.38,85854.62,38761.06,20338.41,,1680.05,,,,,
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56225277.0,18207750.0,19826572.0,18190956.0,236625747.0,117737925.0,62662545.0,260188316.0,3494574.0,20067995.0,,90.77,91.1,99.44,99.8,99.83,100.16,21.36,17.92,14.91,18.75,,17.38,6.64,4.22,15.13,15.74,16.23,3.41,2.43,,,151057213.0,85159311.92,236216524.92,64319.72,85159.31,38024.91,20556.41,,1670.28,,,,,
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57206014.0,18310854.0,20794127.0,18101033.0,239350327.0,118700368.0,63443945.0,262362226.0,2843155.0,20168744.0,,92.36,92.71,100.58,100.98,100.67,101.03,21.05,17.77,15.0,19.64,,17.43,6.66,5.38,15.0,15.92,15.79,3.59,2.48,,,155032271.0,84945766.15,239978037.15,64129.37,84945.76,37932.74,20667.09,,1662.73,,,,,
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60493261.0,18145735.0,20650423.0,21697103.0,242389476.0,120277779.0,61618437.0,266324792.0,3510343.0,20424972.0,,97.66,98.35,101.86,102.58,102.19,102.84,20.96,17.24,14.66,17.4,,17.02,6.42,4.41,15.0,15.7,15.76,3.56,2.54,,,154763603.0,86985417.02,241749020.02,66264.5,86985.41,40062.78,20550.04,,1664.94,,,,,
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55562063.0,18811527.0,19040990.0,17709547.0,242429471.0,121896748.0,64970660.0,265944961.0,3468083.0,20047407.0,,89.7,90.6,101.88,102.91,102.04,102.98,21.08,17.28,14.98,16.64,,17.19,6.42,4.44,14.89,15.67,15.67,3.13,2.49,,,154579470.0,85990320.3,240569790.3,66253.42,85990.32,40074.04,20539.86,,1658.89,,,,,
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55760938.0,18920302.0,19272596.0,17568040.0,244983286.0,123547770.0,65674577.0,268619326.0,3568013.0,20068027.0,,90.02,90.16,102.95,103.07,103.07,103.17,20.87,17.27,14.86,17.28,,17.18,6.46,4.23,14.85,15.49,15.21,3.27,2.57,,,156976928.0,86980183.52,243957111.52,65095.18,86980.18,39126.76,20389.99,,1634.99,,,,,
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57990428.0,19327385.0,20642611.0,18020432.0,247111920.0,123670337.0,65451155.0,271199097.0,3668581.0,20418596.0,,93.62,93.83,103.85,104.0,104.06,104.19,21.13,17.22,14.73,16.85,,17.18,4.75,4.29,14.73,15.42,15.24,3.33,2.51,,,158637847.0,86745990.97,245383837.97,65399.57,86745.99,39469.16,20101.77,,1657.48,,,,,
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57523704.0,19267206.0,21122404.0,17134094.0,247628234.0,124886953.0,65217578.0,271778790.0,3593755.0,20556801.0,,92.87,93.04,104.06,104.19,104.28,104.4,20.83,16.65,14.56,17.53,,16.88,6.54,4.48,14.48,14.84,14.76,3.36,2.49,,,160264947.0,86093416.51,246358363.51,64620.14,86093.41,38865.96,19979.22,,1651.25,,,,,
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58387690.0,18907654.0,22353613.0,17126424.0,249485702.0,125643218.0,65454793.0,273155193.0,3156382.0,20513110.0,,94.27,94.18,104.84,104.63,104.81,104.61,20.65,16.1,14.47,16.01,,16.61,6.29,4.63,14.75,15.23,14.76,3.5,2.65,,,163760740.0,85928973.3,249689713.3,63997.15,85928.97,38514.36,19764.69,,1620.86,,,,,
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57400011.0,19888314.0,20140201.0,17371496.0,251046655.0,128705553.0,64941091.0,275705464.0,3760685.0,20898124.0,,92.67,92.78,105.5,105.52,105.79,105.8,20.45,16.4,14.07,17.15,,16.38,6.58,4.72,14.75,15.34,15.47,3.8,2.66,,,163307700.0,86186819.98,249494519.98,64763.16,86186.81,38934.62,19656.54,,1637.22,,,,,
2006-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59127919.0,19684836.0,21946519.0,17496564.0,251119858.0,129632909.0,62359030.0,276233171.0,3816326.0,21296988.0,,95.46,95.41,105.53,105.36,105.99,105.83,19.99,16.14,14.27,17.06,,16.24,6.25,3.59,14.55,15.16,15.23,3.91,2.68,,,167318324.0,83690537.03,251008861.03,62413.7,83690.53,36970.99,19663.74,,1625.96,,,,,
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59698665.0,20107819.0,22078652.0,17512194.0,251376235.0,129378131.0,62299439.0,276169480.0,3557202.0,21236044.0,,96.38,96.58,105.64,105.72,105.96,106.04,19.71,16.19,14.15,17.55,,16.37,5.95,4.74,14.52,15.33,15.0,4.05,2.64,,,166120067.0,83490027.35,249610094.35,63092.29,83490.02,37505.84,19393.59,,1648.94,,,,,
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60415837.0,20161934.0,22127037.0,18126866.0,252191859.0,128488832.0,63287190.0,276771555.0,3421663.0,21158033.0,,97.54,97.7,105.98,105.98,106.19,106.19,18.39,13.55,13.29,16.28,,15.84,6.28,4.28,14.34,14.87,14.97,3.93,2.57,,,165617615.0,84710862.87,250328477.87,64199.21,84710.86,38335.15,19452.08,,1673.46,,,,,
2006-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60985860.0,20799320.0,22131164.0,18055376.0,253351404.0,129237095.0,63128449.0,278838714.0,4271635.0,21215675.0,,98.46,98.57,106.47,106.37,106.99,106.9,20.62,13.47,13.9,16.6,,16.54,5.93,4.44,14.38,14.94,14.76,3.92,2.6,,,165758167.0,84782065.13,250540232.13,64336.06,84782.06,38385.39,19241.74,,1709.92,,,,,
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62139118.0,20568207.0,22112251.0,19458660.0,256802985.0,131893942.0,62769925.0,281959520.0,3785407.0,21371127.0,,100.32,99.48,107.92,106.74,108.19,107.11,18.9,13.67,13.81,16.23,,16.08,6.77,3.81,14.34,15.06,14.64,3.98,2.6,,,169428957.0,86056878.85,255485835.85,63534.05,86056.87,37439.77,19197.37,,1677.13,,,,,
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64839868.0,21404462.0,24117558.0,19317847.0,261443587.0,132633984.0,63969735.0,287687292.0,4017461.0,22226243.0,,104.68,102.46,109.87,107.17,110.38,107.92,18.98,13.48,14.22,15.83,,15.98,6.34,4.62,14.26,14.86,14.37,4.27,2.63,,,174297164.0,88151760.47,262448924.47,62144.35,88151.76,36197.77,18838.24,,1654.66,,,,,
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67004399.0,21526359.0,23799259.0,21678782.0,275194708.0,134085999.0,74104310.0,302534004.0,3872264.0,23467032.0,,108.18,103.21,115.65,109.77,116.08,110.71,19.14,13.96,14.76,15.4,,16.6,6.27,4.05,14.3,14.84,14.55,4.44,2.59,,,175767774.0,100859148.27,276626922.27,65509.96,100859.14,39699.08,18915.94,,1651.43,,,,,
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71036028.0,21590478.0,24140149.0,25305401.0,277447348.0,134737885.0,71673434.0,304689056.0,3961786.0,23279922.0,,114.69,108.81,116.59,110.01,116.91,110.89,20.17,14.58,15.69,15.97,,17.4,6.89,4.57,14.09,14.54,14.22,4.36,2.62,,,174431712.0,102205543.73,276637255.73,65486.98,102205.54,39813.02,18828.24,,1645.38,,,,,
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68900479.0,22148482.0,22830413.0,23921585.0,274731961.0,136261136.0,69570346.0,302764729.0,4284326.0,23748442.0,,111.24,106.03,115.45,109.5,116.17,110.71,21.36,16.36,16.63,16.65,,18.56,6.87,4.66,14.74,15.17,15.21,4.47,2.73,,,174206498.0,99732420.85,273938918.85,64497.45,99732.42,38693.65,18928.99,,1663.64,,,,,
2006-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71342511.0,22604055.0,24531477.0,24206979.0,279824283.0,137527795.0,70953977.0,306634413.0,3989806.0,22820324.0,,115.18,108.91,117.59,110.64,117.65,111.31,22.05,17.25,17.29,17.25,,19.41,6.54,5.49,15.31,15.58,15.77,4.48,2.71,,,178071359.0,101477367.59,279548726.59,64047.82,101477.36,38520.37,18915.98,,1659.24,,,,,
2006-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72366738.0,22452311.0,25450340.0,24464088.0,284025679.0,137535301.0,74123639.0,310759165.0,4257034.0,22476453.0,,116.84,108.8,119.36,110.6,119.24,111.24,22.23,18.66,18.23,17.76,,20.35,6.82,4.21,15.12,15.57,15.5,4.3,2.74,,,177272267.0,105396617.78,282668884.78,63465.17,105396.61,37798.24,19017.41,,1670.74,,,,,
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70682725.0,21659425.0,24936339.0,24086961.0,279138790.0,135865573.0,72590492.0,303809670.0,3570168.0,21100712.0,,114.12,107.46,117.31,109.87,116.57,109.84,25.57,20.84,18.54,19.22,,22.63,6.52,4.82,17.34,17.06,17.39,4.4,2.83,,,175390059.0,103067080.7,278457139.7,64300.38,103067.08,38374.99,19305.65,,1721.89,,,,,
2006-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67289583.0,22568381.0,22800517.0,21920685.0,276585041.0,137044323.0,72251135.0,302320117.0,4952681.0,20782396.0,,108.64,102.57,116.23,109.14,116.0,109.55,27.45,22.43,20.68,20.15,,24.89,6.17,4.98,17.35,17.64,17.24,4.48,2.69,,,173804697.0,101085616.63,274890313.63,63663.94,101085.61,37140.72,19438.77,,1765.98,,,,,
2006-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67405483.0,22349039.0,23110990.0,21945454.0,277069529.0,137229146.0,72434901.0,302374389.0,4838032.0,20466828.0,,108.82,103.04,116.44,109.69,116.02,109.9,27.76,23.06,21.8,19.5,,25.52,6.29,4.27,17.29,17.3,17.85,4.4,2.7,,,174730172.0,101371512.08,276101684.08,64248.64,101371.51,37332.54,19776.67,,1783.92,,,,,
2006-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67970583.0,22331282.0,23373591.0,22265710.0,275497966.0,135720348.0,71807035.0,299944232.0,4101324.0,20344943.0,,109.74,104.62,115.78,109.86,115.09,109.74,27.82,23.35,21.29,20.27,,25.43,7.12,5.19,17.92,18.33,17.44,4.27,2.67,,,173619000.0,100218802.92,273837802.92,64841.35,100218.8,37638.73,20122.2,,1814.43,,,,,
2006-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66374508.0,21739671.0,22198536.0,22436301.0,271166993.0,134030970.0,70761515.0,294930561.0,3755485.0,20008084.0,,107.16,103.17,113.96,109.21,113.16,108.89,28.04,22.71,20.9,19.38,,25.29,6.81,5.35,17.89,18.58,18.9,4.33,2.75,,,169365218.0,99183507.72,268548725.72,66148.79,99183.5,38279.55,20433.03,,1847.75,,,,,
