tarih,tl_yuzde,kur_yuzde,net_yuzde
2026-01-02,0.10341232876711626,0.0,0.10341232876711626
2026-01-05,0.20706762957005687,0.08238866444008064,0.12457632835682908
2026-01-06,0.310904663907019,0.27797421911650577,0.032839160390851774
2026-01-07,0.41491360564807067,0.28147515386607314,0.1330639099367703
2026-01-08,0.5191407095491485,0.30014680586383236,0.21833856744915003
2026-01-09,0.62349665208985,0.30108038846370366,0.3214484453980315
2026-01-12,0.7277133724552742,0.3281542838604601,0.39825220691724894
2026-01-13,0.8318503739674687,0.5022674387394677,0.32793582038226354
2026-01-14,0.9358621570254355,0.5386771601350926,0.39505691551691147
2026-01-15,1.039881402368903,0.5760204641305888,0.46120430704825743
2026-01-16,1.1440416167662448,0.6278342984243457,0.5129866124426563
2026-01-19,1.2481964255396383,0.5662178468317514,0.678138835594444
2026-01-20,1.352621596194381,0.8136172358019556,0.5346543206873555
2026-01-21,1.4572411043469513,0.8411579224986365,0.6109441765056012
2026-01-22,1.5618096081901456,0.8654310700957124,0.690403571081255
2026-01-23,1.6640500732877594,0.8845695133933962,0.7726459692043219
2026-01-26,1.766220493889925,0.8353230312493354,0.9231858783772529
2026-01-27,1.868450099201513,1.0551817335228586,0.8047765109395311
2026-01-28,1.9708404506752153,1.0971929505178002,0.8641659324656326
2026-01-29,2.0736577887877194,1.1366368153630457,0.9264901453420071
2026-01-30,2.17662074584164,1.1637107107597577,1.0012582851749219
2026-02-02,2.279769304196333,1.1569422369105853,1.109985179915851
2026-02-03,2.3833436831832255,1.33292255698938,1.036603997682084
2026-02-04,2.487020142522245,1.3268542700901165,1.1449737394784387
2026-02-05,2.5907813711508076,1.35089402203723,1.223361037983528
2026-02-06,2.6946364082332197,1.4232466735284888,1.2535486453093103
2026-02-09,2.7985788548126056,1.4202125300788682,1.359064717326386
2026-02-10,2.9025631378235106,1.569585746060853,1.3123784861102994
2026-02-11,3.0065048758866064,1.6321357802533187,1.3522977600361807
2026-02-12,3.110186990550634,1.6748471841981694,1.4116960547303714
2026-02-13,3.2139449355104155,1.6909514840462325,1.4976686020123697
2026-02-16,3.317678343505781,1.6281680542038046,1.6624429246829164
2026-02-17,3.421572902475223,1.8480267564773278,1.5449942390737714
2026-02-18,3.525617271589332,1.882802708323128,1.6124552128482073
2026-02-19,3.6297813441060756,1.9348499382668471,1.6627595045911159
2026-02-20,3.7344065391854864,1.9735936161621837,1.7267342069469116
2026-02-23,3.8392419514532428,1.9665917466630267,1.8365330964899007
2026-02-24,3.944049316528986,2.1203994799944947,1.7857840801844382
2026-02-25,4.048801851204442,2.1747806664379477,1.8341328188258732
2026-02-26,4.1536015148202265,2.201154374884773,1.9103963667314927
2026-02-27,4.25881833912749,2.233362974580877,1.981207803024354
2026-03-02,4.372611554993577,2.2272946876816135,2.0985754087166297
2026-03-03,4.48679633584419,2.425680990157697,2.0123032873802016
2026-03-04,4.6012766501528635,2.440384916105942,2.10941391504591
2026-03-05,4.715886119637114,2.444819433455403,2.216868260143623
2026-03-06,4.830621451254968,2.4921987503996768,2.2815616499262337
2026-03-09,4.9454865172329665,2.4735270984019397,2.4122907533545623
2026-03-10,5.060479455877176,2.6957197571751745,2.302685744151267
2026-03-11,5.175596669830873,2.6534751445302485,2.4569275630947907
2026-03-12,5.290829935065533,2.685683744226375,2.537010122392691
2026-03-13,5.406191760766865,2.7664386391166307,2.568691838120629
2026-03-16,5.521684025550755,2.7430990741194483,2.70440056458372
2026-03-17,5.637301677383255,2.941485376595554,2.618785119454481
2026-03-18,5.7530523759642405,2.9757945371414074,2.6970006410789393
2026-03-19,5.868928747929281,3.0033352238380884,2.7820395503348694
2026-03-23,5.984935569273375,3.0033352238380884,2.894663885354709
2026-03-24,6.101068635015827,3.2624043953068727,2.7489813512786787
2026-03-25,6.2173312791474755,3.309316920951222,2.814861664820967
2026-03-26,6.333722484724835,3.3328898815983887,2.9040440140258195
2026-03-27,6.450243851799398,3.354128885745822,2.9956374258412133
2026-03-30,6.566895237101744,3.3678992290941734,3.0947673618844096
2026-03-31,6.683674452507615,3.5905586791673327,2.98590509866834
2026-04-01,6.800577546120556,3.6185661571639605,3.070889230536422
2026-04-02,6.917606400348042,3.613198057214606,3.1891770595757096
2026-04-03,7.0347611478674965,3.663844913258507,3.2517761977955084
2026-04-06,7.152043094477145,3.699087656404254,3.3297838159520587
2026-04-07,7.269454725522473,3.88090286773235,3.261958419926936
2026-04-08,7.386993834565603,3.92058012822758,3.3356373704427122
2026-04-09,7.504656733971848,3.7506680950480487,3.6182790027768252
2026-04-10,7.622450028155225,3.884870593781864,3.5978092026396347
2026-04-13,7.740361479262092,3.897707354530322,3.698497515079402
2026-04-14,7.858375253182248,4.17731534319663,3.5334562979079553
2026-04-15,7.976412799537735,4.205089425543274,3.6191354901999873
2026-04-16,8.094367120357315,4.253402325087463,3.684258460258971
2026-04-17,8.212269348437374,4.27837565963447,3.7724922966226204
2026-04-20,8.330504445703246,4.325288185278797,3.839161463241103
2026-04-21,8.449088951787553,4.550048196201728,3.729353379415734
2026-04-22,8.56776969232056,4.584824148047528,3.8083398587876127
2026-04-24,8.686715053565752,4.59205941319667,3.9148819359153375
2026-04-27,8.80577792553099,4.6875182340351484,3.9338593186335924
2026-04-28,8.924936349652612,4.886371327811201,3.8504192400929727
2026-04-29,9.044270928823494,4.9591907706024285,3.892065219090113
2026-04-30,9.163745508330212,4.993033139848335,3.9723705885576166
2026-05-04,9.283352186720496,4.956156627152786,4.122860152872865
2026-05-05,9.403093806008256,5.270773963314879,3.9254198360253456
2026-05-06,9.52296392841372,5.3405592626564635,3.970364971510021
2026-05-07,9.642964489203653,5.363198640703737,4.061917162456541
2026-05-08,9.763100735982011,5.393540075200076,4.145947330039568
2026-05-11,9.883369518702146,5.471494222290674,4.1830025533847515
2026-05-12,10.003769178259292,5.716793050411129,4.055151508241384
2026-05-13,10.12429503399459,5.758570871756086,4.128009792731047
2026-05-14,10.244951435579397,5.799881901801118,4.201393663089337
2026-05-15,10.365741845191456,5.840726140546182,4.27530674594625
2026-05-18,10.486662482791708,5.932917422285078,4.298706361832583
2026-05-20,10.607693810719931,6.072954812268194,4.275113299594113
2026-05-21,10.728858327076619,6.216026345700976,4.248729816617081
2026-05-22,10.850190156163663,6.25967133224572,4.320095071219088
2026-05-25,10.971658579740184,6.31918722298852,4.375947068701547
2026-05-26,11.093258890956337,6.501235829966601,4.311708709484918
2026-06-01,11.214991840398113,6.501235829966601,4.426010622033738
2026-06-02,11.33685482978606,6.953089808312152,4.098773611244666
2026-06-03,11.458847689236729,6.98903273840783,4.177825368098964
2026-06-04,11.580971774499659,7.057651059499537,4.225126060804563
2026-06-05,11.703233338032671,7.0989620895445915,4.299081110271152
2026-06-08,11.82563468076192,7.14820857168863,4.365379665628111
2026-06-09,11.948170453900687,7.395607960658834,4.239058356007952
2026-06-10,12.070840805425554,7.438552760253647,4.311569661133419
2026-06-11,12.19364127782534,7.476596251199075,4.3889043672367345
2026-06-12,12.316576307581117,7.518140676894047,4.462907933933669
2026-06-15,12.439645734416072,7.562019059088776,4.534710967676969
2026-06-16,12.562849088812422,7.812919382808525,4.405714763309998
2026-06-17,12.686184048363348,7.85796474325311,4.47646060873057
2026-06-18,12.809650132379979,7.900442751547998,4.549756475175859
2026-06-19,12.933250257348172,7.936152285993692,4.629679551772314
2026-06-22,13.056990755545893,7.997768737586264,4.684561613724236
2026-06-23,13.180864357737532,8.239099839657182,4.565600162419092
2026-06-24,13.304876165687451,8.278076913202481,4.642490332105309
2026-06-25,13.42902323201709,8.318687756297605,4.717870555464132
2026-06-26,13.553305703567965,8.36606707324188,4.786773914033593
2026-06-29,13.67772621617982,8.40807829023682,4.8609365732273035
2026-06-30,13.802282433626157,8.657578240056774,4.734786359956611
2026-07-01,13.926975126808072,8.703323787451245,4.805420071212074
2026-07-02,14.051802884617981,8.731331265447873,4.893227699181879
2026-07-03,14.17677147609815,8.78104453889188,4.960172022688347
2026-07-06,14.301877310702537,8.841027220934649,5.017271730340256
2026-07-07,14.427118034249787,9.080257762155819,4.901767177478189
2026-07-08,14.55249943271788,9.118301253101247,4.980097854540411
2026-07-09,14.678016960164776,9.157745117946492,5.057150856545767
2026-07-10,14.803671077186586,9.195088421941989,5.136295721994766
2026-07-13,14.929454382647233,9.24876942143551,5.199770204548515
2026-07-14,15.055354089607121,9.490800710456359,5.082210873465054
2026-07-16,15.181167276914165,9.521608936252646,5.167526660383226
2026-07-17,15.307116463289683,9.618934922290912,5.189050181003063
2026-07-20,15.433153775692121,9.662813304485617,5.261893523727856
2026-07-21,15.559297228606916,9.914880606455267,5.135261568778127
2026-07-22,15.685611772098952,9.960626153849738,5.206395978719858
2026-07-23,15.8121876787217,10.001470392594825,5.282399649194192
2026-07-24,15.938917941408715,10.038346905290375,5.362286150297169
2026-07-27,16.06569730699807,10.080358122285315,5.437245378565914
2026-07-28,16.192545984567207,10.321689224356234,5.321579828488376
2026-07-29,16.319362030947925,10.37256947605012,5.387926169634216
2026-07-30,16.446261993359123,10.413647110445146,5.463649685332506
2026-07-31,16.573728538169007,10.460092844789548,5.534700846186946
2026-08-03,16.701448631435902,10.501637270484544,5.610605882495245
2026-08-04,16.829308656936483,10.745535724705157,5.493470136218015
2026-08-05,16.957308767982802,10.791514667749613,5.565222317542706
2026-08-06,17.085449118054918,10.835159654294358,5.639265990373299
2026-08-07,17.213511408223315,10.875770497389459,5.716073838677915
2026-08-10,17.34167972652103,10.916381340484582,5.792921035092591
2026-08-11,17.469958936734287,11.157012255605569,5.6793058332767155
2026-08-12,17.59833686640593,11.21419418984868,5.740402763391117
2026-08-13,17.726610232574803,11.25457163729382,5.817323728844848
2026-08-14,17.854969329673985,11.296582854288761,5.892711444673515
2026-08-17,17.98345255700493,11.377804540478964,5.930847751739643
2026-08-18,18.112190605315437,11.588560812403559,5.846145649175494
2026-08-19,18.241077540059347,11.631505611998417,5.920883976100844
2026-08-20,18.370488674023132,11.672116455093494,5.998249546585099
2026-08-21,18.499742437298284,11.712960693838582,6.075196379460035
2026-08-24,18.61967034512457,11.749603810884167,6.147732340838319
2026-08-25,18.739592556945706,12.012173917102542,6.0059709624258995
2026-08-26,18.859465217998217,12.057219277547105,6.070332624980712
2026-08-27,18.97937325164909,12.09806351629219,6.138651747857149
2026-08-28,19.09970018854188,12.138674359387291,6.207515711168088
2026-08-31,19.220303155357165,12.200757602279811,6.2562372154024715
2026-09-01,19.340874077563353,12.437187395701322,6.140038577775719
2026-09-02,19.461582957715272,12.471263160597212,6.215205200582319
2026-09-03,19.582407384594735,12.514207960192048,6.2820505539206595
