program,yil,ima
ovp2027,2025,39.47627965043695
ovp2027,2026,46.86765513454146
ovp2027,2027,56.05191532258065
ovp2027,2028,63.69392635102822
ovp2027,2029,68.82741573033708
ovp2026,2024,32.83284241531664
ovp2026,2025,39.62970044614404
ovp2026,2026,46.59650180940893
ovp2026,2027,50.71242200794101
ovp2026,2028,53.76299045599151
