tarih,tufe_12a
2006-01-01,7.93499122925192
2006-02-01,8.144858777064744
2006-03-01,8.16130993975326
2006-04-01,8.82988845335111
2006-05-01,9.863741751265431
2006-06-01,10.118996633085883
2006-07-01,11.692784617970098
2006-08-01,10.262101675622448
2006-09-01,10.546776143028168
2006-10-01,9.979244526560338
2006-11-01,9.857540747385762
2006-12-01,9.65348568940334
2007-01-01,9.929594580486524
2007-02-01,10.158268797114768
2007-03-01,10.86326298892464
2007-04-01,10.719962101966953
2007-05-01,9.22776891599666
2007-06-01,8.59830536144015
2007-07-01,6.899475725935322
2007-08-01,7.394502596989994
2007-09-01,7.124837553045782
2007-10-01,7.699856491320745
2007-11-01,8.399165322107427
2007-12-01,8.387240554308285
2008-01-01,8.171378093839387
2008-02-01,9.104237025493212
2008-03-01,9.152320755110145
2008-04-01,9.660518148236472
2008-05-01,10.7405557497124
2008-06-01,10.609206028176033
2008-07-01,12.064613928040524
2008-08-01,11.766402461552785
2008-09-01,11.125383432821678
2008-10-01,11.98570143524611
2008-11-01,10.759711135423869
2008-12-01,10.063799210543012
2009-01-01,9.50047634487683
2009-02-01,7.733136194408474
2009-03-01,7.885805548149194
2009-04-01,6.126055254062246
2009-05-01,5.2363448506144605
2009-06-01,5.734256575411445
2009-07-01,5.392535439039836
2009-08-01,5.334795357236244
2009-09-01,5.272283615040063
2009-10-01,5.0760467211412585
2009-11-01,5.530726313170398
2009-12-01,6.525803908563765
2010-01-01,8.18520828940732
2010-02-01,10.12784529246591
2010-03-01,9.560819186472802
2010-04-01,10.194264613754566
2010-05-01,9.099822253157086
2010-06-01,8.367509417220198
2010-07-01,7.5772377719593775
2010-08-01,8.334864401777065
2010-09-01,9.235649412402068
2010-10-01,8.61925187914192
2010-11-01,7.287806479379189
2010-12-01,6.401029833770977
2011-01-01,4.900327383790781
2011-02-01,4.156520728320734
2011-03-01,3.9860376995088487
2011-04-01,4.264607103856188
2011-05-01,7.172545503066607
2011-06-01,6.235878870693568
2011-07-01,6.311368354715063
2011-08-01,6.653476557436289
2011-09-01,6.154018005639705
2011-10-01,7.65560731796715
2011-11-01,9.484649106828558
2011-12-01,10.44817156944582
2012-01-01,10.613362481996646
2012-02-01,10.43331699697978
2012-03-01,10.427720506778137
2012-04-01,11.137949528109182
2012-05-01,8.280488437112332
2012-06-01,8.868566669608047
2012-07-01,9.065185946264332
2012-08-01,8.883235187591687
2012-09-01,9.185122772823462
2012-10-01,7.798889571099776
2012-11-01,6.3695543745840855
2012-12-01,6.163803837928361
2013-01-01,7.307654319133783
2013-02-01,7.0254038581746725
2013-03-01,7.29064531040986
2013-04-01,6.133784192762559
2013-05-01,6.514689487912051
2013-06-01,8.297518999646458
2013-07-01,8.884429071612221
2013-08-01,8.168232522657126
2013-09-01,7.882437983425983
2013-10-01,7.7119364368371635
2013-11-01,7.315695414474921
2013-12-01,7.400459634226775
2014-01-01,7.751222648082456
2014-02-01,7.889047253771064
2014-03-01,8.38550467206558
2014-04-01,9.383390099399126
2014-05-01,9.656018523301224
2014-06-01,9.163472295600773
2014-07-01,9.319367045590576
2014-08-01,9.536024587015124
2014-09-01,8.856236857930844
2014-10-01,8.962885028214384
2014-11-01,9.150728171491252
2014-12-01,8.169948848005127
2015-01-01,7.24072962027793
2015-02-01,7.546687167708477
2015-03-01,7.610253795567945
2015-04-01,7.912801196986341
2015-05-01,8.092988571709991
2015-06-01,7.204527607824929
2015-07-01,6.814162882321595
2015-08-01,7.140509413261786
2015-09-01,7.946992738340408
2015-10-01,7.581430913019638
2015-11-01,8.10224254208951
2015-12-01,8.808332036810796
2016-01-01,9.578758282916075
2016-02-01,8.777354880252798
2016-03-01,7.459938151090761
2016-04-01,6.565403465964059
2016-05-01,6.582327035292357
2016-06-01,7.637470678989211
2016-07-01,8.793408798381952
2016-08-01,8.045095500756672
2016-09-01,7.282125315770282
2016-10-01,7.159431097619762
2016-11-01,7.0005204706316215
2016-12-01,8.533056290752384
2017-01-01,9.218772707758196
2017-02-01,10.12828922847586
2017-03-01,11.29179278888648
2017-04-01,11.869618623097033
2017-05-01,11.722178319464671
2017-06-01,10.901084690381202
2017-07-01,9.788378546467412
2017-08-01,10.67930148799061
2017-09-01,11.198497927226914
2017-10-01,11.898858044412776
2017-11-01,12.98426048848822
2017-12-01,11.91973752398483
2018-01-01,10.345632960625029
2018-02-01,10.259125694216031
2018-03-01,10.234569512493575
2018-04-01,10.849529479910249
2018-05-01,12.147065371901377
2018-06-01,15.385112044374694
2018-07-01,15.849020060385154
2018-08-01,17.89642458240328
2018-09-01,24.518924477408333
2018-10-01,25.24032458712209
2018-11-01,21.618795745954777
2018-12-01,20.30176224970528
2019-01-01,20.353741482771117
2019-02-01,19.67163909126528
2019-03-01,19.71291005994027
2019-04-01,19.50230469209131
2019-05-01,18.71160361179558
2019-06-01,15.720120848609389
2019-07-01,16.646726646724908
2019-08-01,15.008431661154686
2019-09-01,9.262102076491718
2019-10-01,8.552844691232675
2019-11-01,10.561848850021535
2019-12-01,11.836092200504943
2020-01-01,12.1536413245267
2020-02-01,12.367384775600977
2020-03-01,11.859189212541231
2020-04-01,10.936699005574834
2020-05-01,11.39001742119772
2020-06-01,12.622392056216402
2020-07-01,11.764144631798423
2020-08-01,11.77040961889888
2020-09-01,11.748314011325856
2020-10-01,11.88962095023638
2020-11-01,14.026300790890222
2020-12-01,14.599319013699176
2021-01-01,14.973681190313547
2021-02-01,15.610910236962528
2021-03-01,16.19024370949589
2021-04-01,17.140153588092865
2021-05-01,16.59285314175072
2021-06-01,17.525330559410346
2021-07-01,18.951681750492757
2021-08-01,19.25266074508134
2021-09-01,19.582573722674645
2021-10-01,19.89002425891282
2021-11-01,21.31252755477557
2021-12-01,36.08090167750451
2022-01-01,48.69082410620542
2022-02-01,54.43856667956864
2022-03-01,61.14453802711355
2022-04-01,69.97107003092505
2022-05-01,73.49595006178772
2022-06-01,78.61839702491453
2022-07-01,79.60205249174939
2022-08-01,80.20759409811238
2022-09-01,83.45249358214318
2022-10-01,85.51478639256433
2022-11-01,84.38925996499486
2022-12-01,64.26959753021009
2023-01-01,57.68248106647735
2023-02-01,55.179828233363246
2023-03-01,50.50851070940598
2023-04-01,43.68416980170797
2023-05-01,39.585300959801614
2023-06-01,38.21351875871413
2023-07-01,47.831733307401095
2023-08-01,58.94353368806395
2023-09-01,61.52986461383583
2023-10-01,61.35701105169655
2023-11-01,61.98016605561012
2023-12-01,64.77291859068686
2024-01-01,64.8569149400415
2024-02-01,67.06919193088945
2024-03-01,68.49537313071615
2024-04-01,69.8024675940787
2024-05-01,75.44594801149734
2024-06-01,71.59715592997165
2024-07-01,61.78100337370927
2024-08-01,51.97452780301026
2024-09-01,49.384993852763245
2024-10-01,48.584708788127706
2024-11-01,47.09272073194559
2024-12-01,44.378771424028464
2025-01-01,42.11802299020802
2025-02-01,39.05095761148188
2025-03-01,38.10382944582984
2025-04-01,37.85866364644805
2025-05-01,35.405044152595934
2025-06-01,35.04865712412333
2025-07-01,33.522409247916144
2025-08-01,32.95018219755157
2025-09-01,33.294011471927675
2025-10-01,32.866855722764484
2025-11-01,31.074841098442963
2025-12-01,30.892328316136357
2026-01-01,30.652780124071576
2026-02-01,31.53483745488579
2026-03-01,30.865453527292573
2026-04-01,32.3717402432574
2026-05-01,32.61480199456586
2026-06-01,32.10903603221191
2026-07-01,31.754096790624352
2026-08-01,31.507342820912854
