o,h,l,c,v,ts
7508.75,7511.0,7504.75,7508.25,4095,2026-06-15 00:15:00
7508.75,7509.75,7504.0,7506.25,2256,2026-06-15 00:30:00
7506.25,7509.0,7504.5,7507.25,1405,2026-06-15 00:45:00
7507.25,7511.5,7505.5,7509.75,1700,2026-06-15 01:00:00
7509.75,7512.5,7507.75,7511.0,1304,2026-06-15 01:15:00
7511.0,7514.5,7509.0,7513.5,2338,2026-06-15 01:30:00
7513.5,7514.5,7510.0,7512.25,1471,2026-06-15 01:45:00
7512.0,7515.75,7511.75,7514.75,1736,2026-06-15 02:00:00
7514.5,7518.5,7514.25,7517.5,1508,2026-06-15 02:15:00
7517.5,7519.25,7516.0,7517.5,1324,2026-06-15 02:30:00
7517.75,7520.0,7517.25,7519.0,1392,2026-06-15 02:45:00
7519.0,7519.75,7515.5,7519.25,1501,2026-06-15 03:00:00
7519.5,7523.0,7519.25,7520.75,2036,2026-06-15 03:15:00
7520.75,7523.5,7518.75,7519.5,1455,2026-06-15 03:30:00
7519.75,7521.25,7517.75,7519.5,692,2026-06-15 03:45:00
7519.5,7520.75,7517.0,7518.5,1002,2026-06-15 04:00:00
7519.0,7523.5,7518.75,7523.0,771,2026-06-15 04:15:00
7522.75,7524.75,7522.0,7524.25,1687,2026-06-15 04:30:00
7524.25,7527.25,7523.25,7526.75,1428,2026-06-15 04:45:00
7526.5,7529.75,7526.0,7529.0,1283,2026-06-15 05:00:00
7528.5,7530.0,7527.5,7528.5,1197,2026-06-15 05:15:00
7528.75,7530.75,7526.0,7529.5,3325,2026-06-15 05:30:00
7529.75,7531.25,7527.5,7531.25,1603,2026-06-15 05:45:00
7531.25,7533.25,7529.0,7529.25,2346,2026-06-15 06:00:00
7529.25,7532.25,7525.75,7528.75,2381,2026-06-15 06:15:00
7528.75,7530.0,7523.0,7526.5,2897,2026-06-15 06:30:00
7526.75,7528.25,7523.25,7526.0,2431,2026-06-15 06:45:00
7526.0,7528.5,7521.25,7525.75,3859,2026-06-15 07:00:00
7525.75,7532.0,7524.75,7528.5,5852,2026-06-15 07:15:00
7528.25,7530.5,7525.75,7527.0,5336,2026-06-15 07:30:00
7527.0,7529.5,7522.25,7522.5,5972,2026-06-15 07:45:00
7522.25,7530.0,7522.0,7526.25,6316,2026-06-15 08:00:00
7526.0,7530.0,7523.25,7529.5,7262,2026-06-15 08:15:00
7529.5,7530.0,7526.0,7529.25,7646,2026-06-15 08:30:00
7529.0,7532.25,7525.75,7527.75,6378,2026-06-15 08:45:00
7527.75,7531.5,7526.0,7527.0,6735,2026-06-15 09:00:00
7526.75,7527.75,7521.0,7521.5,7373,2026-06-15 09:15:00
7521.5,7587.75,7521.0,7584.75,7011,2026-06-15 09:30:00
7584.5,7588.75,7583.0,7587.5,5196,2026-06-15 09:45:00
7587.5,7591.5,7587.0,7590.5,7042,2026-06-15 10:00:00
7590.5,7591.5,7587.25,7591.25,4117,2026-06-15 10:15:00
7591.25,7591.25,7587.5,7590.0,4399,2026-06-15 10:30:00
7590.5,7592.75,7589.25,7592.0,5339,2026-06-15 10:45:00
7592.25,7598.0,7591.25,7597.25,9108,2026-06-15 11:00:00
7597.25,7601.0,7596.25,7599.5,8671,2026-06-15 11:15:00
7599.75,7602.25,7592.0,7592.75,8040,2026-06-15 11:30:00
7592.75,7600.25,7591.5,7595.5,10388,2026-06-15 11:45:00
7595.75,7599.0,7594.75,7595.25,6756,2026-06-15 12:00:00
7595.0,7596.75,7587.75,7589.25,16572,2026-06-15 12:15:00
7589.5,7595.5,7588.25,7592.0,24755,2026-06-15 12:30:00
7591.75,7594.75,7587.5,7594.5,13697,2026-06-15 12:45:00
7594.75,7597.0,7592.0,7596.75,16248,2026-06-15 13:00:00
7596.75,7601.0,7595.5,7599.25,21237,2026-06-15 13:15:00
7599.25,7616.0,7598.5,7609.5,115723,2026-06-15 13:30:00
7609.75,7622.5,7609.5,7614.25,84205,2026-06-15 13:45:00
7614.25,7621.0,7605.5,7611.0,87274,2026-06-15 14:00:00
7611.0,7618.0,7606.5,7617.25,78015,2026-06-15 14:15:00
7617.25,7618.25,7610.0,7613.75,67836,2026-06-15 14:30:00
7613.75,7625.0,7613.75,7623.0,68511,2026-06-15 14:45:00
7623.25,7629.25,7623.0,7628.0,73139,2026-06-15 15:00:00
7628.25,7634.0,7626.0,7632.75,67915,2026-06-15 15:15:00
7633.0,7637.0,7629.25,7636.0,61837,2026-06-15 15:30:00
7636.0,7644.5,7636.0,7643.25,44870,2026-06-15 15:45:00
7643.25,7648.75,7642.0,7643.25,55271,2026-06-15 16:00:00
7643.5,7647.5,7641.0,7646.75,43301,2026-06-15 16:15:00
7646.75,7648.25,7639.5,7641.0,45234,2026-06-15 16:30:00
7641.0,7641.5,7636.75,7640.5,51029,2026-06-15 16:45:00
7640.25,7642.25,7632.5,7639.75,49646,2026-06-15 17:00:00
7639.5,7646.5,7638.75,7643.5,47535,2026-06-15 17:15:00
7643.25,7645.25,7638.75,7639.5,36783,2026-06-15 17:30:00
7639.75,7640.5,7632.0,7633.5,37424,2026-06-15 17:45:00
7633.75,7635.0,7628.0,7633.5,51988,2026-06-15 18:00:00
7633.5,7635.5,7628.0,7628.75,39208,2026-06-15 18:15:00
7628.75,7635.25,7625.75,7634.25,36277,2026-06-15 18:30:00
7634.0,7636.25,7630.5,7631.5,27982,2026-06-15 18:45:00
7631.75,7632.75,7628.5,7632.0,37652,2026-06-15 19:00:00
7631.75,7634.5,7624.75,7625.0,35132,2026-06-15 19:15:00
7625.0,7628.25,7622.75,7625.5,50322,2026-06-15 19:30:00
7625.25,7631.25,7616.5,7630.0,227890,2026-06-15 19:45:00
