o,h,l,c,v,ts
45.909000396728516,45.92570114135742,45.89469909667969,45.9010009765625,0,2026-06-01 23:00:00
45.9005012512207,45.93510055541992,45.894798278808594,45.90650177001953,0,2026-06-01 23:05:00
45.92290115356445,45.92580032348633,45.88169860839844,45.92530059814453,0,2026-06-01 23:10:00
45.921600341796875,45.92940139770508,45.88209915161133,45.90060043334961,0,2026-06-01 23:15:00
45.90060043334961,45.926300048828125,45.89339828491211,45.92179870605469,0,2026-06-01 23:20:00
45.907501220703125,45.92620086669922,45.88140106201172,45.924198150634766,0,2026-06-01 23:25:00
45.924400329589844,45.92620086669922,45.89440155029297,45.89979934692383,0,2026-06-01 23:30:00
45.89789962768555,45.92660140991211,45.89609909057617,45.90129852294922,0,2026-06-01 23:35:00
45.901798248291016,45.92610168457031,45.88479995727539,45.92300033569336,0,2026-06-01 23:40:00
45.909400939941406,45.926700592041016,45.88880157470703,45.911380767822266,0,2026-06-01 23:45:00
45.90480041503906,45.927398681640625,45.90010070800781,45.90299987792969,0,2026-06-01 23:50:00
45.90299987792969,45.929100036621094,45.90039825439453,45.92100143432617,0,2026-06-01 23:55:00
45.91450881958008,45.92599868774414,45.895999908447266,45.924198150634766,0,2026-06-02 00:00:00
45.920101165771484,45.925498962402344,45.892799377441406,45.899200439453125,0,2026-06-02 00:05:00
45.919700622558594,45.92620086669922,45.891700744628906,45.92020034790039,0,2026-06-02 00:10:00
45.91299819946289,45.92499923706055,45.89030075073242,45.920501708984375,0,2026-06-02 00:15:00
45.92570114135742,45.92850112915039,45.892799377441406,45.901100158691406,0,2026-06-02 00:20:00
45.91590881347656,45.92509841918945,45.89400100708008,45.92359924316406,0,2026-06-02 00:25:00
45.92020034790039,45.924598693847656,45.8922004699707,45.9151496887207,0,2026-06-02 00:30:00
45.91278076171875,45.92470169067383,45.89459991455078,45.91450119018555,0,2026-06-02 00:35:00
45.91461181640625,45.924800872802734,45.8931999206543,45.900001525878906,0,2026-06-02 00:40:00
45.89939880371094,45.92470169067383,45.88359832763672,45.912601470947266,0,2026-06-02 00:45:00
45.915409088134766,45.92470169067383,45.892799377441406,45.915279388427734,0,2026-06-02 00:50:00
45.915279388427734,45.92509841918945,45.89350128173828,45.900901794433594,0,2026-06-02 00:55:00
45.900901794433594,45.92639923095703,45.894901275634766,45.92639923095703,0,2026-06-02 01:00:00
45.908199310302734,45.92679977416992,45.894798278808594,45.92190170288086,0,2026-06-02 01:05:00
45.921600341796875,45.9286994934082,45.89680099487305,45.92300033569336,0,2026-06-02 01:10:00
45.91432189941406,45.928199768066406,45.89400100708008,45.90079879760742,0,2026-06-02 01:15:00
45.91579818725586,45.926700592041016,45.89910125732422,45.922298431396484,0,2026-06-02 01:20:00
45.90290069580078,45.93790054321289,45.89289855957031,45.92509841918945,0,2026-06-02 01:25:00
45.922298431396484,45.92539978027344,45.89659881591797,45.92219924926758,0,2026-06-02 01:30:00
45.92210006713867,45.92570114135742,45.896400451660156,45.92449951171875,0,2026-06-02 01:35:00
45.90800094604492,45.92509841918945,45.896400451660156,45.92449951171875,0,2026-06-02 01:40:00
45.924598693847656,45.925201416015625,45.89250183105469,45.920799255371094,0,2026-06-02 01:45:00
45.920799255371094,45.925201416015625,45.89780044555664,45.920799255371094,0,2026-06-02 01:50:00
45.91672134399414,45.92530059814453,45.89929962158203,45.900299072265625,0,2026-06-02 01:55:00
