o,h,l,c,v,ts
2180.75,2191.5,2179.25,2185.25,1125503,2016-08-23
2185.75,2187.75,2168.75,2175.0,1508048,2016-08-24
2175.0,2177.25,2167.5,2173.5,1501328,2016-08-25
2174.0,2186.75,2157.5,2168.5,2535682,2016-08-26
2167.75,2182.25,2164.5,2179.25,1245215,2016-08-29
2180.0,2181.5,2168.5,2175.25,1372345,2016-08-30
2175.75,2176.25,2159.5,2169.5,1864629,2016-08-31
2169.0,2177.25,2154.75,2167.25,1943431,2016-09-01
2166.25,2183.75,2164.25,2178.0,1700143,2016-09-02
2179.25,2186.25,2173.0,2184.5,1627643,2016-09-06
2185.25,2186.75,2177.5,2184.5,1459543,2016-09-07
2184.5,2189.25,2175.75,2177.5,2105651,2016-09-08
2177.25,2178.25,2119.75,2122.75,2073225,2016-09-09
2121.75,2162.75,2107.0,2158.5,1450133,2016-09-12
2156.25,2157.5,2119.0,2128.75,1201101,2016-09-13
2131.75,2141.25,2118.75,2120.25,661156,2016-09-14
2121.75,2151.5,2114.75,2145.0,398401,2016-09-15
2143.75,2144.25,2135.5,2141.75,2064530,2016-09-16
2132.25,2146.75,2127.75,2133.0,1527880,2016-09-19
2133.75,2143.5,2129.0,2131.0,1385876,2016-09-20
2130.0,2157.5,2126.25,2156.25,1826950,2016-09-21
2156.25,2172.75,2152.75,2168.25,1523998,2016-09-22
2168.25,2169.5,2156.0,2158.0,1448300,2016-09-23
2156.25,2159.5,2136.75,2139.75,1602771,2016-09-26
2139.25,2154.0,2132.75,2152.75,1659780,2016-09-27
2152.0,2165.25,2144.0,2163.25,1733016,2016-09-28
2162.25,2167.0,2137.25,2148.5,2306654,2016-09-29
2145.75,2168.25,2135.75,2160.5,1989690,2016-09-30
2158.75,2164.0,2146.75,2153.25,1406125,2016-10-03
2153.75,2159.75,2136.0,2144.75,2143439,2016-10-04
2144.25,2158.0,2141.0,2153.25,1369566,2016-10-05
2153.25,2157.25,2143.25,2156.5,1209239,2016-10-06
2155.25,2161.5,2138.0,2146.5,1958026,2016-10-07
