İhale Tarihi,Senet Tanımı,Gerçek Gerçekleşme (Milyon TL),Tahmin-Ham (Milyon TL),Gerçek Bid-to-Cover,Tahmin Bid-to-Cover,Gerçek Teklif (Milyon TL),Kıyas Bazı,Tahmin-Strateji (Milyon TL),Tahmin-Düzeltilmiş (Milyon TL),Tahmin Teklif (Milyon TL),Tutar Sapma % (düzeltilmiş),Tutar Sapma % (strateji),Tutar Sapma % (ham),B2C Sapma %,Teklif Sapma %
21.01.2025,TÜFE'ye Endeksli Devlet Tahvili,13911.0,11232.0,1.27,1.9,17663.0,Aynı tahvil (itfa eşleşmesi),17292.0,13514.0,25677.0,-2.9,24.3,-19.3,49.6,45.4
10.02.2025,Sabit Kuponlu Devlet Tahvili,53338.0,38701.0,1.88,2.01,100239.0,Aynı tip + benzer vade,39650.0,30986.0,62282.0,-41.9,-25.7,-27.4,6.9,-37.9
11.02.2025,Hazine Bonosu,21211.0,28046.0,2.16,2.44,45902.0,Aynı tahvil (itfa eşleşmesi),28734.0,22455.0,54790.0,5.9,35.5,32.2,13.0,19.4
17.02.2025,TLREF'e Endeksli Devlet Tahvili,40438.0,50912.0,2.86,2.18,115702.0,Aynı tahvil (itfa eşleşmesi),52160.0,40762.0,88861.0,0.8,29.0,25.9,-23.8,-23.2
18.02.2025,TÜFE'ye Endeksli Devlet Tahvili,21347.0,12572.0,1.48,1.58,31513.0,Aynı tahvil (itfa eşleşmesi),12880.0,10066.0,15904.0,-52.8,-39.7,-41.1,6.8,-49.5
18.02.2025,Sabit Kuponlu Devlet Tahvili,47837.0,28088.0,2.58,1.72,123235.0,Aynı tahvil (itfa eşleşmesi),28777.0,22489.0,38681.0,-53.0,-39.8,-41.3,-33.3,-68.6
11.03.2025,TLREF'e Endeksli Devlet Tahvili,43794.0,47420.0,1.67,2.41,73322.0,Aynı tip + benzer vade,45274.0,35381.0,85268.0,-19.2,3.4,8.3,44.3,16.3
11.03.2025,Sabit Kuponlu Devlet Tahvili,58567.0,53338.0,2.16,1.88,126784.0,Aynı tahvil (itfa eşleşmesi),50924.0,39797.0,74818.0,-32.0,-13.1,-8.9,-13.0,-41.0
17.03.2025,Değişken Faizli Devlet Tahvili,21051.0,13622.0,2.19,1.83,46047.0,Aynı tip + benzer vade,13006.0,10164.0,18600.0,-51.7,-38.2,-35.3,-16.4,-59.6
18.03.2025,Sabit Kuponlu Devlet Tahvili,53684.0,33832.0,1.92,2.07,103321.0,Aynı tahvil (itfa eşleşmesi),32301.0,25243.0,52253.0,-53.0,-39.8,-37.0,7.8,-49.4
18.03.2025,TÜFE'ye Endeksli Devlet Tahvili,17435.0,15497.0,1.72,1.55,29917.0,Aynı tahvil (itfa eşleşmesi),14796.0,11563.0,17923.0,-33.7,-15.1,-11.1,-9.9,-40.1
07.04.2025,Sabit Kuponlu Devlet Tahvili,62583.0,55952.0,1.33,2.02,83319.0,Aynı tahvil (itfa eşleşmesi),129181.0,100953.0,203925.0,61.3,106.4,-10.6,51.9,144.8
08.04.2025,TLREF'e Endeksli Devlet Tahvili,78196.0,3065.0,2.02,1.88,157996.0,Aynı tip + benzer vade,7076.0,5530.0,10396.0,-92.9,-91.0,-96.1,-6.9,-93.4
08.04.2025,Sabit Kuponlu Devlet Tahvili,24562.0,44175.0,2.09,2.2,51323.0,Aynı tahvil (itfa eşleşmesi),101990.0,79704.0,175349.0,224.5,315.2,79.9,5.3,241.7
14.04.2025,Hazine Bonosu,7388.0,24628.0,2.78,2.3,20503.0,Aynı tahvil (itfa eşleşmesi),56861.0,44436.0,102203.0,501.5,669.6,233.4,-17.3,398.5
14.04.2025,Sabit Kuponlu Devlet Tahvili,6935.0,11941.0,2.04,2.86,14166.0,Aynı tahvil (itfa eşleşmesi),27569.0,21545.0,61619.0,210.7,297.5,72.2,40.2,335.0
15.04.2025,TÜFE'ye Endeksli Devlet Tahvili,46878.0,12657.0,1.2,1.87,56115.0,Aynı tip + benzer vade,29222.0,22837.0,42705.0,-51.3,-37.7,-73.0,55.8,-23.9
06.05.2025,Değişken Faizli Devlet Tahvili,9519.0,21051.0,1.95,2.19,18602.0,Aynı tahvil (itfa eşleşmesi),32061.0,25055.0,54870.0,163.2,236.8,121.1,12.3,195.0
06.05.2025,Sabit Kuponlu Devlet Tahvili,25787.0,3116.0,1.51,2.4,39019.0,Aynı tahvil (itfa eşleşmesi),4746.0,3709.0,8902.0,-85.6,-81.6,-87.9,58.9,-77.2
13.05.2025,TLREF'e Endeksli Devlet Tahvili,57858.0,43794.0,1.78,1.67,103075.0,Aynı tahvil (itfa eşleşmesi),66698.0,52124.0,87047.0,-9.9,15.3,-24.3,-6.2,-15.5
13.05.2025,TÜFE'ye Endeksli Devlet Tahvili,8887.0,46878.0,1.81,1.2,16047.0,Aynı tahvil (itfa eşleşmesi),71395.0,55794.0,66953.0,527.8,703.4,427.5,-33.7,317.2
10.06.2025,Değişken Faizli Devlet Tahvili,16532.0,15285.0,1.72,2.07,28405.0,Aynı tahvil (itfa eşleşmesi),35144.0,27465.0,56853.0,66.1,112.6,-7.5,20.3,100.2
10.06.2025,Sabit Kuponlu Devlet Tahvili,67947.0,42028.0,1.76,2.2,119706.0,Aynı tahvil (itfa eşleşmesi),96633.0,75518.0,166140.0,11.1,42.2,-38.1,25.0,38.8
10.06.2025,Hazine Bonosu,13376.0,18882.0,1.7,2.46,22738.0,Aynı tip + benzer vade,43415.0,33928.0,83463.0,153.6,224.6,41.2,44.7,267.1
16.06.2025,Sabit Kuponlu Devlet Tahvili,56193.0,10126.0,1.86,2.35,104473.0,Aynı tahvil (itfa eşleşmesi),23282.0,18195.0,42758.0,-67.6,-58.6,-82.0,26.3,-59.1
16.06.2025,TÜFE'ye Endeksli Devlet Tahvili,4616.0,22332.0,2.06,1.63,9487.0,Aynı tip + benzer vade,51347.0,40127.0,65407.0,769.3,1012.4,383.8,-20.9,589.4
17.06.2025,Sabit Kuponlu Devlet Tahvili,12294.0,8727.0,2.96,2.58,36436.0,Aynı tahvil (itfa eşleşmesi),20066.0,15681.0,40457.0,27.6,63.2,-29.0,-12.8,11.0
17.06.2025,TLREF'e Endeksli Devlet Tahvili,66599.0,4616.0,1.6,2.06,106814.0,Aynı tahvil (itfa eşleşmesi),10613.0,8294.0,17086.0,-87.5,-84.1,-93.1,28.7,-84.0
07.07.2025,Hazine Bonosu,19451.0,13376.0,1.74,1.7,33772.0,Aynı tahvil (itfa eşleşmesi),20292.0,15858.0,26959.0,-18.5,4.3,-31.2,-2.3,-20.2
07.07.2025,TLREF'e Endeksli Devlet Tahvili,77774.0,56084.0,2.16,1.69,168201.0,Aynı tip + benzer vade,85084.0,66492.0,112371.0,-14.5,9.4,-27.9,-21.8,-33.2
08.07.2025,Sabit Kuponlu Devlet Tahvili,14337.0,8866.0,2.6,2.92,37287.0,Aynı tahvil (itfa eşleşmesi),13450.0,10511.0,30692.0,-26.7,-6.2,-38.2,12.3,-17.7
08.07.2025,Değişken Faizli Devlet Tahvili,33910.0,15701.0,2.39,1.95,81214.0,Aynı tahvil (itfa eşleşmesi),23820.0,18615.0,36299.0,-45.1,-29.8,-53.7,-18.4,-55.3
14.07.2025,Sabit Kuponlu Devlet Tahvili,47904.0,48188.0,1.54,1.57,73884.0,Aynı tip + benzer vade,73105.0,57131.0,89696.0,19.3,52.6,0.6,1.9,21.4
14.07.2025,TÜFE'ye Endeksli Devlet Tahvili,8934.0,35608.0,1.23,1.83,10967.0,Aynı tahvil (itfa eşleşmesi),54020.0,42216.0,77255.0,372.5,504.7,298.6,48.8,604.4
14.07.2025,Sabit Kuponlu Devlet Tahvili,33425.0,48731.0,1.72,1.93,57353.0,Aynı tip + benzer vade,73929.0,57775.0,111506.0,72.8,121.2,45.8,12.2,94.4
11.08.2025,Sabit Kuponlu Devlet Tahvili,80502.0,47904.0,1.68,1.54,135218.0,Aynı tahvil (itfa eşleşmesi),98548.0,77014.0,118602.0,-4.3,22.4,-40.5,-8.3,-12.3
12.08.2025,Hazine Bonosu,41653.0,13405.0,2.05,2.07,85207.0,Aynı tip + benzer vade,27577.0,21551.0,44611.0,-48.3,-33.8,-67.8,1.0,-47.6
18.08.2025,Değişken Faizli Devlet Tahvili,28076.0,19987.0,3.86,2.02,108325.0,Aynı tip + benzer vade,41117.0,32132.0,64907.0,14.4,46.4,-28.8,-47.7,-40.1
19.08.2025,Sabit Kuponlu Devlet Tahvili,74165.0,33425.0,1.68,1.72,124477.0,Aynı tahvil (itfa eşleşmesi),68762.0,53737.0,92428.0,-27.5,-7.3,-54.9,2.4,-25.7
19.08.2025,TLREF'e Endeksli Devlet Tahvili,67747.0,77774.0,4.67,2.16,316568.0,Aynı tahvil (itfa eşleşmesi),159996.0,125035.0,270076.0,84.6,136.2,14.8,-53.7,-14.7
08.09.2025,Hazine Bonosu,67005.0,41653.0,1.4,2.05,93590.0,Aynı tahvil (itfa eşleşmesi),61349.0,47944.0,98285.0,-28.4,-8.4,-37.8,46.4,5.0
09.09.2025,Sabit Kuponlu Devlet Tahvili,12366.0,53795.0,6.7,1.7,82842.0,Aynı tahvil (itfa eşleşmesi),79232.0,61919.0,105262.0,400.7,540.7,335.0,-74.6,27.1
09.09.2025,Sabit Kuponlu Devlet Tahvili,67237.0,64203.0,2.06,1.61,138455.0,Aynı tahvil (itfa eşleşmesi),94562.0,73899.0,118977.0,9.9,40.6,-4.5,-21.8,-14.1
16.09.2025,TÜFE'ye Endeksli Devlet Tahvili,16350.0,20896.0,1.41,1.74,23075.0,Aynı tip + benzer vade,30777.0,24052.0,41850.0,47.1,88.2,27.8,23.4,81.4
16.09.2025,Sabit Kuponlu Devlet Tahvili,10397.0,11189.0,4.42,2.54,45999.0,Aynı tip + benzer vade,16480.0,12879.0,32713.0,23.9,58.5,7.6,-42.5,-28.9
06.10.2025,Hazine Bonosu,42411.0,54329.0,1.76,1.72,74448.0,Aynı tahvil (itfa eşleşmesi),136247.0,106475.0,183137.0,151.1,221.3,28.1,-2.3,146.0
07.10.2025,Sabit Kuponlu Devlet Tahvili,42134.0,39985.0,1.93,3.36,81461.0,Aynı tip + benzer vade,100275.0,78364.0,263303.0,86.0,138.0,-5.1,74.1,223.2
13.10.2025,TÜFE'ye Endeksli Devlet Tahvili,15462.0,16350.0,1.36,1.41,21053.0,Aynı tahvil (itfa eşleşmesi),41003.0,32043.0,45181.0,107.2,165.2,5.7,3.7,114.6
14.10.2025,Sabit Kuponlu Devlet Tahvili,15376.0,10397.0,1.67,4.42,25660.0,Aynı tahvil (itfa eşleşmesi),26074.0,20377.0,90066.0,32.5,69.6,-32.4,164.7,251.0
14.10.2025,Sabit Kuponlu Devlet Tahvili,45744.0,13997.0,1.76,3.25,80524.0,Aynı tahvil (itfa eşleşmesi),35102.0,27432.0,89154.0,-40.0,-23.3,-69.4,84.7,10.7
10.11.2025,Hazine Bonosu,34117.0,50356.0,2.53,1.73,86317.0,Aynı tahvil (itfa eşleşmesi),47584.0,37186.0,64332.0,9.0,39.5,47.6,-31.6,-25.5
11.11.2025,Sabit Kuponlu Devlet Tahvili,40402.0,25505.0,2.25,2.27,90878.0,Aynı tahvil (itfa eşleşmesi),24101.0,18835.0,42755.0,-53.4,-40.3,-36.9,0.9,-53.0
11.11.2025,Sabit Kuponlu Devlet Tahvili,7120.0,42134.0,4.19,1.93,29803.0,Aynı tahvil (itfa eşleşmesi),39815.0,31115.0,60052.0,337.0,459.2,491.8,-53.9,101.5
08.12.2025,Hazine Bonosu,33875.0,47844.0,2.5,1.89,84751.0,Aynı tahvil (itfa eşleşmesi),47541.0,37153.0,70219.0,9.7,40.3,41.2,-24.4,-17.1
09.12.2025,Sabit Kuponlu Devlet Tahvili,38291.0,33194.0,2.7,2.36,103419.0,Aynı tahvil (itfa eşleşmesi),32983.0,25776.0,60831.0,-32.7,-13.9,-13.3,-12.6,-41.2
09.12.2025,Sabit Kuponlu Devlet Tahvili,25794.0,24627.0,2.49,3.06,64281.0,Aynı tahvil (itfa eşleşmesi),24471.0,19124.0,58519.0,-25.9,-5.1,-4.5,22.9,-9.0
16.12.2025,TÜFE'ye Endeksli Devlet Tahvili,6677.0,15906.0,1.55,1.39,10337.0,Aynı tahvil (itfa eşleşmesi),15805.0,12351.0,17168.0,85.0,136.7,138.2,-10.3,66.1
05.01.2026,Kuponsuz Devlet Tahvili,46319.0,7030.0,2.27,2.52,105264.0,Aynı tip + benzer vade,13370.0,10449.0,26331.0,-77.4,-71.1,-84.8,11.0,-75.0
05.01.2026,Değişken Faizli Devlet Tahvili,31506.0,2357.0,3.93,2.33,123752.0,Aynı tip + benzer vade,4483.0,3503.0,8162.0,-88.9,-85.8,-92.5,-40.7,-93.4
06.01.2026,Sabit Kuponlu Devlet Tahvili,71176.0,25016.0,2.54,2.87,180594.0,Aynı tahvil (itfa eşleşmesi),47577.0,37181.0,106709.0,-47.8,-33.2,-64.9,13.0,-40.9
12.01.2026,TÜFE'ye Endeksli Devlet Tahvili,22650.0,12830.0,1.54,1.44,34917.0,Aynı tip + benzer vade,24401.0,19069.0,27459.0,-15.8,7.7,-43.4,-6.5,-21.4
12.01.2026,Sabit Kuponlu Devlet Tahvili,55654.0,41479.0,2.79,2.24,155384.0,Aynı tahvil (itfa eşleşmesi),78887.0,61649.0,138094.0,10.8,41.7,-25.5,-19.7,-11.1
13.01.2026,Sabit Kuponlu Devlet Tahvili,15283.0,12886.0,2.25,3.05,34341.0,Aynı tahvil (itfa eşleşmesi),24507.0,19152.0,58414.0,25.3,60.4,-15.7,35.6,70.1
13.01.2026,TLREF'e Endeksli Devlet Tahvili,74493.0,70707.0,2.38,2.81,176939.0,Aynı tip + benzer vade,134475.0,105091.0,295306.0,41.1,80.5,-5.1,18.1,66.9
09.02.2026,TLREF'e Endeksli Devlet Tahvili,61896.0,74493.0,1.64,2.38,101430.0,Aynı tahvil (itfa eşleşmesi),76150.0,59510.0,141634.0,-3.9,23.0,20.4,45.1,39.6
09.02.2026,Sabit Kuponlu Devlet Tahvili,43969.0,34697.0,1.78,3.07,78371.0,Aynı tahvil (itfa eşleşmesi),35469.0,27719.0,85097.0,-37.0,-19.3,-21.1,72.5,8.6
10.02.2026,Hazine Bonosu,15664.0,46319.0,3.15,2.27,49318.0,Aynı tahvil (itfa eşleşmesi),47349.0,37003.0,83997.0,136.2,202.3,195.7,-27.9,70.3
16.02.2026,Sabit Kuponlu Devlet Tahvili,67263.0,44782.0,2.06,2.58,138267.0,Aynı tahvil (itfa eşleşmesi),45778.0,35775.0,92300.0,-46.8,-31.9,-33.4,25.2,-33.2
16.02.2026,TÜFE'ye Endeksli Devlet Tahvili,12737.0,22650.0,1.21,1.54,15445.0,Aynı tahvil (itfa eşleşmesi),23154.0,18095.0,27866.0,42.1,81.8,77.8,27.3,80.4
10.03.2026,Hazine Bonosu,32581.0,30992.0,1.73,2.71,56415.0,Aynı tahvil (itfa eşleşmesi),22985.0,17963.0,48680.0,-44.9,-29.5,-4.9,56.6,-13.7
10.03.2026,TÜFE'ye Endeksli Devlet Tahvili,13025.0,17694.0,1.39,1.38,18164.0,Aynı tahvil (itfa eşleşmesi),13123.0,10255.0,14152.0,-21.3,0.8,35.8,-0.7,-22.1
16.03.2026,Sabit Kuponlu Devlet Tahvili,3749.0,12300.0,6.21,3.06,23275.0,Aynı tahvil (itfa eşleşmesi),9122.0,7129.0,21815.0,90.2,143.3,228.1,-50.7,-6.3
16.03.2026,Sabit Kuponlu Devlet Tahvili,23059.0,46980.0,1.47,2.27,33905.0,Aynı tahvil (itfa eşleşmesi),34842.0,27229.0,61810.0,18.1,51.1,103.7,54.4,82.3
17.03.2026,Sabit Kuponlu Devlet Tahvili,20073.0,53736.0,2.22,2.52,44649.0,Aynı tip + benzer vade,39853.0,31145.0,78485.0,55.2,98.5,167.7,13.5,75.8
17.03.2026,TLREF'e Endeksli Devlet Tahvili,47739.0,68194.0,2.83,2.01,135310.0,Aynı tahvil (itfa eşleşmesi),50575.0,39524.0,79443.0,-17.2,5.9,42.8,-29.0,-41.3
06.04.2026,Hazine Bonosu,18555.0,27373.0,2.03,2.46,37689.0,Aynı tip + benzer vade,49401.0,38606.0,94971.0,108.1,166.2,47.5,21.2,152.0
06.04.2026,TÜFE'ye Endeksli Devlet Tahvili,15241.0,16137.0,1.28,1.38,19559.0,Aynı tahvil (itfa eşleşmesi),29123.0,22759.0,31407.0,49.3,91.1,5.9,7.8,60.6
07.04.2026,TLREF'e Endeksli Devlet Tahvili,99817.0,61376.0,1.68,2.28,167893.0,Aynı tahvil (itfa eşleşmesi),110767.0,86563.0,197364.0,-13.3,11.0,-38.5,35.7,17.6
21.04.2026,Sabit Kuponlu Devlet Tahvili,31570.0,20073.0,1.51,2.22,47791.0,Aynı tahvil (itfa eşleşmesi),36226.0,28310.0,62848.0,-10.3,14.7,-36.4,47.0,31.5
21.04.2026,Sabit Kuponlu Devlet Tahvili,26492.0,13622.0,1.46,1.83,38547.0,Aynı tahvil (itfa eşleşmesi),24584.0,19212.0,35158.0,-27.5,-7.2,-48.6,25.3,-8.8
05.05.2026,Hazine Bonosu,24022.0,18555.0,1.66,2.03,39815.0,Aynı tahvil (itfa eşleşmesi),20559.0,16067.0,32616.0,-33.1,-14.4,-22.8,22.3,-18.1
05.05.2026,Sabit Kuponlu Devlet Tahvili,20222.0,18075.0,1.44,1.88,29127.0,Aynı tahvil (itfa eşleşmesi),20027.0,15651.0,29424.0,-22.6,-1.0,-10.6,30.6,1.0
11.05.2026,Sabit Kuponlu Devlet Tahvili,28616.0,25822.0,1.41,1.87,40393.0,Aynı tahvil (itfa eşleşmesi),28611.0,22359.0,41811.0,-21.9,-0.0,-9.8,32.6,3.5
11.05.2026,TÜFE'ye Endeksli Devlet Tahvili,8311.0,13668.0,1.4,1.3,11623.0,Aynı tip + benzer vade,15144.0,11835.0,15386.0,42.4,82.2,64.5,-7.1,32.4
12.05.2026,TLREF'e Endeksli Devlet Tahvili,86490.0,69817.0,2.89,2.05,249979.0,Aynı tahvil (itfa eşleşmesi),77358.0,60454.0,123931.0,-30.1,-10.6,-19.3,-29.1,-50.4
08.06.2026,TÜFE'ye Endeksli Devlet Tahvili,13186.0,8311.0,1.3,1.4,17184.0,Aynı tahvil (itfa eşleşmesi),12239.0,9565.0,13391.0,-27.5,-7.2,-37.0,7.7,-22.1
09.06.2026,Değişken Faizli Devlet Tahvili,21770.0,12686.0,1.98,2.35,43050.0,Aynı tahvil (itfa eşleşmesi),18682.0,14600.0,34310.0,-32.9,-14.2,-41.7,18.7,-20.3
09.06.2026,TLREF'e Endeksli Devlet Tahvili,129165.0,78015.0,2.03,2.47,262173.0,Aynı tahvil (itfa eşleşmesi),114887.0,89783.0,221764.0,-30.5,-11.1,-39.6,21.7,-15.4
15.06.2026,Sabit Kuponlu Devlet Tahvili,32196.0,26753.0,1.65,1.72,53221.0,Aynı tahvil (itfa eşleşmesi),39397.0,30788.0,52955.0,-4.4,22.4,-16.9,4.2,-0.5
15.06.2026,Hazine Bonosu,71876.0,58163.0,2.17,1.79,155637.0,Aynı tahvil (itfa eşleşmesi),85652.0,66936.0,119815.0,-6.9,19.2,-19.1,-17.5,-23.0
16.06.2026,Sabit Kuponlu Devlet Tahvili,29804.0,22370.0,1.28,1.63,38046.0,Aynı tahvil (itfa eşleşmesi),32943.0,25745.0,41964.0,-13.6,10.5,-24.9,27.3,10.3
07.07.2026,TLREF'e Endeksli Devlet Tahvili,157276.0,105157.0,1.93,2.2,304100.0,Aynı tip + benzer vade,222767.0,174090.0,382998.0,10.7,41.6,-33.1,14.0,25.9
07.07.2026,Sabit Kuponlu Devlet Tahvili,33023.0,25506.0,1.54,1.39,50856.0,Aynı tahvil (itfa eşleşmesi),54033.0,42226.0,58694.0,27.9,63.6,-22.8,-9.7,15.4
