İhale Tarihi,Senet Tanımı,Gerçek Gerçekleşme (Milyon TL),Tahmin-Ham (Milyon TL),Gerçek Bid-to-Cover,Tahmin Bid-to-Cover,Gerçek Teklif (Milyon TL),Kıyas Bazı,Tahmin-Strateji (Milyon TL),Tahmin-Düzeltilmiş (Milyon TL),Tahmin Teklif (Milyon TL),Tutar Sapma % (düzeltilmiş),Tutar Sapma % (strateji),Tutar Sapma % (ham),B2C Sapma %,Teklif Sapma %
19.02.2024,Sabit Kuponlu Devlet Tahvili,20267.0,19916.0,1.8,2.11,36532.0,Aynı tahvil (itfa eşleşmesi),49832.0,38943.0,82170.0,92.1,145.9,-1.7,17.2,124.9
19.02.2024,Sabit Kuponlu Devlet Tahvili,11330.0,16155.0,1.78,2.76,20161.0,Aynı tip + benzer vade,40422.0,31589.0,87186.0,178.8,256.8,42.6,55.1,332.4
20.02.2024,TÜFE'ye Endeksli Devlet Tahvili,7506.0,10025.0,2.6,2.69,19492.0,Aynı tip + benzer vade,25084.0,19603.0,52732.0,161.2,234.2,33.6,3.5,170.5
11.03.2024,TLREF'e Endeksli Devlet Tahvili,11134.0,14592.0,2.55,3.45,28344.0,Aynı tahvil (itfa eşleşmesi),19425.0,15180.0,52371.0,36.3,74.5,31.1,35.3,84.8
11.03.2024,Kuponsuz Devlet Tahvili,1638.0,4995.0,3.1,2.33,5076.0,Aynı tahvil (itfa eşleşmesi),6649.0,5196.0,12107.0,217.2,305.9,204.9,-24.8,138.5
12.03.2024,Sabit Kuponlu Devlet Tahvili,17800.0,21836.0,3.37,4.16,60028.0,Aynı tahvil (itfa eşleşmesi),29068.0,22716.0,94499.0,27.6,63.3,22.7,23.4,57.4
12.03.2024,Değişken Faizli Devlet Tahvili,10112.0,12123.0,2.58,3.18,26063.0,Aynı tahvil (itfa eşleşmesi),16138.0,12612.0,40106.0,24.7,59.6,19.9,23.3,53.9
18.03.2024,Sabit Kuponlu Devlet Tahvili,5842.0,11330.0,2.31,1.78,13473.0,Aynı tahvil (itfa eşleşmesi),15082.0,11786.0,20979.0,101.7,158.2,93.9,-22.9,55.7
18.03.2024,TÜFE'ye Endeksli Devlet Tahvili,8320.0,7506.0,1.91,2.6,15865.0,Aynı tahvil (itfa eşleşmesi),9992.0,7809.0,20303.0,-6.1,20.1,-9.8,36.1,28.0
19.03.2024,Sabit Kuponlu Devlet Tahvili,19881.0,23623.0,2.15,2.04,42706.0,Aynı tahvil (itfa eşleşmesi),31446.0,24575.0,50133.0,23.6,58.2,18.8,-5.1,17.4
15.04.2024,Hazine Bonosu,3035.0,3876.0,2.63,2.58,7997.0,Aynı tahvil (itfa eşleşmesi),6671.0,5213.0,13450.0,71.8,119.8,27.7,-1.9,68.2
15.04.2024,Sabit Kuponlu Devlet Tahvili,18288.0,8586.0,1.32,2.04,24134.0,Aynı tahvil (itfa eşleşmesi),14777.0,11548.0,23558.0,-36.9,-19.2,-53.1,54.5,-2.4
16.04.2024,TLREF'e Endeksli Devlet Tahvili,23045.0,13439.0,1.89,3.15,43651.0,Aynı tahvil (itfa eşleşmesi),23129.0,18075.0,56936.0,-21.6,0.4,-41.7,66.7,30.4
16.04.2024,Sabit Kuponlu Devlet Tahvili,14058.0,23688.0,1.51,1.95,21161.0,Aynı tahvil (itfa eşleşmesi),40767.0,31859.0,62125.0,126.6,190.0,68.5,29.1,193.6
16.04.2024,TÜFE'ye Endeksli Devlet Tahvili,9665.0,7913.0,1.77,2.25,17102.0,Aynı tahvil (itfa eşleşmesi),13618.0,10642.0,23944.0,10.1,40.9,-18.1,27.1,40.0
22.04.2024,Değişken Faizli Devlet Tahvili,10584.0,12686.0,1.94,2.35,20547.0,Aynı tip + benzer vade,21833.0,17062.0,40096.0,61.2,106.3,19.9,21.1,95.1
22.04.2024,Sabit Kuponlu Devlet Tahvili,21081.0,19585.0,1.71,4.23,36081.0,Aynı tahvil (itfa eşleşmesi),33706.0,26341.0,111422.0,25.0,59.9,-7.1,147.4,208.8
06.05.2024,Hazine Bonosu,4893.0,3181.0,1.94,2.5,9479.0,Aynı tahvil (itfa eşleşmesi),7458.0,5828.0,14570.0,19.1,52.4,-35.0,28.9,53.7
06.05.2024,Sabit Kuponlu Devlet Tahvili,31535.0,11820.0,2.03,1.8,63951.0,Aynı tahvil (itfa eşleşmesi),27714.0,21658.0,38984.0,-31.3,-12.1,-62.5,-11.3,-39.0
07.05.2024,TÜFE'ye Endeksli Devlet Tahvili,14888.0,8497.0,1.87,2.09,27862.0,Aynı tip + benzer vade,19923.0,15570.0,32541.0,4.6,33.8,-42.9,11.8,16.8
07.05.2024,Sabit Kuponlu Devlet Tahvili,40098.0,19619.0,2.18,3.17,87242.0,Aynı tahvil (itfa eşleşmesi),46000.0,35948.0,113955.0,-10.3,14.7,-51.1,45.4,30.6
20.05.2024,TLREF'e Endeksli Devlet Tahvili,23655.0,15833.0,1.73,2.59,40910.0,Aynı tip + benzer vade,37123.0,29011.0,75138.0,22.6,56.9,-33.1,49.7,83.7
21.05.2024,Değişken Faizli Devlet Tahvili,9879.0,10584.0,1.54,1.94,15232.0,Aynı tahvil (itfa eşleşmesi),24816.0,19393.0,37622.0,96.3,151.2,7.1,26.0,147.0
21.05.2024,Sabit Kuponlu Devlet Tahvili,36431.0,18069.0,2.52,1.82,91698.0,Aynı tahvil (itfa eşleşmesi),42366.0,33109.0,60258.0,-9.1,16.3,-50.4,-27.8,-34.3
