tarih,borc_odeme_top,borc_odeme_haz,borc_odeme_dgr,borc_odeme_tcmb
2024-05-29,1562.75,1556.86,5.73,0.16
2024-06-05,208.1,151.31,56.75,0.04
2024-06-12,21.59,20.24,1.15,0.2
2024-06-19,167.25,166.88,0.23,0.14
2024-06-26,246.0,239.96,5.72,0.32
2024-07-03,137.8,110.7,27.1,0.0
2024-07-10,186.21,184.85,1.36,0.0
2024-07-17,843.43,843.08,0.11,0.24
2024-07-24,354.02,348.97,4.98,0.07
2024-07-31,83.57,79.83,3.74,0.0
2024-08-07,2620.18,2601.07,18.25,0.86
2024-08-14,4142.31,4141.52,0.37,0.42
2024-08-21,540.21,521.91,17.45,0.85
2024-08-28,310.81,309.71,0.92,0.18
2024-09-04,43.1,10.74,32.35,0.01
2024-09-11,161.95,158.12,3.49,0.34
2024-09-18,502.75,500.89,1.48,0.38
2024-09-25,1025.39,1024.73,0.6,0.06
2024-10-02,104.84,103.7,0.82,0.32
2024-10-09,95.67,94.62,1.05,0.0
2024-10-16,256.71,255.07,0.98,0.66
2024-10-23,113.22,100.49,12.36,0.37
2024-10-30,328.28,309.7,18.57,0.01
2024-11-06,90.51,86.35,4.12,0.04
2024-11-13,2845.73,2819.2,25.11,1.42
2024-11-20,2277.65,2276.27,1.21,0.17
2024-11-27,1082.17,1078.9,2.61,0.66
2024-12-04,171.64,144.74,26.28,0.62
2024-12-11,74.69,73.38,0.51,0.8
2024-12-18,69.93,67.04,2.71,0.18
2024-12-25,169.3,166.46,2.47,0.37
2025-01-01,131.43,122.53,8.87,0.03
2025-01-08,213.66,141.94,71.61,0.11
2025-01-15,731.52,731.06,0.01,0.45
2025-01-22,490.55,489.95,0.28,0.32
2025-01-29,126.03,125.06,0.97,0.0
2025-02-05,2948.95,2937.18,11.66,0.11
2025-02-12,124.83,98.77,26.06,0.0
2025-02-19,597.32,596.11,0.79,0.42
2025-02-26,280.64,272.39,5.81,2.44
2025-03-05,158.28,115.09,40.42,2.77
2025-03-12,2304.1,2299.53,4.52,0.05
2025-03-19,2273.13,2257.97,12.82,2.34
2025-03-26,299.47,294.73,4.74,0.0
2025-04-02,1560.05,1553.66,6.35,0.04
2025-04-09,203.41,189.33,13.82,0.26
2025-04-16,671.87,671.46,0.03,0.38
2025-04-23,143.4,136.39,7.01,0.0
2025-04-30,388.77,387.82,0.63,0.32
2025-05-07,69.3,48.88,19.16,1.26
2025-05-14,302.07,301.88,0.12,0.07
2025-05-21,533.19,481.1,8.45,43.64
2025-05-28,126.29,125.89,0.23,0.17
2025-06-04,174.52,142.99,31.33,0.2
2025-06-11,16.09,12.68,3.28,0.13
2025-06-18,1353.84,1346.56,6.77,0.51
2025-06-25,124.31,111.85,12.45,0.01
2025-07-02,254.92,226.76,28.01,0.15
2025-07-09,266.57,253.95,12.32,0.3
2025-07-16,1007.02,776.72,229.07,1.23
2025-07-23,4462.38,4460.69,1.69,0.0
2025-07-30,86.74,77.11,8.15,1.48
2025-08-06,145.88,122.04,23.58,0.26
2025-08-13,1733.5,1730.58,2.41,0.51
2025-08-20,548.58,548.33,0.19,0.06
2025-08-27,2795.83,2795.58,0.24,0.01
2025-09-03,92.62,79.31,11.48,1.83
2025-09-10,160.55,158.74,0.24,1.57
2025-09-17,380.69,374.87,1.42,4.4
2025-09-24,195.85,195.48,0.08,0.29
2025-10-01,300.87,298.94,0.33,1.6
2025-10-08,33.29,24.33,8.58,0.38
2025-10-15,2257.82,2257.25,0.32,0.25
2025-10-22,204.89,203.93,0.91,0.05
2025-10-29,372.21,353.39,18.82,0.0
2025-11-05,63.51,21.76,40.83,0.92
2025-11-12,2834.5,2828.55,5.27,0.68
2025-11-19,614.44,310.82,303.35,0.27
2025-11-26,24.07,22.05,1.78,0.24
2025-12-03,211.83,202.18,7.95,1.7
2025-12-10,48.98,36.59,12.33,0.06
2025-12-17,242.58,222.98,18.18,1.42
2025-12-24,117.03,114.11,2.92,0.0
2025-12-31,258.63,177.49,81.13,0.01
2026-01-07,103.65,1.78,101.6,0.27
2026-01-14,346.44,346.38,0.05,0.01
2026-01-21,892.62,891.26,0.05,1.31
2026-01-28,1931.89,1929.3,2.35,0.24
2026-02-04,1185.44,1184.48,0.6,0.36
2026-02-11,91.14,80.69,10.32,0.13
2026-02-18,2933.07,2424.44,508.14,0.49
2026-02-25,283.6,280.86,2.23,0.51
2026-03-04,169.42,115.22,53.54,0.66
2026-03-11,126.48,107.17,14.53,4.78
2026-03-18,503.42,502.66,0.71,0.05
2026-03-25,462.96,461.2,1.74,0.02
2026-04-01,75.38,75.16,0.13,0.09
2026-04-08,96.75,82.56,14.15,0.04
2026-04-15,3503.65,3490.62,11.81,1.22
2026-04-22,250.57,227.45,20.89,2.23
2026-04-29,376.12,371.76,4.03,0.33
2026-05-06,187.66,122.77,64.08,0.81
2026-05-13,993.66,990.09,3.35,0.22
2026-05-20,333.18,327.75,5.11,0.32
2026-05-27,539.47,534.56,4.87,0.04
2026-06-03,351.77,334.88,16.88,0.01
2026-06-10,23.37,21.9,1.2,0.27
2026-06-17,903.97,210.33,692.72,0.92
2026-06-24,2606.62,2592.48,13.9,0.24
2026-07-01,189.95,185.04,3.0,1.91
2026-07-08,347.67,225.86,121.02,0.79
2026-07-15,891.17,887.92,1.95,1.3
2026-07-22,6238.27,6220.51,17.76,0.0
2026-07-29,69.05,66.4,2.08,0.57
2026-08-05,179.07,159.55,19.52,0.0
2026-08-12,160.12,155.93,0.01,4.18
2026-08-19,718.33,708.22,8.45,1.66
2026-08-26,4397.21,4394.95,0.22,2.04
