tarih,altin_ons_mn,altin_fiyat,altin_fiyat_kaynak,ons_kaynak,altin_deger_seviye,altin_deger_ima,altin_fiyat_etkisi,altin_miktar_etkisi,doviz_rezerv,swap_capa_revizyon,net_alim_satim,net_alim_satim_altin_haric,kumulatif
2023-01-02,25.33451401012396,1815.07,agort03,ara_deger,,45.9839163443557,0.619935557827734,0.03450426109171157,,-0.0,-2.208522594990308,-2.2430268560820195,
2023-01-03,25.35327101518594,1839.54,agort03,ara_deger,,46.63835616327514,0.4507811586500053,0.034837760641720145,,-0.0,-1.7954621289937522,-1.8302998896354723,
2023-01-04,25.37202802024792,1857.32,agort03,ara_deger,,47.123975082566865,-0.13979987439156583,0.034734409543822044,,-0.3020612700000029,-0.5424374238506231,-0.5771718333944451,
2023-01-05,25.3907850253099,1851.81,agort03,ara_deger,,47.018909617719125,-0.30341988105245443,0.03451026333333794,,-0.0,-0.4969262954044562,-0.5314365587377942,
2023-01-06,25.40954203037188,1839.86,agort03,ima,,46.75000000000001,0.6819921080951851,-0.013767569582857332,,-0.0,-0.6198471730176959,-0.6060796034348386,
2023-01-09,25.402166678369493,1866.7,agort03,ara_deger,,47.418224538512334,0.21896667676754225,-0.004610381705697089,,-0.0,0.015059983886037659,0.019670365591734747,
2023-01-10,25.399708227702035,1875.32,agort03,ara_deger,,47.63258083357418,0.19456176502419967,-0.004629213437823195,,-0.0,-1.108340723586804,-1.1037115101489807,
2023-01-11,25.39724977703457,1882.98,agort03,ara_deger,47.84565945234964,47.822513385160555,-0.0909221542017819,-0.00462041218441364,77.5491968438039,-0.0,1.040315011400435,1.0449354235848485,
2023-01-12,25.394791326367116,1879.4,agort03,ara_deger,47.754693291880905,47.72697081877436,0.365684995099683,-0.004655813874045166,77.55541838150367,-0.0,0.6053244550754253,0.6099802689494704,
2023-01-13,25.39233287569965,1893.8,agort03,ima,48.12059069711826,48.088,0.32883071074031167,0.31489424251503456,79.13246416744302,-0.0,0.5480402978394079,0.23314605532437332,
2023-01-16,25.55747998072917,1906.75,agort03,ara_deger,48.449644266411575,48.731724953255345,-0.009967417192486932,0.10494327838135316,79.71171172054102,-0.0,-2.2168151857035077,-2.3217584640848608,
2023-01-17,25.612529015739007,1906.36,agort03,ara_deger,48.43973454501973,48.82670081444421,0.09374185619760686,0.10514475784949595,76.45130638263883,-0.0,-1.055516766775254,-1.16066152462475,
2023-01-18,25.667578050748848,1910.02,agort03,ara_deger,48.499863639243856,49.02558742849131,-0.03542125771003037,0.10506879018117558,76.23618360443531,-0.0,0.16903960088331418,0.0639708107021386,
2023-01-19,25.722627085758685,1908.64,agort03,ara_deger,48.46482221987539,49.09523496096246,0.3868683113698097,0.10589672766773038,78.96162762918574,-0.0,0.6314167463724534,0.525520018704723,
2023-01-20,25.777676120768525,1923.68,agort03,ima,48.84672290632591,49.588,-0.0598042086001872,0.6094460474438728,79.94818875291949,-0.0,-0.8393119149990657,-1.4487579624429383,
2023-01-23,26.094871257257196,1921.36,agort03,ara_deger,48.78781269405428,50.137641838843685,0.2771275327520745,0.20427155326445853,79.3333327568152,-0.0,-0.10201787177804439,-0.3062894250425029,
2023-01-24,26.200602969420085,1931.98,agort03,ara_deger,49.05747926919421,50.619040924860215,-0.21510695037893984,0.20340349590759435,79.56340773152647,-0.0,-0.19421963691406557,-0.39762313282165995,
2023-01-25,26.30633468158297,1923.77,agort03,ara_deger,49.59031999085087,50.60733747038887,0.2883174281101503,0.20456231547291334,78.06560586446625,-0.0,-1.1680083224618703,-1.3725706379347835,
2023-01-26,26.412066393745864,1934.73,agort03,ara_deger,49.87284332113449,51.10021721397193,-0.37029717084031655,0.2030799568683896,76.63278837712082,-0.0,1.2486030991741237,1.045523142305734,
2023-01-27,26.517798105908756,1920.71,agort03,ima,49.51144030192132,50.93300000000001,-0.025191908200614524,-0.3841412488495473,77.62469131031727,-0.0,0.40583875898394856,0.7899800078334959,
2023-01-30,26.31769952647719,1919.76,agort03,ara_deger,49.48695150960658,50.523666842949844,-0.4663496356091765,-0.1268651673406688,77.25935421338274,-0.0,-0.2058196773179053,-0.07895450997723649,
2023-01-31,26.251,1902.04,agort03,evds_aylik,49.03017108874656,49.930452040000006,0.45282975000000003,0.5428998283982924,77.81901981678536,-0.0,-0.09595632678173582,-0.6388561551800283,
