Tarih,usdtry,net_dis_varlik_usd,kamu_doviz_mev_usd,brut_usd,swap_toplam_usd,swap_yerli_usd,swap_yabanci_usd,swap_capa_tarih,swap_capa_tipi,swap_haric_usd,swap_capa_revizyon,altin_fiyat,altin_fiyat_kaynak,ons,ons_kaynak,altin_fiyat_etkisi,altin_miktar_etkisi,altin_deger_ima,bennet_fark,net_doviz_alimi,net_doviz_alimi_altin_haric,net_doviz_alimi_birikimli,altin_fiyat_etkisi_birikimli,akim_gecici,altin_usd,doviz_usd,eski_net_rezerv_usd,eski_swap_haric_usd,analitik_dis_varlik_usd,tanim_farki,net_rezerv_usd,swap_haric_net_rezerv_usd,swap_duzeltme_usd,swap_gozlem,kur_varyant_fark
2023-01-02,18.6983,29.04143130658937,11.840084446179599,,70.31800993,47.028438560000005,23.289571369999997,2022-11-30,aylık,-41.27657862341063,-0.0,1815.07,agort03,25.33451401012396,ara_deger,0.619935557827734,0.03450426109171157,45.9839163443557,0.00022949195693333646,-2.20852259499031,-2.2430268560820212,,,False,,,27.66342491028596,-43.31847831552049,130.7024442328982,1.3780063963034088,29.04143130658937,-41.27657862341063,-70.31800993,False,0.05224728993337974
2023-01-03,18.7029,27.152422244678633,11.836927321431435,,70.02074503,46.73117366,23.289571369999997,2022-11-30,aylık,-42.86832278532137,-0.0,1839.54,agort03,25.35327101518594,ara_deger,0.4507811586500053,0.034837760641713546,46.63835616327514,0.0001667497750010294,-1.7954621289937593,-1.830299889635473,,,False,,,25.995271161156825,-44.975083677552846,128.4887524929289,1.157151083521807,27.152422244678633,-42.86832278532137,-70.02074503,False,0.04883685565394163
2023-01-04,18.7105,24.743591993800273,11.826677640896824,,68.96684543,45.67727406,23.289571369999997,2022-11-30,aylık,-44.223253436199734,-0.30206127000000293,1857.32,agort03,25.372028020247917,ara_deger,-0.1397998743915658,0.03473440954382862,47.12397508256686,5.167554894577875e-05,-0.5424374238506089,-0.5771718333944376,,,False,,,23.726361615135886,-47.232444836477015,127.74800069479704,1.0172303786643866,24.743591993800273,-44.223253436199734,-68.96684543,False,0.04448624375492334
2023-01-05,18.7194,24.124997115292157,11.964806350630896,,68.89235914,45.300726499999996,23.59163264,2022-12-31,aylık,-44.767362024707836,-0.0,1851.81,agort03,25.3907850253099,ara_deger,-0.30341988105245443,0.034510263333331404,47.018909617719125,0.0001120731052453583,-0.4969262954044633,-0.5314365587377947,,,False,,,22.859834236140046,-48.087423828376075,127.56555845807024,1.2651628791521112,24.124997115292157,-44.767362024707836,-68.89235914,False,0.043353493704259394
2023-01-06,18.7387,25.276912539290343,12.037269501085987,,70.77215759,47.18052495,23.59163264,2022-12-31,aylık,-45.49524505070966,-0.0,1839.86,agort03,25.409542030371878,ima,0.681992108095185,-0.0137675695828507,46.75,9.897722387208763e-05,-0.6198471730176887,-0.6060796034348379,,,False,,,24.307420632167652,-46.628289045251705,128.40495461264655,0.9694919071226913,25.276912539290343,-45.49524505070966,-70.77215759,False,0.04551123418979719
2023-01-09,18.7498,25.32937455332857,12.04687938004672,,70.75286479,47.161232150000004,23.59163264,2022-12-31,aylık,-45.423490236671434,-0.0,1866.7,agort03,25.402166678369493,ara_deger,0.21896667676754225,-0.004610381705697089,47.418224538512334,1.059592237673268e-05,0.015059983886037659,0.019670365591734747,,,False,,,23.860116001237348,-47.04094851489168,126.98893806867272,1.4692585520912225,25.32937455332857,-45.423490236671434,-70.75286479,False,0.04557874208897725
2023-01-10,18.7538,26.112876643666887,11.966284219731468,,71.38293537999999,47.79130274,23.59163264,2022-12-31,aylık,-45.270058736333105,-0.0,1875.32,agort03,25.399708227702035,ara_deger,0.19456176502419967,-0.004629213437816505,47.63258083357418,9.41586605637812e-06,-1.108340723586811,-1.1037115101489945,,,False,,,24.595700018129662,-46.2938161109026,127.1617585236059,1.5171766255372248,26.112876643666887,-45.270058736333105,-71.38293537999999,False,0.04697860453469306
2023-01-11,18.7555,25.41044029751273,11.969890432139906,125.39485629615353,71.59067178000001,47.99903914,23.59163264,2022-12-31,aylık,-46.18023148248728,-0.0,1882.98,agort03,25.397249777034574,ara_deger,-0.09092215420178192,-0.004620412184426994,47.82251338516056,4.400626694739396e-06,1.0403150114004331,1.0449354235848602,,,False,47.845659452349636,77.5491968438039,24.725309429234088,-46.15265831270139,127.39081090880008,0.685130868278641,25.41044029751273,-46.18023148248728,-71.59067178000001,False,0.04571074399024621
2023-01-12,18.7581,26.12412589761223,11.729903455040757,125.31011167338457,71.59495150000001,48.00331886,23.59163264,2022-12-31,aylık,-45.47082560238778,-0.0,1879.4,agort03,25.394791326367113,ara_deger,0.36568499509968294,-0.004655813874038437,47.726970818774355,1.770084480573475e-05,0.6053244550754271,0.6099802689494656,,,False,47.754693291880905,77.55541838150367,24.748063823095094,-46.11835553174362,127.30606628603111,1.3760620745171366,26.12412589761223,-45.47082560238778,-71.59495150000001,False,0.046988088236913084
2023-01-13,18.7608,26.279859547567266,11.58703445482069,127.25305486456128,70.9225447,47.33091206,23.59163264,2022-12-31,aylık,-44.64268515243273,-0.0,1893.8,agort03,25.39233287569965,ima,0.32883071074031167,0.31489424251503456,48.088,0.0010693275050661089,0.5480402978394079,0.23314605532437332,,,False,48.12059069711826,79.13246416744302,24.886444927721634,-45.9684260400203,129.2490094772078,1.3934146198456325,26.279859547567266,-44.64268515243273,-70.9225447,False,0.047261407676018774
