Tarih,net_uluslararasi_rezerv_TL,brut_doviz_rezerv_TL,brut_doviz_yukumluluk_TL,bankalar_doviz_mev_TL,imf_TL,diger_yukumluluk_TL,swap_forward_aylik_USD_M,diger_aylik_USD_M,usdtry,net_rezerv_usd,brut_rezerv_usd,brut_yukumluluk_usd,bankalar_doviz_mev_usd,imf_usd,diger_yukumluluk_usd
2008-05-02,73296982.0,98351787.0,-25054805.0,-21038551.0,-233205.0,-3783048.0,,,,,,,,,
2008-05-09,71977941.0,96651489.0,-24673549.0,-20732309.0,-229398.0,-3711841.0,,,,,,,,,
2008-05-16,75959604.0,100576250.0,-24616645.0,-20695263.0,-227399.0,-3693983.0,,,,,,,,,
2008-05-23,76833804.0,101628991.0,-24795186.0,-20821540.0,-229690.0,-3743956.0,,,,,,,,,
2008-05-30,69418995.0,94057209.0,-24638214.0,-20798404.0,-222705.0,-3617105.0,,,,,,,,,
2008-06-06,69214827.0,93729581.0,-24514755.0,-20686198.0,-222862.0,-3605695.0,,,,,,,,,
2008-06-13,70752945.0,96085327.0,-25332382.0,-21467674.0,-227399.0,-3637309.0,,,,,,,,,
2008-06-20,69320195.0,94154535.0,-24834339.0,-21082327.0,-223266.0,-3528746.0,,,,,,,,,
2008-06-27,70317799.0,94751959.0,-24434160.0,-20718921.0,-221795.0,-3493445.0,,,,,,,,,
2008-07-04,73457571.0,98658695.0,-25201123.0,-21355417.0,-229892.0,-3615814.0,,,,,,,,,
2008-07-11,70330772.0,95315073.0,-24984301.0,-21282056.0,-222761.0,-3479484.0,,,,,,,,,
2008-07-18,69983545.0,94858106.0,-24874561.0,-21197064.0,-221941.0,-3455556.0,,,,,,,,,
2008-07-25,69198313.0,93943510.0,-24745197.0,-21121629.0,-219628.0,-3403940.0,,,,,,,,,
2008-08-01,67302357.0,91057067.0,-23754710.0,-20284130.0,-211553.0,-3259027.0,,0.0,,,,,,,
2008-08-08,66973558.0,90497081.0,-23523522.0,-20099064.0,-210778.0,-3213681.0,,,,,,,,,
2008-08-15,69000335.0,92564533.0,-23564199.0,-20165669.0,-209924.0,-3188605.0,,,,,,,,,
2008-08-22,69422830.0,93472986.0,-24050156.0,-20665135.0,-211070.0,-3173951.0,,,,,,,,,
2008-08-29,69736079.0,93659910.0,-23923831.0,-20546382.0,-209643.0,-3167806.0,,,,,,,,,
2008-09-05,70970751.0,95017445.0,-24046694.0,-20637187.0,-213192.0,-3196315.0,,,,,,,,,
2008-09-12,73970740.0,98418485.0,-24447746.0,-21047430.0,-216899.0,-3183417.0,,,,,,,,,
2008-09-19,76118568.0,101338415.0,-25219847.0,-21666804.0,-224884.0,-3328159.0,,,,,,,,,
2008-09-26,74028129.0,98356344.0,-24328215.0,-20881798.0,-219032.0,-3227385.0,,,,,,,,,
2008-10-03,73635882.0,98425186.0,-24789305.0,-21366290.0,-218359.0,-3204656.0,,,,,,,,,
2008-10-10,80239930.0,106667422.0,-26427492.0,-22801629.0,-238315.0,-3387547.0,,,,,,,,,
2008-10-17,84544984.0,112777630.0,-28232646.0,-24422461.0,-253320.0,-3556865.0,,,,,,,,,
2008-10-24,94354546.0,123904901.0,-29550355.0,-25371027.0,-285473.0,-3893855.0,,,,,,,,,
2008-10-31,84742993.0,112398010.0,-27655017.0,-23962858.0,-254106.0,-3438053.0,,,,,,,,,
2008-11-07,84314908.0,112254456.0,-27939547.0,-24210760.0,-256565.0,-3472222.0,,,,,,,,,
2008-11-14,88873352.0,118075619.0,-29202267.0,-25264555.0,-270795.0,-3666917.0,,,,,,,,,
2008-11-21,92162841.0,122495431.0,-30332589.0,-26178518.0,-281733.0,-3872338.0,,,,,,,,,
2008-11-28,86614588.0,116335449.0,-29720861.0,-25799897.0,-263921.0,-3657043.0,,,,,,,,,
2008-12-05,86189206.0,113962594.0,-27773388.0,-23952739.0,-261159.0,-3559491.0,,,,,,,,,
2008-12-12,86996913.0,110051573.0,-23054660.0,-19210212.0,-262372.0,-3582077.0,,,,,,,,,
2008-12-19,87614629.0,112510693.0,-24896064.0,-20838277.0,-268874.0,-3788913.0,,,,,,,,,
2008-12-26,85628283.0,110314331.0,-24686048.0,-20806963.0,-262473.0,-3616613.0,,,,,,,,,
2009-01-02,86460845.0,110753309.0,-24292465.0,-20415085.0,-264741.0,-3612639.0,,,,,,,,,
2009-01-09,87062724.0,110517612.0,-23454888.0,-19618772.0,-266291.0,-3569825.0,,,,,,,,,
2009-01-16,90610733.0,114559350.0,-23948617.0,-20054945.0,-274770.0,-3618901.0,,,,,,,,,
2009-01-23,90770473.0,114797917.0,-24027445.0,-20100858.0,-277207.0,-3649379.0,,,,,,,,,
2009-01-30,89343810.0,114399474.0,-25055664.0,-21238723.0,-272951.0,-3543989.0,,,,,,,,,
2009-02-06,90011618.0,113596011.0,-23584394.0,-19770821.0,-275287.0,-3538286.0,,,,,,,,,
2009-02-13,91281512.0,114952588.0,-23671076.0,-19845992.0,-276028.0,-3549056.0,,,,,,,,,
2009-02-20,92440517.0,116210560.0,-23770043.0,-19914852.0,-279319.0,-3575872.0,,,,,,,,,
2009-02-27,92959046.0,118717063.0,-25758016.0,-21879761.0,-279195.0,-3599060.0,,,,,,,,,
2009-03-06,94530104.0,118914156.0,-24384052.0,-20444318.0,-285383.0,-3654351.0,,,,,,,,,
2009-03-13,94650051.0,119636108.0,-24986057.0,-20979748.0,-289876.0,-3716433.0,,,,,,,,,
2009-03-20,91956034.0,117920596.0,-25964562.0,-21945967.0,-286383.0,-3732212.0,,,,,,,,,
2009-03-27,89624397.0,114795181.0,-25170784.0,-21257811.0,-280509.0,-3632464.0,,,,,,,,,
2009-04-03,84059180.0,108221472.0,-24162292.0,-20420495.0,-272086.0,-3469710.0,,,,,,,,,
2009-04-10,81913197.0,105085978.0,-23172781.0,-19552807.0,-264258.0,-3355715.0,,,,,,,,,
2009-04-17,82547866.0,106924518.0,-24376652.0,-20726966.0,-268762.0,-3380924.0,,,,,,,,,
