tarih,delta_gercek,ar_gercek,pe_gercek,delta_tuzel,ar_tuzel,pe_tuzel,delta_toplam,ar_toplam,pe_toplam,ar_gercek_usd,pe_gercek_usd,ar_gercek_eur,pe_gercek_eur,ar_gercek_diger,pe_gercek_diger,ar_gercek_maden,pe_gercek_maden,ar_tuzel_usd,pe_tuzel_usd,ar_tuzel_eur,pe_tuzel_eur,ar_tuzel_diger,pe_tuzel_diger,ar_tuzel_maden,pe_tuzel_maden,artik_gercek,esik_gercek,artik_tuzel,esik_tuzel,artik_toplam,esik_toplam
2024-05-31,,-1229.4625,81.1255,,-2139.1867,40.5877,,-3368.6491,121.7131,-530.124,0.0,-181.1304,37.7234,-277.786,0.0,-240.4221,43.4021,-1058.716,0.0,-944.1003,37.5863,-73.491,0.0,-62.8793,3.0013,,25.0,,25.0,,34.903622
2024-06-07,,-843.1776,-115.4434,,-806.0434,-49.4676,,-1649.2209,-164.9111,-555.466,0.0,-227.2111,-48.2119,-64.887,0.0,4.3865,-67.2315,-376.592,0.0,-324.4728,-44.8762,-116.497,0.0,11.5185,-4.5915,,25.0,,25.0,,25.0
2024-06-14,,-874.8444,-635.4236,,-800.8732,-390.2468,,-1675.7176,-1025.6704,-564.133,0.0,-140.0753,-345.4277,-29.243,0.0,-141.393,-289.996,-820.91,0.0,117.2027,-370.2497,-63.361,0.0,-33.8049,-19.9971,,25.0,,25.0,,27.01388
2024-06-21,,44.7523,644.3287,,1551.9608,49.8202,,1596.7131,694.1489,74.183,0.0,60.0228,2.3792,19.757,0.0,-109.2105,641.9495,571.655,0.0,942.3296,6.5934,72.972,0.0,-34.9958,43.2268,,25.0,,25.0,,25.0
2024-06-28,,-231.353881,-212.402119,,-1565.511475,34.764475,,-1796.865356,-177.637644,-225.771,0.0,-16.360881,48.545881,135.592,0.0,-124.814,-260.948,-487.709,0.0,-922.446475,45.461475,-176.781,0.0,21.425,-10.697,,25.0,,25.0,,25.0
2024-07-05,564.5999999999913,-257.512406,822.112406,-1285.7000000000044,-1598.60597,313.00497,-721.1000000000058,-1856.118376,1135.117376,-89.155,0.0,-154.028406,262.032406,108.015,0.0,-122.344,560.08,-1249.727,0.0,-476.98597,279.66797,168.583,0.0,-40.476,33.337,-8.640199666842818e-12,25.0,-0.09900000000430964,25.0,-0.09900000000584441,29.912357519999997
2024-07-12,241.70000000001164,-221.206243,462.891243,985.5,782.59935,202.88765,1227.1999999999825,561.393107,665.778893,-151.233,0.0,-55.922243,174.861243,148.466,0.0,-162.517,288.03,216.72,0.0,282.33035,183.30565,299.996,0.0,-16.447,19.582,0.015000000011639258,25.0,0.013000000000033651,25.0,0.027999999982512236,25.0
2024-07-19,479.8999999999942,346.476175,133.462825,1001.1000000000058,1023.202177,-22.171177,1481.0,1369.678352,111.291648,134.891,0.0,128.148175,-26.573175,71.611,0.0,11.826,160.036,273.594,0.0,1007.021177,-26.429177,-270.387,0.0,12.974,4.258,-0.03900000000584214,25.0,0.06900000000581485,25.0,0.030000000000100613,25.0
2024-07-26,-397.5,-76.359906,-321.209094,428.3999999999942,516.163568,-87.772568,30.800000000017462,439.803662,-408.981662,-261.372,0.0,49.119094,-71.984094,32.473,0.0,103.42,-249.225,488.763,0.0,-156.892432,-78.378568,166.045,0.0,18.248,-9.394,0.06900000000001683,25.0,0.008999999994131258,25.0,-0.02199999998254043,25.0
2024-08-02,1130.5,118.586529,1011.975471,-822.0999999999985,-967.180801,145.134801,308.6000000000058,-848.594272,1157.110272,-155.571,0.0,108.781529,82.119471,95.21,0.0,70.166,929.856,-913.419,0.0,-81.044801,86.024801,24.548,0.0,2.735,59.11,-0.06200000000001182,25.0,-0.05399999999858096,25.0,0.08400000000597174,25.0
2024-08-09,297.3000000000029,675.096706,-377.796706,2187.300000000003,2120.155141,67.075859,2484.5,2795.251847,-310.720847,386.445,0.0,52.813706,76.292294,77.221,0.0,158.617,-454.089,1747.138,0.0,309.863141,85.817859,-69.375,0.0,132.529,-18.742,2.8421709430404007e-12,25.0,0.0690000000027311,25.0,-0.03100000000000591,31.05972694
2024-08-16,1181.699999999997,363.251524,818.468476,-122.40000000000146,-323.023777,200.639777,1059.2999999999884,40.227747,1019.108253,246.722,0.0,-11.861476,152.165476,63.847,0.0,64.544,666.303,-236.047,0.0,-156.003777,164.630777,35.718,0.0,33.309,36.009,-0.020000000002937668,25.0,-0.01600000000146906,25.0,-0.036000000011654265,25.0
2024-08-23,1477.0,568.755778,908.176222,1909.800000000003,1431.637032,478.213968,3386.7999999999884,2000.39281,1386.39019,143.512,0.0,144.869778,404.933222,93.199,0.0,187.175,503.243,950.475,0.0,212.785032,432.196968,240.503,0.0,27.874,46.017,0.06799999999998363,25.0,-0.050999999997202394,25.0,0.01699999998822932,33.867830000000005
2024-08-30,125.5,-112.268447,237.738447,-1284.5,-1112.143071,-172.386929,-1159.0999999999767,-1224.411518,65.351518,-66.884,0.0,-55.840447,-168.437553,-16.721,0.0,27.177,406.176,-865.753,0.0,-295.528071,-192.133929,-104.569,0.0,153.707,19.747,0.029999999999972715,25.0,0.029999999999972715,25.0,-0.03999999997682835,25.0
2024-09-06,-204.5,25.97366,-230.44166,1164.5,1123.91495,40.63705,960.0999999999767,1149.88861,-189.80461,-98.761,0.0,95.99366,40.89234,-25.119,0.0,53.86,-271.334,614.95,0.0,485.18595,52.90305,23.949,0.0,-0.17,-12.266,-0.031999999999982265,25.0,-0.05200000000009197,25.0,0.015999999976742174,25.0
2024-09-13,92.89999999999418,-424.722079,517.590079,-2451.4000000000015,-2457.986192,6.579192,-2358.5,-2882.708271,524.169271,-238.788,0.0,-66.905079,-38.182921,-67.259,0.0,-51.77,555.773,-2154.007,0.0,-196.620192,-35.779808,-104.689,0.0,-2.67,42.359,0.03199999999424108,25.0,0.006999999998391182,25.0,0.03899999999998727,34.06877542
