tarih,mevduat_tl_mlr,mevduat_yp_mlr,dol_pay_ham,mevduat_yp_ar_mlr,dol_pay_ar,pe_kum_cipa_mn,dol_pay_fark
2024-01-05,,,,,,,
2024-01-12,,,,,,,
2024-01-19,,,,,,,
2024-01-26,,,,,,,
2024-02-02,,,,,,,
2024-02-09,,,,,,,
2024-02-16,,,,,,,
2024-02-23,,,,,,,
2024-03-01,,,,,,,
2024-03-08,,,,,,,
2024-03-15,,,,,,,
2024-03-22,,,,,,,
2024-03-29,,,,,,,
2024-04-05,,,,,,,
2024-04-12,,,,,,,
2024-04-19,,,,,,,
2024-04-26,,,,,,,
2024-05-03,,,,,,,
2024-05-10,,,,,,,
2024-05-17,,,,,,,
2024-05-24,,,,,,,
2024-05-31,,,,,,,
2024-06-07,,,,,,,
2024-06-14,,,,,,,
2024-06-21,,,,,,,
2024-06-28,9758.292005,5302.451058899999,35.207101245952224,,,,
2024-07-05,9563.874298,5253.353531899999,35.4543615864443,,,,
2024-07-12,9914.174129,5350.9782356000005,35.053552744150515,,,,
2024-07-19,9922.005148,5405.7549627,35.267742472863674,,,,
2024-07-26,10104.488426,5395.9670318,34.811667608674625,,,,
2024-08-02,9909.269266,5437.8148756,35.43223471916851,,,,
2024-08-09,9928.213543,5583.0854531,35.993667935249995,,,,
2024-08-16,10185.502565,5646.0527519,35.66328537457659,,,,
2024-08-23,10201.80686,5808.8579105,36.281178787797415,,,,
2024-08-30,10181.135455,5777.2736367,36.202065027301316,,,,
2024-09-06,10007.770123,5805.1613258,36.711481009048065,,,,
2024-09-13,10395.638503,5711.420681,35.45911525968352,,,,
2024-09-20,10405.128277,5808.424800600001,35.82450295009481,,,,
2024-09-27,10622.339292,5769.767533,35.19845005036441,,,,
2024-10-04,10339.755402,5764.9936898999995,35.796855058111674,,,,
2024-10-11,10555.778252,5671.6357828,34.950952570983084,,,,
2024-10-18,10654.859337,5759.2239604,35.08708866679301,,,,
2024-10-25,10786.437448,5712.2431459,34.62242397741773,,,,
2024-11-01,10796.806169,5706.828485100001,34.5792221211238,,,,
2024-11-08,10724.924726,5674.2503528,34.60082794125039,,,,
2024-11-15,11139.773288,5686.5688015,33.79563289069549,,,,
2024-11-22,11081.945982,5694.2937299,33.9426106665657,,,,
2024-11-29,10942.04555,5698.197125,34.24347370583043,,,,
2024-12-06,10851.85383,5612.835260600001,34.090138172147284,,,,
2024-12-13,11311.664029,5676.801783600001,33.41562355436258,,,,
2024-12-20,11303.985606,5668.0964734,33.396588862127274,,,,
2024-12-27,11653.284829,5700.9522518,32.85049193033841,,,,
2025-01-03,11309.909187,5723.6617106,33.60224197855339,,,,
2025-01-10,11468.536087,5698.8750525,33.19589078511449,,,,
2025-01-17,11730.078899,5753.7538383,32.90899612660412,,,,
2025-01-24,11842.849404,5867.6191936000005,33.13079584125256,,,,
2025-01-31,11534.883436,5846.2782285,33.635716307965076,,,,
2025-02-07,11562.728566,6031.598986800001,34.28149765144118,,,,
2025-02-14,11928.83803,6130.1833084,33.94526864733813,,,,
2025-02-21,11870.165551,6318.0748059,34.73714159216692,,,,
2025-02-28,11911.316322,6217.6143183,34.2966413279692,,,,
2025-03-07,11865.558265,6410.8461618,35.0771738909395,,,,
2025-03-14,12211.099305,6510.1165453,34.77400505050893,,,,
2025-03-21,12252.78506,6982.1113349,36.29918868058607,,,,
2025-03-28,12454.896668,6984.4976203999995,35.929605196432654,,,,
2025-04-04,12136.878297,7163.4027408,37.11553591769119,,,,
2025-04-11,12352.386309,7233.77904,36.933105133666864,,,,
2025-04-18,12420.826847,7418.3968137,37.392576143971205,,,,
2025-04-25,12386.147397,7439.753799,37.52542558065919,,,,
2025-05-02,12389.833118,7414.8209587,37.43979031385088,,,,
2025-05-09,12321.796086,7436.6699547,37.63789121777661,,,,
2025-05-16,12772.380276,7388.774584,36.64856817631726,,,,
2025-05-23,12723.017876,7485.1666276000005,37.0402725997803,,,,
2025-05-30,12781.055299,7480.651701600001,36.92014548121973,,,,
2025-06-06,12715.029017,7431.4970425,36.887238130048296,,,,
2025-06-13,13137.366594,7647.1873076,36.792645845583046,,,,
2025-06-20,13174.978833,7638.4266497,36.69955239208222,,,,
2025-06-27,13512.461552,7698.8837811,36.296065431955434,,,,
2025-07-04,13053.343134,7570.356706699999,36.70707373155334,,,,
2025-07-11,13456.676881,7671.3953489,36.30901705288381,,,,
2025-07-18,13555.13201,7788.7734584,36.491791391839726,,,,
2025-07-25,13711.339596,7885.0060861,36.51083475958361,,,,
2025-08-01,13572.911944,7771.6247776,36.4103699179161,,,,
2025-08-08,13542.898304,7915.2208384,36.886834236836634,,,,
2025-08-15,13998.02203,7899.920389600001,36.07608531534492,,,,
2025-08-22,13866.313182,7997.2856954,36.57808460649471,,,,
2025-08-29,14030.759165,7908.2547316,36.04653686292429,,,,
2025-09-05,13811.853849,8152.4180583,37.11672343479995,,,,
2025-09-12,14170.083428,8289.9149625,36.90968636046929,,,,
2025-09-19,14223.73803,8381.2166935,37.07690104234948,,,,
2025-09-26,14453.932968,8433.8965962,36.84882645837192,,,,
2025-10-03,14079.629374,8516.0152518,37.6887466271987,,,,
2025-10-10,13967.079408,8672.574273100001,38.30700944131502,,,,
2025-10-17,14386.997245,9105.001032,38.75788225693134,,,,
2025-10-24,14401.467385,8893.238837,38.177080888021855,,,,
2025-10-31,14413.757046,8832.090664899999,37.9942722448389,,,,
2025-11-07,14086.713624,8808.2558459,38.47245071665287,,,,
2025-11-14,14641.545136,8983.002649299999,38.024019468806635,,,,
2025-11-21,14632.966816,8899.898635799998,37.819018062329754,,,,
2025-11-28,14822.726797,9010.2824169,37.8058949083315,,,,
2025-12-05,14533.915775,8966.204041,38.15386521942489,,,,
2025-12-12,15154.479845,9106.4451593,37.53544086915884,,,,
2025-12-19,15238.89719,9171.784431799999,37.57283214741993,,,,
2025-12-26,15636.724568,9457.8751254,37.6888862183662,,,,
2026-01-02,15164.589286,9429.7985189,38.34126140363322,9429.7985189,38.34126140363322,0.0,0.0
2026-01-09,15151.771431,9429.193653100001,38.35973738557238,9431.04257611689,38.36437347403165,-43.088865,-0.004636088459271548
2026-01-16,15594.869082,9577.9004511,38.04865586405141,9480.298061240088,37.80751692335515,2268.435387,0.24113894069625985
2026-01-23,15616.220877,9964.600960299998,38.95340432640197,9581.209567674681,38.02455011717121,8887.31835,0.9288542092307637
2026-01-30,15208.659274,10311.5326715,40.40538838234813,9697.304823131179,38.93567334037943,14186.965355,1.4697150419686977
2026-02-06,14995.118426,10130.511794600001,40.31943360487013,9713.080262715212,39.311163007408524,9620.96047,1.0082705974616033
2026-02-13,15329.655747,10189.153355,39.92801276216859,9691.70075175105,38.73371434612194,11437.610214,1.1942984160466494
2026-02-20,15404.607513,10301.223574700001,40.07348970572299,9764.061522900596,38.79450879572987,12308.977777,1.2789809099931233
2026-02-27,15446.19637,10489.8601861,40.44508525577243,9881.787600369511,39.01529475038335,13897.385646,1.4297905053890858
2026-03-06,15148.87686,10394.1332512,40.69267171703628,9911.726508056354,39.5510290095026,11003.364602000001,1.1416427075336841
2026-03-13,15873.083571,10307.3351448,39.3703983755595,9884.57899140629,38.37529499215114,9617.293383000002,0.9951033834083631
2026-03-20,15645.380449,10232.6998374,39.54195877032542,9943.319788844296,38.858244836283895,6568.678626000003,0.6837139340415277
2026-03-27,15574.470268,10026.317270399999,39.164097023816105,10081.551511304613,39.295069196725116,-1248.6889979999978,-0.13097217290901142
2026-04-03,15521.203385,10308.8266537,39.91023873473913,10228.026089585204,39.72167827266594,1822.514841000002,0.1885604620731911
2026-04-10,15493.7224,10408.2513756,40.1832364814017,10204.184179928798,39.708231284095014,4593.902773000002,0.475005197306686
2026-04-17,16271.19354,10574.570869,39.39009039897144,10308.814685734927,38.78409140503527,5958.585897000002,0.6059989939361685
2026-04-24,16130.485587,10464.2771336,39.347134785656465,10322.300376733052,39.02160018564773,3171.4832720000018,0.32553460000873713
2026-05-01,16372.796009,10299.919495,38.615938798789955,10246.354797124737,38.492418002933356,1192.9331090000017,0.12352079585659936
2026-05-08,16102.277246,10464.4379996,39.389280544696355,10290.036061721052,38.988761393305786,3866.6511170000012,0.4005191513905686
2026-05-15,16702.949897,10372.3301165,38.30922565280305,10353.624198889833,38.26657492628623,413.0399180000013,0.04265072651681834
2026-05-22,16502.875422,10354.1809849,38.552925637226004,10408.21057819553,38.676293398638414,-1188.4184189999987,-0.12336776141241046
2026-05-29,16549.153055,10494.0945095,38.804860564438,10493.942983326597,38.80451767968485,3.3271810000012465,0.00034288475315236155
2026-06-05,16778.007057,10366.944668299999,38.1910595134257,10481.578698071733,38.45098304959239,-2501.932290999999,-0.2599235361666885
2026-06-12,16937.289074,10208.8178804,37.60693162208769,10531.877249902063,38.34072401657796,-7023.506869999999,-0.7337923944902656
2026-06-19,17024.99761,10256.3270994,37.59468137508036,10640.595243808883,38.461475595466695,-8321.46292,-0.8667942203863319
2026-06-26,17515.500741,10128.5952745,36.63927107191681,10634.57109835085,37.77813129231462,-10910.496568999999,-1.1388602203978095
2026-07-03,17097.105688,10130.698747,37.20718198628416,10520.551712993863,38.09357021213271,-8377.154580999999,-0.8863882258485489
2026-07-10,17281.553574,10129.0070313,36.95293641437415,10592.812768272168,38.00198590418862,-9928.604538999998,-1.0490494898144718
2026-07-17,17639.840198,10320.5821512,36.91139576614905,10879.264230333942,38.14728564731967,-11914.793163999999,-1.2358898811706212
2026-07-24,17916.474783,10499.9250495,36.9502298369661,11031.731149733861,38.10851413510042,-11298.665917999999,-1.158284298134319
2026-07-31,17821.006486,10413.5027569,36.882180835208366,10908.95025461111,37.97064629474645,-10483.634875,-1.0884654595380852
2026-08-07,17769.13086,10786.966079,37.77465142397624,11031.707765992975,38.30342549830051,-5160.347165,-0.528774074324275
2026-08-14,18214.198624,10862.8186049,37.35877899505907,11060.162210064858,37.78105446181013,-4144.953453,-0.42227546675106
2026-08-21,18307.405591,11182.942315600001,37.920686290368366,11154.903984253724,37.861607406443994,586.762839,0.05907888392437144
2026-08-28,18486.263313,11099.1731463,37.51566471418759,11068.891923891642,37.45164535652689,631.197719,0.06401935766069755
