tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2013-10-25,10.88,12.96,13.85,10.9,7.84,8.46,3.040000000000001,6.268,,4.612000000000001,-1.572,,,,
2013-11-01,10.8,12.84,13.9,10.83,7.46,8.29,3.3400000000000007,6.25,,4.550000000000001,-1.21,,,,
2013-11-08,11.52,12.69,13.88,10.67,7.52,8.34,4.0,6.403999999999999,,5.1160000000000005,-1.1160000000000005,,,,
2013-11-15,9.79,12.53,13.75,10.58,7.67,8.41,2.119999999999999,6.516,,3.273999999999999,-1.154,,,,
2013-11-22,11.16,12.53,13.71,10.53,7.55,8.29,3.6100000000000003,6.572,,4.588,-0.9779999999999998,,,,
2013-11-29,10.89,12.37,13.63,10.51,7.69,8.36,3.2,6.578,,4.312,-1.112,,,,
2013-12-06,11.44,12.42,13.53,10.56,7.57,8.47,3.869999999999999,6.646000000000001,,4.793999999999999,-0.9239999999999995,,,,
2013-12-13,11.52,12.48,13.65,10.58,7.88,8.6,3.6399999999999997,6.734,,4.786,-1.146,,,,
2013-12-20,11.69,12.34,13.39,10.56,7.99,8.85,3.6999999999999993,6.934,,4.755999999999999,-1.056,,,,
2013-12-27,10.6,12.58,13.72,10.73,8.04,8.91,2.5600000000000005,6.95,,3.6499999999999995,-1.089999999999999,,,,
2014-01-03,12.89,12.59,14.3,10.69,8.06,8.89,4.83,7.1075,,5.782500000000001,-0.9525000000000006,0.38047400039680385,0.010299918775720673,0.2577211078751516,0.09888506313952983
2014-01-10,12.65,13.56,14.92,11.28,7.81,8.76,4.840000000000001,7.132,,5.518000000000001,-0.6779999999999999,0.38165608363157744,0.010433156418939271,0.25820247688793213,0.09636595563039352
2014-01-17,12.95,13.7,15.17,11.37,8.01,8.82,4.9399999999999995,7.004,,5.946,-1.0060000000000002,0.36609521462296896,0.009654455736013201,0.2476632559232038,0.08797285554781142
2014-01-24,12.94,13.8,15.2,11.47,7.9,8.85,5.039999999999999,7.154000000000001,,5.785999999999999,-0.7459999999999996,0.360149794905886,0.009405999463756642,0.24056886611812933,0.08365518417241324
2014-01-31,14.81,13.92,15.56,11.69,9.2,9.79,5.610000000000001,8.882,,5.928000000000001,-0.3179999999999996,0.6941888101670224,0.06003998312381098,0.47617015594787254,0.35605402228893723
2014-02-07,15.58,14.96,16.62,12.53,9.75,10.3,5.83,10.0,,5.58,0.25,0.7075912311028393,0.07365770568080199,0.47440520879069575,0.3941595448678814
2014-02-14,15.35,15.58,16.81,13.12,10.0,10.65,5.35,10.065999999999999,,5.284000000000001,0.06599999999999895,0.6816207007325271,0.07395115411264541,0.4732906956632923,0.3890265492346968
2014-02-21,15.75,15.54,16.83,13.12,10.03,10.75,5.720000000000001,10.072,,5.678000000000001,0.041999999999999815,0.6921949295171654,0.07772087937674921,0.47092723766264216,0.38906490065478305
2014-02-28,15.12,15.75,17.05,13.35,10.12,10.81,5.0,10.144,,4.975999999999999,0.02400000000000091,0.6909134206914616,0.07663345710605463,0.469669701957171,0.38820442358893115
2014-03-07,15.72,15.77,17.01,13.4,10.42,11.08,5.300000000000001,10.178,,5.542,-0.2419999999999991,0.6834179471472558,0.07461067623460826,0.46522870014104056,0.38069198180071406
2014-03-14,15.99,15.77,17.11,13.5,10.45,11.12,5.540000000000001,10.196000000000002,,5.793999999999999,-0.2539999999999978,0.6710516109828435,0.07341243343943116,0.46569704317630295,0.38120505633915314
2014-03-21,16.05,15.97,17.24,13.49,10.69,11.4,5.360000000000001,10.204,,5.846,-0.4859999999999989,0.6849279536714056,0.07812250559867184,0.4625829595313925,0.37463456838081
2014-03-28,16.49,16.05,17.23,13.63,10.9,11.65,5.589999999999998,10.212,,6.277999999999999,-0.6880000000000006,0.6829466960999676,0.08235337228014206,0.46073098996724965,0.37049333144714935
2014-04-04,15.95,16.0,17.08,13.65,10.73,11.41,5.219999999999999,10.168000000000001,,5.781999999999998,-0.5619999999999994,0.7224502750778083,0.10007640935731055,0.46284233459509,0.37032186324074656
2014-04-11,14.88,15.98,16.96,13.61,10.53,11.15,4.350000000000001,10.028,,4.852,-0.5019999999999989,0.7416013273494376,0.10748189273653197,0.4675624494059636,0.3744641867772752
2014-04-18,14.86,15.82,16.73,13.48,10.27,10.77,4.59,10.012,,4.847999999999999,-0.2579999999999991,0.7427684439645328,0.10780524981434847,0.4690237833807493,0.37183525315422494
2014-04-25,14.56,15.65,16.69,13.34,10.2,10.75,4.360000000000001,10.025,,4.535,-0.17499999999999893,0.6531090787347554,0.09347953588371993,0.4705559895111535,0.36855817318103445
