tarih,dibs_toplam_trl,pay_dibs_tcmb,pay_dibs_bankalar,pay_dibs_fonlar,pay_dibs_yurtdisi,pay_dibs_diger_yurtici,dibs_pd_trl,pay_dibs_kv_kisa,pay_dibs_ov_kisa,dibs_piyasa_yazili_oran,eb_toplam_mlrusd,eb_pd_mlrusd,pay_eb_yurtdisi,pay_eb_kendi,pay_eb_usd,pay_eb_eur,pay_eb_jpy,pay_eb_kv_kisa
2020-09-11,1.10823389,7.2525304202707614,67.40671863048692,1.1965723228334049,3.3550688474253394,20.789109778983562,1.2457909699999998,27.809463314776345,9.17502885074716,1.124122787834976,76.077,73.33539,58.83217003825072,1.823336882369179,84.6888521353742,9.540577884702053,5.770569979923745,7.20222528304547
2020-09-18,1.0983526000000001,7.317777551580431,67.63271284649392,1.109103761396841,3.331602255960426,20.608803584568385,1.2374436100000001,27.557418374461673,9.28595606873755,1.1266360274469236,76.10909,72.82361,58.72399735695172,1.8209125874452055,84.55882645751838,9.5555685855178,5.885604956963819,7.307602575593272
2020-09-25,1.1007096699999999,7.2787586212447835,67.7089263692941,1.0606139219254793,3.328061068092552,20.623640019443087,1.23569433,28.951726273600364,9.274205377312041,1.1226342092551982,75.99608,72.32430000000001,58.49721459317375,1.8173305781035018,84.58908001874889,9.526963966467703,5.883942188171887,7.327440431500892
2020-10-02,1.1047927499999999,7.251857871080346,67.53914614302093,1.0003731469092279,3.6195566996615427,20.58906613932794,1.2441123799999998,29.01158518341876,9.35139484225207,1.1261047648982128,76.04563,72.69603,58.397846135274314,1.8202229372023087,84.60932460823514,9.542075406318611,5.848599985446247,7.2833550883039955
2020-10-09,1.1016716299999998,7.272402939158923,67.65482015725503,1.002784287002108,3.5191275643541813,20.55086505222976,1.24075131,27.988522309208584,9.687119330947954,1.1262442239708035,76.03919,72.77591000000001,58.36407515650811,1.8212450711271384,84.59641384078878,9.589010979045126,5.814575180166074,7.266209381648406
2020-10-16,1.10190632,7.270854023234934,67.6024110652165,1.0022966380662923,3.488063304691818,20.63637496879044,1.2413943,27.97076964184546,9.693232037556479,1.1265878754556922,78.54152,75.09862,59.18007443706208,1.7613359150675973,85.05695577362141,9.26958444775683,5.673459778621765,7.0624200551221845
2020-10-23,1.10465423,7.252767230158527,67.5946780197456,1.001606629433719,3.4931039009374008,20.65784421972476,1.2403594299999998,30.005711328368744,9.661151203566858,1.1228485767894991,78.63936,75.24077000000001,59.08753580904015,1.764218325276299,84.93258375744958,9.370385231304782,5.697031011245631,7.063696982367404
2020-10-30,1.10394055,7.25745602876894,67.48502806604938,1.016503107889279,3.4844122720195387,20.75660052527285,1.23590245,29.654264379846477,9.107157284136786,1.1195371435536088,78.62310000000001,74.10135000000001,58.98496752226762,1.7636165452646866,84.79289513618848,9.432662157976877,5.774442705834644,7.146442001394036
2020-11-06,1.11732632,7.170510402010399,67.57939793273643,1.0069117498279285,3.4403628834233495,20.80281703200189,1.2450998,29.934966418475316,9.395592952503943,1.1143564576550922,78.61739999999999,74.73828999999999,58.858496973952334,1.762027235701003,84.90061787605792,9.343871795835843,5.75551032810625,7.116874094925104
2020-11-13,1.07440385,7.456972534117408,67.4151651634532,0.925491843686152,3.7120529677923253,20.49031749095091,1.2118094499999998,27.966947873141706,8.430329537370747,1.1278900852784546,78.5829,79.00624,58.72925280181821,1.7634752598847843,85.60674447992967,8.990277223672459,5.402990953625941,8.60576329160836
2020-11-20,1.06662696,7.495497769904485,67.42488395380518,0.9214308627638664,3.8855843283766243,20.27260308514985,1.2098341000000001,27.511479466482218,8.313165416646793,1.1342616916414714,78.66397,79.70594,58.725055447875306,1.740885948166613,85.56806431239629,9.002528544296698,5.4293945971906235,8.57650007013279
2020-11-27,1.07967679,7.404901239008758,67.49401827930375,0.8915881205522627,3.994804778567112,20.214687582568118,1.22236744,27.459858551206175,8.369413864623228,1.1321605237063583,78.69956,79.49463,58.717113539135426,1.735727620332312,85.47728318252442,9.100187018921908,5.422529798553688,8.60517245001329
