tarih,kod,itfa,vade_yil,reel_getiri,endeks_orani
2026-09-03,TP.TRT180827A10,2027-08-18,0.9561643835616438,9.93770225317203,1.7964692522456185
2026-09-03,TP.TRT151227A17,2027-12-15,1.2821917808219179,7.180822103920037,1.61441065288263
2026-09-03,TP.TRT120128A12,2028-01-12,1.358904109589041,9.456185890280523,12.788122134524235
2026-09-03,TP.TRT280628A19,2028-06-28,1.819178082191781,6.518304089650084,12.022590845010674
2026-09-03,TP.TRT190728A27,2028-07-19,1.8767123287671232,8.243465462931532,3.1854621338337092
2026-09-03,TP.TRT181028A15,2028-10-18,2.126027397260274,8.076918783321506,2.6154094233514447
2026-09-03,TP.TRT140229A18,2029-02-14,2.452054794520548,5.157253453078359,2.2478223267904487
2026-09-03,TP.TRT110429A19,2029-04-11,2.6054794520547944,5.6104393603751745,1.4527007708635382
2026-09-03,TP.TRT020529A19,2029-05-02,2.663013698630137,5.589632049621751,1.983379778077022
2026-09-03,TP.TRT130629A15,2029-06-13,2.778082191780822,5.054308682376529,1.3786542840132743
2026-09-03,TP.TRT280531A15,2031-05-28,4.734246575342466,3.4375688816423278,7.877679421822626
2026-09-03,TP.TRT110232A16,2032-02-11,5.443835616438356,3.8256058712708096,6.1890428670459645
2026-09-03,TP.TRT040832A19,2032-08-04,5.923287671232877,4.0710647177330195,4.33526440567462
2026-09-03,TP.TRT120133A15,2033-01-12,6.364383561643836,4.706303867908845,3.7381898256639676
2026-09-03,TP.TRT070933A14,2033-09-07,7.016438356164383,3.764516561103348,2.8912782098676746
