Tarih,tufe,gida,islenmemis_gida,islenmis_gida
2013-04-01,6.90336726,5.200757,4.718431,5.646801
2013-05-01,6.91341994,5.087377,4.467076,5.677942
2013-06-01,6.96619654,5.18,4.625568,5.701297
2013-07-01,6.98787264,5.191606,4.630674,5.719462
2013-08-01,6.98064727,5.151655,4.504903,5.768768
2013-09-01,7.03405216,5.189597,4.519466,5.830789
2013-10-01,7.16065316,5.3927,4.871059,5.8775
2013-11-01,7.16128146,5.320386,4.701598,5.906564
2013-12-01,7.19426683,5.397833,4.811294,5.949642
2014-01-01,7.33657515,5.67615,5.261425,6.0345
2014-02-01,7.36798979,5.683292,5.18426,6.134149
2014-03-01,7.45092444,5.802475,5.330458,6.221602
2014-04-01,7.55113714,5.884832,5.42786,6.285699
2014-05-01,7.58098105,5.805377,5.232866,6.334746
2014-06-01,7.60454203,5.826133,5.215277,6.397286
2014-07-01,7.63909814,5.843542,5.191068,6.460345
2014-08-01,7.64632351,5.895322,5.228138,6.527297
2014-09-01,7.65700448,5.9134,5.216412,6.577641
2014-10-01,7.80245427,6.070079,5.450177,6.646929
2014-11-01,7.81659086,6.08481,5.420673,6.710247
2014-12-01,7.78203475,6.085033,5.400436,6.732565
2015-01-01,7.86779672,6.299071,5.755245,6.79251
2015-02-01,7.92402893,6.462,6.02173,6.842075
2015-03-01,8.0179587,6.621803,6.286324,6.887488
2015-04-01,8.14864361,6.729827,6.45257,6.931604
2015-05-01,8.19450898,6.549267,6.080172,6.959371
2015-06-01,8.15241336,6.366698,5.703612,6.987397
2015-07-01,8.15963873,6.38433,5.68886,7.039298
2015-08-01,8.19230996,6.467803,5.794395,7.097946
2015-09-01,8.26550607,6.547927,5.90655,7.142321
2015-10-01,8.39399195,6.597476,5.962532,7.18462
2015-11-01,8.44991001,6.663763,6.042724,7.234964
2015-12-01,8.46750221,6.746343,6.147124,7.293093
2016-01-01,8.62143395,7.035373,6.63735,7.363678
2016-02-01,8.61954907,7.032695,6.557159,7.443605
2016-03-01,8.61609346,6.925341,6.299941,7.497322
2016-04-01,8.68363494,6.822897,6.06958,7.532874
2016-05-01,8.73389836,6.711079,5.82371,7.565312
2016-06-01,8.77505154,6.788972,5.966882,7.572578
2016-07-01,8.87714912,7.002787,6.328311,7.626036
2016-08-01,8.85138912,6.868204,6.050667,7.646018
2016-09-01,8.86741058,6.820218,5.938324,7.667297
2016-10-01,8.99495402,6.940294,6.138235,7.700514
2016-11-01,9.04144769,6.900343,6.041589,7.721793
2016-12-01,9.19003894,7.12755,6.424768,7.779403
2017-01-01,9.41622435,7.58174,7.212686,7.86478
2017-02-01,9.49256193,7.645796,7.238408,7.96936
2017-03-01,9.58900488,7.793324,7.451747,8.043318
2017-04-01,9.71434929,7.889072,7.563145,8.120391
2017-05-01,9.7577015,7.845773,7.415434,8.190976
2017-06-01,9.73162734,7.762747,7.232166,8.218224
2017-07-01,9.74607808,7.707619,7.048899,8.302822
2017-08-01,9.79665565,7.690433,6.919912,8.406883
2017-09-01,9.86042737,7.673025,6.827238,8.471499
2017-10-01,10.06525083,7.824347,6.997266,8.600213
2017-11-01,10.21541281,7.989061,7.218738,8.700901
2017-12-01,10.28546746,8.110253,7.424134,8.728667
2018-01-01,10.39039236,8.245728,7.541395,8.882034
2018-02-01,10.46641579,8.430752,7.724284,9.065763
2018-03-01,10.57039825,8.601715,7.922115,9.20304
2018-04-01,10.76831048,8.58386,7.842302,9.255979
2018-05-01,10.94297588,8.708623,8.044861,9.289974
2018-06-01,11.22884911,9.2291,8.912024,9.407529
2018-07-01,11.29073595,9.203211,8.769231,9.514185
2018-08-01,11.54990674,9.209013,8.602228,9.71582
2018-09-01,12.27809811,9.798233,9.151275,10.339407
2018-10-01,12.60575281,10.114046,9.417192,10.705567
2018-11-01,12.42386204,10.039054,9.233736,10.754613
2018-12-01,12.37359861,10.147078,9.434971,10.755132
2019-01-01,12.50522596,10.79946,10.598313,10.849591
2019-02-01,12.52533133,10.896994,10.742242,10.895524
2019-03-01,12.65413135,11.162589,11.226038,10.923031
2019-04-01,12.8683792,11.318375,11.42576,11.029428
2019-05-01,12.99058215,11.185355,10.887494,11.333047
2019-06-01,12.99403776,11.001,10.276224,11.609418
2019-07-01,13.1702739,10.879139,9.854084,11.811831
2019-08-01,13.2833666,10.79522,9.625425,11.884233
2019-09-01,13.41530809,10.730718,9.429864,11.961305
2019-10-01,13.68390327,10.90793,9.695782,12.040714
2019-11-01,13.73605157,10.931812,9.629964,12.160604
2019-12-01,13.83814915,11.251865,10.010873,12.410247
2020-01-01,14.02506627,11.775244,10.833592,12.593975
2020-02-01,14.07438725,12.049544,11.250436,12.705562
2020-03-01,14.15480873,12.284785,11.600138,12.810661
2020-04-01,14.2757551,12.595018,12.023412,12.990497
2020-05-01,14.47021172,12.625372,11.991071,13.089368
2020-06-01,14.63419615,12.422939,11.53886,13.165922
2020-07-01,14.71964397,12.263805,11.219229,13.186682
2020-08-01,14.84687326,12.253985,11.103481,13.293857
2020-09-01,14.99138061,12.334779,11.077381,13.49082
2020-10-01,15.3108675,12.708398,11.51711,13.784838
2020-11-01,15.66271148,13.236687,12.232402,14.096762
2020-12-01,15.85842469,13.571248,12.647544,14.336543
2021-01-01,16.12513498,13.908264,12.792418,14.874235
2021-02-01,16.27152721,14.26626,13.164059,15.21159
2021-03-01,16.44650676,14.427179,13.337681,15.356133
2021-04-01,16.72264145,14.734064,13.786866,15.505348
2021-05-01,16.8712327,14.776917,13.743366,15.64003
2021-06-01,17.1988874,14.906367,13.696462,15.956625
2021-07-01,17.50926405,15.319936,14.105741,16.368198
2021-08-01,17.7052914,15.807382,14.706041,16.726313
2021-09-01,17.92707877,15.885721,14.628687,16.970246
2021-10-01,18.35620276,16.191267,14.880231,17.32914
2021-11-01,19.00083118,16.825794,15.316933,18.165521
2021-12-01,21.58028731,19.516118,17.68466,21.15708
2022-01-01,23.97659609,21.642889,19.825618,23.233888
2022-02-01,25.1295134,23.463667,22.369804,24.249845
2022-03-01,26.50264734,24.573141,23.677264,25.129044
2022-04-01,28.42365261,27.861389,27.66565,27.613273
2022-05-01,29.27090546,28.316918,27.158591,29.092185
2022-06-01,30.72037698,28.908593,26.249062,31.282137
2022-07-01,31.44699761,29.819652,26.942604,32.411497
2022-08-01,31.90627966,30.074311,26.399043,33.516723
2022-09-01,32.88767303,30.667325,26.681793,34.432252
2022-10-01,34.05347034,32.228311,28.605062,35.579518
2022-11-01,35.035492,34.080559,30.210592,37.665669
2022-12-01,35.44985111,34.712854,30.639351,38.505682
2023-01-01,37.80689159,37.009918,33.46572,40.324544
2023-02-01,38.99593573,39.732158,37.163034,42.162349
2023-03-01,39.88873981,41.256764,39.289808,43.140419
2023-04-01,40.84028928,42.88493,42.244974,43.560296
2023-05-01,40.85788148,43.18936,42.368855,44.030517
2023-06-01,42.459714,44.495017,44.212879,44.846916
2023-07-01,46.48864164,47.924767,48.419333,47.575078
2023-08-01,50.71296836,51.986812,51.118794,52.889974
2023-09-01,53.12341372,53.710503,52.340578,55.075255
2023-10-01,54.9476619,55.430846,54.464326,56.431162
2023-11-01,56.75054812,56.96929,54.634544,59.222125
2023-12-01,58.41175431,59.710055,58.590211,60.859593
2024-01-01,62.32727511,62.808592,62.69775,63.040722
2024-02-01,65.15019471,67.990378,68.531484,67.636274
2024-03-01,67.21068098,70.304404,72.34814,68.578791
2024-04-01,69.34781897,72.259989,75.132332,69.779515
2024-05-01,71.6834975,73.481727,74.79568,72.431124
2024-06-01,72.85966164,74.786045,75.38312,74.394529
2024-07-01,75.2097909,76.15799,76.18806,76.288647
2024-08-01,77.0707942,75.320584,72.460106,78.096869
2024-09-01,79.35840832,77.192026,75.024339,79.337297
2024-10-01,81.64382342,80.530714,80.090014,81.101403
2024-11-01,83.47592526,84.640745,87.300997,82.380497
2024-12-01,84.33417324,85.73415,88.054683,83.787267
2025-01-01,88.57829117,89.040253,90.392905,87.905591
2025-02-01,90.59196963,91.863374,91.660458,92.033517
2025-03-01,92.82052423,96.398357,100.97779,92.556157
2025-04-01,95.6019765,98.336756,102.977468,94.443268
2025-05-01,97.06307144,97.637281,99.875725,95.759471
2025-06-01,98.39599463,97.37481,98.194165,96.687457
2025-07-01,100.4219248,97.447793,95.843649,98.793329
2025-08-01,102.46576131,100.388759,97.777321,102.579748
2025-09-01,105.78000589,105.028194,103.181351,106.577663
2025-10-01,108.47758107,108.610829,107.847771,109.25107
2025-11-01,109.41593639,107.864707,104.257126,110.891393
2025-12-01,110.38696292,110.008887,107.014272,112.521336
2026-01-01,115.73,117.256168,119.636381,115.551574
2026-02-01,119.16,125.344217,130.436944,121.517737
2026-03-01,121.47,127.589837,134.588337,122.26764
2026-04-01,126.55,132.312787,140.268392,126.244557
2026-05-01,128.72,131.673667,134.589227,129.568606
2026-06-01,129.99,131.88569,130.783294,132.941125
2026-07-01,132.31,134.015042,133.879447,134.313112
