Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
2017-06-30,743962431.0393981,33841340.1058073,154688329.795343,132745093.538818,66810308.0276811,162749701.885756,17739983.1372885,26428939.1854123,60438713.5120822,40733637.5162429,82086948.6202597,14855390.2006252,660373291.986498,83589139.0528999
2017-09-30,844119989.315872,91195556.6764137,162299909.951094,138044239.323284,73114437.0534387,183783461.123487,18264195.4898328,21319217.7941193,62824409.4839631,42460240.9361093,81555028.8524667,14594400.1695968,751410857.5305219,92709131.7853499
2017-12-31,902552964.3439231,51909249.777663,190437297.944144,162827330.779723,75215416.3788875,205346829.716276,26099590.5363285,23399707.1004789,66167570.5422187,51435065.6351741,88463219.3638107,17320361.278161,795794308.273143,106758656.07078
2018-03-31,809483219.5285649,22299440.1231352,176654418.092428,151049708.490325,62356318.2871235,182613232.474335,18609124.7464618,33536913.2196193,69442973.4590466,44026637.0105104,97240210.9055446,17157319.3497515,723936587.667955,85546631.86061
2018-06-30,908772012.4150301,38238533.9938692,197480808.381075,169981960.523755,75497128.2431493,205851041.994066,21251962.7725624,35331691.9445429,71298014.617013,45993954.0394356,103901234.903118,17811552.4831082,812655923.37194,96116089.04309
2018-09-30,1047448535.16651,105851478.720725,224176006.060583,192200226.363779,66138039.4809406,243920851.711183,22643255.0866052,30394328.9500443,75004528.8159849,47809934.4759449,107644630.19469,18095242.0341587,941678295.53086,105770239.63565
2018-12-31,1040775452.24833,62158654.4590567,243747938.008314,206554346.531803,64877341.5211347,249615604.791379,30510056.6449365,16832271.5769945,80067046.0186879,56701225.3597106,115363491.31844,20220983.8623211,940094613.5609751,100680838.68736
2019-03-31,948043693.090981,29666147.1871727,214316453.428888,180316055.081415,56558829.9668659,216161719.472623,23368689.0788423,36956999.8432302,82320602.9277823,49099529.8297812,131259052.034139,21509900.9461067,861217924.7154311,86825768.37555
2019-06-30,1051610271.78976,51899818.356544,237525524.856438,200576946.082803,56407321.5384555,245068108.883217,25790042.762017,40427403.0857904,83895351.1699583,56280413.3485421,130784304.311677,20952893.1872969,949031181.4999369,102579090.28982
2019-09-30,1178523775.71783,137943831.762583,242234649.678689,202882544.599187,55354192.8751786,274113336.584062,26205489.0778889,32361042.2319915,87522440.2427447,57039920.9476452,130903181.28649,21351781.1102579,1065029865.79753,113493909.9203
2019-12-31,1223872570.25994,73409390.2460616,263275405.703242,220032465.968306,65874278.4138164,296873126.420782,36877327.4133142,28915184.4065273,91695649.5089961,70097320.6225256,140286346.640418,30492953.5163336,1097796982.89202,126075587.36792
2020-03-31,1095834093.20798,34114648.747707,251290505.800316,211426178.716953,55889340.6299101,244158642.253826,27702410.4551661,46361255.8206924,94509653.2528757,53401114.03633,154263080.818656,28965933.3891858,990656585.204665,105177508.003312
2020-06-30,1061245901.35972,61322629.3355981,224290166.398153,185471626.994886,67271702.8411076,203726267.79808,30222831.6168482,56835094.4881399,93853277.1405508,47906921.6835779,145768264.9806,19246465.8583993,950443622.141055,110802279.218661
2020-09-30,1440508562.2707,170836843.730152,309713209.303664,261599015.235869,66623301.6074725,307864901.551737,33678119.4791552,56523337.5785431,98555453.0684088,57585565.3520883,152007214.608266,25067652.1960658,1278455598.47555,162052963.795149
2020-12-31,1544122044.10238,88052771.3356027,377524435.87471104,320215999.235425,76661943.9502488,355190742.544318,46902770.5164729,39566871.6123639,102760140.324421,78977749.18395,167306113.572384,37120154.0369815,1370063692.95145,174058351.15093
2021-03-31,1439485730.2545,39834499.3547804,359539406.324341,309394322.829093,72137838.144957,313126244.632208,37502236.2982156,54217946.6732399,117957946.405189,65401118.8564758,182552011.724251,40017479.648902,1282286728.06256,157199002.19194
2021-06-30,1633315779.80097,71992532.6681848,428493994.084188,366797074.636146,92416115.1028646,368315511.114109,43668612.8189968,51087743.7507398,120557391.173822,75753865.055428,184426393.112571,31126496.086901,1467838654.9678,165477124.83317
2021-09-30,1975578633.13683,198334234.345038,478092139.45991296,406324371.83606,97377872.4667099,469034881.723106,47538541.8420883,52500179.2919756,126183134.518466,85560773.6389285,197946039.160768,35069797.2458224,1787637593.69281,187941039.444012
2021-12-31,2385419765.09291,113928225.425692,654868777.773142,562131870.040233,108212604.612724,590411868.5145191,72224863.0855123,61757765.6628791,135838690.560702,116452011.330705,217462109.378461,60745014.6029826,2131901930.94732,253517834.145588
2022-03-31,2589636478.47121,63375929.5419707,723285282.2032701,611704038.172543,110888386.243141,624809746.493543,55544851.4017987,105982671.388932,175487600.12115,107288667.579127,279515438.277428,62947242.8102406,2309125816.0606,280510662.410607
2022-06-30,3502565413.44039,171154425.338251,967180322.584444,821431390.441824,187370102.954953,894916752.602552,72404477.0654845,136007949.670034,201871704.211036,151156655.31074,296262466.610686,58441411.0068047,3136766267.35498,365799146.085402
2022-09-30,4351145687.05226,500925230.64019907,1053253725.26524,882949808.577422,198945852.31999,1108198138.0964,86428984.838759,138557847.619756,219995026.168572,180986970.415173,372324171.15710896,67120753.4553771,3926736699.97658,424408987.075682
