Tarih,TP_GSYIH40_IFC_B1GQ,TP_GSYIH40_IFC_A,TP_GSYIH40_IFC_BTE,TP_GSYIH40_IFC_C,TP_GSYIH40_IFC_F,TP_GSYIH40_IFC_GTI,TP_GSYIH40_IFC_J,TP_GSYIH40_IFC_K,TP_GSYIH40_IFC_L,TP_GSYIH40_IFC_MN,TP_GSYIH40_IFC_OTQ,TP_GSYIH40_IFC_RTU,TP_GSYIH40_IFC_B1G,TP_GSYIH40_IFC_D21X31
2018-09-30,469282501.607941,57384414.8617844,85588955.1221788,71284163.9823061,34334224.3173136,106024804.407125,11356886.8209946,18030562.0028316,38619075.4094815,22105267.6177499,44170765.2757457,8275647.60233642,420124245.00756496,49274584.1158964
2018-12-31,459364221.87228096,25746555.1485374,90453247.6768118,75047558.1381548,31174547.2546387,108200773.68854,16012759.9254747,15551875.4217215,39650355.2530267,25298974.5361369,44924201.6053624,8696491.40711367,409239941.07726,50227795.5022621
2019-03-31,394943586.46717906,11645407.4736865,80473357.9675269,66012730.4297987,24776271.9014644,90751152.1403785,10973197.8136026,22357992.7478475,40133248.626874,20358786.6680352,46274533.7977468,8549920.31019504,355127835.107834,39727925.8231495
2019-06-30,436166224.93563694,19135988.0732422,85613841.3073492,70815709.974642,29885648.6531263,101026488.298633,12084004.6778409,23813281.9899612,40189628.4049324,22655553.8443639,47057244.8685705,8277274.25008123,388883427.79673696,47403476.9723243
2019-09-30,475312812.24695903,59353195.2138467,86736045.1338751,71026001.6364428,31301747.4859348,106845875.75038,11746246.4886509,18049335.1339063,40646377.8314958,22897867.7662667,46655885.3756993,8374483.26780054,425126802.997056,50229399.7869574
2019-12-31,487634655.103788,26181308.3091898,94740537.8038972,78184465.1509818,29864623.5800486,114333085.738125,17220022.6955631,18752426.0804357,41625573.8482259,27723880.0390555,47885488.7731081,11220340.1669521,433747263.723228,54089701.4777673
2020-03-31,411846213.356243,12292843.9556597,86429734.6770388,71426321.6844227,23330740.133067,91397417.5860945,12180015.4791844,24090567.016984,41818478.2133249,20256573.6766717,48678402.2828833,9597620.79793813,368272768.556896,43604217.0207359
2020-06-30,391784931.454208,20314330.3084301,71495839.8758145,57769022.218718,28384714.5374916,73538724.6294679,13457207.1028687,31875332.1652732,41214935.2694311,18271465.0290088,46296277.6101503,6785101.51076038,345939201.80418,46341906.4138165
2020-09-30,505785683.505174,62940435.9295185,93344134.2941886,77351231.4496785,32403602.9393792,105939721.007068,13713306.7279053,27137097.4684507,42157766.1209799,20807328.5131391,47938145.9349009,8727536.7415629,447437949.061895,58899248.6084343
2020-12-31,516988423.956658,26989760.7186045,105991267.350179,87758557.1400145,25432813.8784143,119162889.470489,19941837.2071506,21107158.998735,43264301.8477756,27485471.1835787,50910952.9254886,12536570.3017366,456734607.888762,60882748.5401297
2021-03-31,444647096.06830704,12300178.4173523,97217063.2303115,81542055.5563827,24306820.0714674,96792870.2965844,14550777.0884576,24962646.2605241,44975254.9062241,21398278.8590471,50857304.1856529,11281678.0679034,396623761.056497,48236431.5781279
2021-06-30,479506916.937886,19921804.8183085,101958040.759483,84637310.7917268,29761512.932433,107298316.355297,17010958.0567686,25080336.4211225,45052138.8041457,24023165.0833107,50810998.2166618,9266943.92543883,429292985.545246,50322018.5900968
2021-09-30,547131514.074186,59542644.5881672,103923463.320527,86368595.2715203,31204761.4615756,127920514.363243,16716432.4452801,22245742.2750894,46136987.4307604,25457074.6137636,52577761.0778354,9968320.28474062,492108594.342204,54970550.3898436
2021-12-31,570838174.5849911,27678646.116421,118371663.109212,99216504.778034,23926659.0039586,138900516.799685,24297081.1008206,24399648.0548964,47364957.8683273,31132264.5153929,54041939.0163428,15763582.6018248,510124975.47358,60914163.8745969
2022-03-31,479420805.44285905,12311325.5036323,104171041.72526,88750296.4038781,22636776.4540276,112666013.615583,16343610.9574276,31292831.1871328,49264028.4018525,22967384.7215098,52455970.7799851,12692258.2369845,432721066.627436,46725761.0777747
2022-06-30,515717208.34293103,19693464.7259276,107412759.85061,91247655.2188294,26639663.5558031,127485937.928307,17264405.4003434,31895955.8454326,49372979.7435758,27265353.4378574,51670485.1799628,10018356.1522371,465767923.778455,49970456.3508861
2022-09-30,569713378.769401,61806375.5597876,101998051.382255,87145630.143392,27114681.4198477,138179594.613139,18375171.8358497,27785783.4757755,50816170.8631053,28631846.3773543,55090411.7453811,11110420.6185365,512896914.11096,56878897.8207667
