Tarih,TP_GSYIH40_HY_B1GQ,TP_GSYIH40_HY_P311,TP_GSYIH40_HY_P312,TP_GSYIH40_HY_P32,TP_GSYIH40_HY_P51G,TP_GSYIH40_HY_P6,TP_GSYIH40_HY_P7,TP_GSYIH40_HY_P52
2008-06-30,103.30759837,101.99278053,101.8619982,88.91773498,132.17490481,101.81891646,119.88646005,
2008-09-30,109.77319565,109.23971832,90.9104903,90.06344902,122.69412168,106.13214919,115.90165771,
2008-12-31,107.84253368,107.28460639,97.43334042,101.95998774,125.31214962,100.07951941,103.9586784,
2009-03-31,85.99512664,88.78747861,98.25352235,87.62800708,78.24640239,88.92566745,83.92655759,
2009-06-30,97.16011485,98.49480882,104.43133002,94.37424027,104.97079381,92.80441537,96.8719624,
2009-09-30,108.23122179,106.04481766,92.3054898,95.64090017,101.01423558,110.64614677,107.30656686,
2009-12-31,108.61353672,106.6728949,105.00965783,122.35685249,115.76856822,107.62377041,111.89491315,
2010-03-31,92.43267816,94.50341304,89.11209946,93.34261892,85.95566398,85.95845389,97.42258411,
2010-06-30,104.55644914,106.70160674,81.99279344,93.03374171,116.40516133,103.03155592,117.2450842,
2010-09-30,117.95387501,121.69521001,76.91164887,97.12545546,127.40691659,108.57650053,126.20444264,
2010-12-31,119.58687313,120.26880773,89.73370794,117.3002672,148.94225936,111.71780511,139.56660656,
2011-03-31,102.84530811,110.88470361,96.48575757,91.64874753,112.75266224,95.3589321,127.14965214,
2011-06-30,116.02461378,122.64618766,102.0475967,100.8415111,152.84478276,107.73384883,140.98110918,
2011-09-30,131.34007038,131.81018997,101.71373525,99.51209448,155.86079155,134.66718581,140.20883712,
2011-12-31,131.10902051,128.98991305,119.12124556,125.63567999,170.43339595,126.26488389,136.85152666,
2012-03-31,109.28086653,113.6811995,99.77960599,98.68886365,125.324648,109.73924147,122.92072134,
2012-06-30,122.19100171,123.35555219,100.01699381,106.7693459,153.90538328,135.03479838,140.64355466,
2012-09-30,136.67459429,134.62524277,94.92384829,110.25879891,157.86771273,145.94327912,143.29755308,
2012-12-31,136.32779175,133.59194551,102.18384615,125.41321386,175.02734109,143.02388955,139.89864293,
2013-03-31,119.45637207,122.11747167,90.8091996,109.12809021,144.41282913,121.46085632,137.09624674,
2013-06-30,134.28364643,131.03992387,89.55008933,115.00344441,177.15576675,142.4555798,157.76139005,
2013-09-30,148.19734338,145.31548174,85.45792207,118.73508815,184.86698364,149.67288068,153.64052948,
2013-12-31,146.33775112,143.2665749,92.32677721,132.6954951,195.60419486,145.34652411,160.6748929,
2014-03-31,129.27091225,124.53046865,108.85956647,119.7288663,163.18234111,136.73874063,140.4518386,
2014-06-30,138.17852126,135.59353444,114.58464983,116.7196396,175.31557451,147.09287388,152.33471541,
2014-09-30,152.39752448,148.28318917,110.44122912,121.91700795,184.99053224,162.02093688,150.83654023,
2014-12-31,153.37674286,150.44525478,117.67403394,141.68220755,203.0412931,152.3735326,163.50696195,
2015-03-31,132.72920465,136.95891483,148.93359613,106.138998,166.84254665,140.45324538,145.25035439,
2015-06-30,147.26299617,143.64260557,153.65401466,116.99678868,200.16346195,154.67368267,156.45744637,
2015-09-30,161.49852047,152.59049655,145.82186718,117.65855675,200.78005062,175.89953966,154.62282996,
2015-12-31,164.69506928,157.48308626,142.225651,144.88166693,222.23310313,157.44538956,161.49210895,
2016-03-31,138.9011773,139.74248078,151.93990166,116.92511714,178.60686347,139.99198735,146.79911902,
2016-06-30,153.89836724,151.06845285,170.29677387,134.69803472,205.01618737,150.53804503,164.29711711,
2016-09-30,161.4619945,156.2016412,170.30809914,127.14607143,204.75410135,159.43751712,161.9108621,
2016-12-31,171.70173404,166.13483663,164.13251927,156.7934213,226.27148987,164.7040684,164.88607719,
2017-03-31,146.20954848,145.45738575,162.75241668,127.45710042,185.81374052,156.79398494,148.78166523,
2017-06-30,163.34523854,158.43521287,177.22860832,133.50386174,221.07317587,166.62898451,171.76879469,
2017-09-30,180.21195766,168.6742644,157.60892667,133.42320144,229.15286828,186.65321336,179.21894628,
2017-12-31,184.67827609,176.55820982,160.49817814,165.85686188,239.37941001,181.1265381,201.70176262,
2018-03-31,158.37595959,155.55014834,205.61246306,133.75162995,208.4749642,155.77181913,172.47975111,
2018-06-30,173.53697083,163.96966062,224.79769581,150.04324467,240.33278725,176.61649626,175.75492136,
2018-09-30,186.08018667,171.11064876,194.62499582,145.80966055,222.76555111,220.87243984,159.11365263,
2018-12-31,180.62474238,164.00897216,190.39839903,177.17677303,210.96275876,203.78320755,155.86772637,
2019-03-31,155.74866019,150.19207116,206.34618917,143.29903011,179.81026594,169.05423567,121.99737178,
2019-06-30,172.58861319,163.53322271,208.70167591,155.52346722,191.05689276,187.73553922,145.35321035,
2019-09-30,188.19485912,173.43216473,182.52594767,155.31651413,191.81788033,230.69807998,163.11436822,
2019-12-31,191.99397997,176.890135,181.67975388,180.78205842,213.06083128,204.93808708,199.77448495,
2020-03-31,161.87020072,154.93608738,246.73981853,146.45249208,177.34814267,169.53714676,146.0996814,
2020-06-30,155.16836641,147.70805112,208.41215901,155.11860379,181.37065201,120.21031222,132.55379444,
2020-09-30,199.58435811,191.54281317,217.26377669,157.9860917,234.03124082,171.3978221,186.07147124,
2020-12-31,203.51604224,191.98332737,217.47890697,191.20096535,236.69123835,201.22219027,204.178517,
2021-03-31,175.3591759,171.29890207,283.82995196,145.54523874,199.92981111,172.56435382,145.55066167,
2021-06-30,189.52944875,186.20895838,248.17748257,162.72970288,219.18850275,190.34161867,158.35252666,
2021-09-30,217.08901848,206.74937799,236.15739966,175.0495291,230.57123966,219.07483984,173.82218945,
2021-12-31,224.71568554,232.56092049,242.27941624,198.34648436,239.61339194,246.54489913,210.82302294,
2022-03-31,188.44062727,205.64113412,291.85164061,152.13349597,212.18992788,201.50649857,147.79482853,
2022-06-30,203.37848114,214.69063592,248.5313406,164.64284017,231.27218997,227.24884167,167.8780413,
2022-09-30,225.48375116,244.50103727,235.02830465,181.59702147,233.90031581,248.75009331,192.53504934,
2022-12-31,231.62643372,259.1315018,242.82091549,211.8187291,251.04496467,237.99426074,231.9524752,
2023-03-31,195.30531552,228.72159394,384.40514801,157.99884986,218.43214024,196.34825555,166.91932379,
2023-06-30,214.21967603,245.6995289,297.47853951,177.08370698,241.18331314,208.00231519,206.43797259,
2023-09-30,239.06350403,264.44307696,267.93904199,184.90990335,264.33156702,251.07733338,216.43316323,
