tarih,faiz,pi12,egilim3,bek12,bek24,bek_faiz12,ex_post,ex_ante,egilime_gore,ileri_ex_ante
2011-01-01,,4.900327383790781,-0.31944470226203947,,,,,,,
2011-02-01,,4.156520728320734,4.193259770009106,,,,,,,
2011-03-01,,3.9860376995088487,4.468876155299517,,,,,,,
2011-04-01,,4.264607103856188,7.11270878528778,,,,,,,
2011-05-01,,7.172545503066607,13.441337651569697,,,,,,,
2011-06-01,,6.2358788706935675,10.198212032262921,,,,,,,
2011-07-01,,6.311368354715063,9.059650244403116,,,,,,,
2011-08-01,,6.653476557436289,3.893286048870781,,,,,,,
2011-09-01,,6.154018005639705,8.445990852523998,,,,,,,
2011-10-01,,7.65560731796715,15.076206751562582,,,,,,,
2011-11-01,,9.484649106828558,17.391013349756257,,,,,,,
2011-12-01,,10.448171569445819,19.556014023166735,,,,,,,
2012-01-01,,10.613362481996646,11.214850333261793,,,,,,,
2012-02-01,,10.43331699697978,7.42506072677922,,,,,,,
2012-03-01,,10.427720506778137,4.085823478464734,,,,,,,
2012-04-01,,11.137949528109182,9.240493371977099,,,,,,,
2012-05-01,,8.280488437112332,5.1124870043905535,,,,,,,
2012-06-01,,8.868566669608047,4.126521647727444,,,,,,,
2012-07-01,,9.065185946264332,0.9388120861506088,,,,,,,
2012-08-01,,8.883235187591687,5.687844084532112,,,,,,,
2012-09-01,,9.185122772823462,9.500160298945826,,,,,,,
2012-10-01,,7.798889571099776,10.208684554213532,,,,,,,
2012-11-01,,6.3695543745840855,7.788187291560367,,,,,,,
2012-12-01,,6.163803837928361,7.3862836975762125,,,,,,,
2013-01-01,,7.307654319133783,8.913086179239361,6.1,5.79,5.45,,,,-0.32139143586350505
2013-02-01,,7.0254038581746725,9.422589484048395,6.07,5.78,5.45,,,,-0.3119682359614351
2013-03-01,,7.29064531040986,8.284178769261597,6.18,5.88,5.43,,,,-0.4250094446543229
2013-04-01,,6.133784192762559,4.658175453266322,6.13,5.85,5.35,,,,-0.4723665564477897
2013-05-01,,6.514689487912051,3.4112559565294687,6.15,5.8,4.98,,,,-0.7750472589792001
2013-06-01,,8.297518999646458,7.936965159071052,6.2,5.87,5.16,,,,-0.6706337961650988
2013-07-01,,8.884429071612221,11.54528413100957,6.45,6.13,5.37,,,,-0.7161028926787716
2013-08-01,,8.168232522657126,11.832080782926013,6.45,6.23,5.4,,,,-0.7813235432551968
2013-09-01,,7.882437983425983,7.80281063200714,6.64,6.21,5.34,,,,-0.819131908483206
2013-10-01,,7.7119364368371635,6.2017031677487955,6.61,6.2,5.27,,,,-0.8757062146892758
2013-11-01,,7.315695414474921,5.289620900142489,6.74,6.28,5.07,,,,-1.1385020700037662
2013-12-01,,7.400459634226775,5.83870111074114,6.74,6.37,5.28,,,,-1.0247250164520216
2014-01-01,,7.751222648082456,8.608863878390526,7.06,6.5,5.44,,,,-0.995305164319249
2014-02-01,,7.889047253771064,11.232494087360578,7.21,6.63,9.33,,,,2.5321204163931244
2014-03-01,,8.38550467206558,12.23912949193493,7.31,6.62,9.79,,,,2.973175764396929
2014-04-01,,9.383390099399126,11.331088249134025,7.22,6.58,9.34,,,,2.589604053293293
2014-05-01,,9.656018523301224,10.64620299055694,7.21,6.66,9.08,,,,2.2688918057378604
2014-06-01,,9.163472295600773,10.59568736177301,7.19,6.62,8.44,,,,1.7069968111048661
2014-07-01,,9.319367045590576,10.701629354646357,7.27,6.73,8.07,,,,1.2555045441769108
2014-08-01,,9.536024587015124,10.445365976559895,7.35,6.8,8.39,,,,1.4887640449438244
2014-09-01,,8.856236857930844,6.766325414769336,7.44,6.8,8.31,,,,1.413857677902608
2014-10-01,,8.962885028214384,5.715578763170481,7.54,6.79,8.37,,,,1.4795392827043452
2014-11-01,,9.150728171491252,4.815082247746205,7.5,6.87,8.3,,,,1.3380742958734926
2014-12-01,,8.169948848005127,3.3710408211845344,7.21,6.72,8.24,,,,1.4242878560719818
2015-01-01,,7.24072962027793,1.416613967710112,6.81,6.38,7.92,,,,1.4476405339349352
2015-02-01,,7.546687167708477,4.600081038604054,6.69,6.42,7.5,,,,1.0148468333019967
2015-03-01,,7.610253795567945,10.171793473326929,6.78,6.51,7.54,,,,0.9670453478546559
2015-04-01,,7.912801196986341,14.584336244337482,6.91,6.55,7.77,,,,1.1450023463162928
2015-05-01,,8.092988571709991,13.16546971052459,6.85,6.57,7.8,,,,1.1541709674392386
2015-06-01,,7.204527607824929,8.348114903367666,7.0,6.66,8.02,,,,1.2750796924807961
