tarih,dusen_aylik,son3_sa,son3_sa_aylik,son12_ort,son12_ort_aylik,gecen_yil,gecen_yil_aylik
2026-09-01,3.2344897823703977,30.12922330870751,2.1568197546387724,30.322228358801606,2.3083366976656583,31.501979078010134,3.2344897823703977
2026-10-01,2.5501749194504653,29.630082257786626,2.1568197546387724,30.014896889205534,2.3083366976656583,31.501979078010134,2.5501749194504653
2026-11-01,0.8650223490828779,31.290279222429728,2.1568197546387724,31.87532741149559,2.3083366976656583,31.501979078010134,0.8650223490828779
2026-12-01,0.8874635286571841,32.942160710108446,2.1568197546387724,33.73262571020816,2.3083366976656583,31.501979078010134,0.8874635286571841
2027-01-01,4.840279086102073,29.53941431519045,2.1568197546387724,30.50291946844501,2.3083366976656583,31.501979078010134,4.840279086102073
2027-02-01,2.9637950401797175,28.52415350613604,2.1568197546387724,29.672149514262045,2.3083366976656583,31.501979078010134,2.9637950401797175
2027-03-01,1.9385699899295172,28.799322819036345,2.1568197546387724,30.142515577035866,2.3083366976656583,31.501979078010134,1.9385699899295172
2027-04-01,4.182102576767921,26.29548531186905,2.1568197546387724,27.801839020531393,2.3083366976656583,31.501979078010134,4.182102576767921
2027-05-01,1.714737258000798,26.844403049513655,2.1568197546387724,28.547680794062202,2.3083366976656583,31.501979078010134,1.714737258000798
2027-06-01,0.9866376631448182,28.314211850851258,2.1568197546387724,30.23009491861337,2.3083366976656583,31.501979078010134,0.9866376631448182
2027-07-01,1.7847526732825525,28.783255524348327,2.1568197546387724,30.90000269362314,2.3083366976656583,31.501979078010134,1.7847526732825525
2027-08-01,1.8399999999999972,29.183894560255695,2.1568197546387724,31.501979078010024,2.3083366976656583,31.501979078010134,1.8399999999999972
