tarih,tufe,cekirdek_b,cekirdek_c,hizmet,temel_mal,kira,enerji,gida,islenmemis_gida,islenmis_gida,alkol_tutun_altin,yonetilen_haric,yi_ufe
2005-01-01,3.5760693359724742,4.21600116103021,4.623242711530859,3.2446011569244724,6.776212735296268,2.410961060617503,3.8679120071186968,2.459431719287526,2.0088045776121763,2.94926,1.8954562906292343,3.5525358316175724,114.83092746000003
2005-02-01,3.593032194332106,4.244007339748995,4.658885767072225,3.274135020396412,6.8205468221764205,2.4434201802318807,3.8987906645298667,2.4437463733802702,1.9751684707785915,2.9609380000000005,1.9349102794646944,3.5629375381750052,114.80514419000004
2005-03-01,3.6085376885086387,4.258938129043873,4.685214296124923,3.309477157939043,6.81465377159638,2.4824094370456193,3.9465356960738713,2.448845591029862,1.9786796090685095,2.968723,1.9340926852533586,3.57795346791917,117.24628136999998
2005-04-01,3.6239585356073976,4.275136100463955,4.704603828840358,3.332161398563618,6.806943656435444,2.516964358103291,3.99128660480747,2.4408195520136293,1.9634882690719702,2.967685,1.9588488326244349,3.591451743339701,119.61544601999995
2005-05-01,3.6377271526086736,4.300524026557486,4.718561332221618,3.3618763479863083,6.788413433063426,2.556705667488002,3.9840702177978677,2.4571169108196997,1.9803182690924546,2.9702799999999994,1.9778008301647727,3.6037483774595063,119.23228192999997
2005-06-01,3.665435660328088,4.319753023301106,4.739198890243951,3.391850782962678,6.795384124280141,2.6006078263395844,3.9846896104716802,2.4985400570636602,2.044327965547797,2.971577,2.002470072015173,3.631017908717687,119.63916110999997
2005-07-01,3.678404708322254,4.329480745014276,4.755637232924496,3.4284608034388477,6.762776335476427,2.633999856940764,4.085720770418209,2.494913510131972,2.039235893509295,2.9741719999999994,1.9626529262436414,3.6464881748098943,119.33458770999995
2005-08-01,3.7277867057555345,4.3515048570351365,4.7906145754132385,3.4684662977470393,6.769326057041668,2.6866166238764033,4.100101115871237,2.5186539932788468,2.0782148307983976,2.9806599999999994,2.248051088017042,3.6832763105869417,121.40069563
2005-09-01,3.754556096485917,4.361203932963952,4.801996656667566,3.485008264387827,6.749024231998536,2.7305478348453236,4.117568923041579,2.527812808965714,2.089881846950699,2.9918179999999994,2.2997751711317593,3.7114074540166833,123.4044825
2005-10-01,3.7824918173394844,4.367511299322571,4.822524304548312,3.5164609694261872,6.760452168791677,2.772186126950323,4.160382378263263,2.5482859474468977,2.123993635840626,3.001161,2.3379304423672775,3.744332501208963,124.21617267999999
