tarih,c_oktg10,c_oktg09,c_oktg18,c_oktg22,c_oktg23,pi,artik,y_oktg10,y_oktg09,y_oktg18,y_oktg22,y_oktg23,pi_12,yil_artik
2006-01-01,0.003653693067102688,0.0021373749929455327,-0.004776193484275758,0.003142704077743477,0.003303987380444875,0.0075010193470621545,3.945331310134005e-05,,,,,,0.0793499122925192,
2006-02-01,0.00670812351279081,0.0009611655904509499,-0.007428722833610295,0.00024242359882334968,0.0017597815772093233,0.002184995600345463,-5.7775845318674794e-05,,,,,,0.08144858777064745,
2006-03-01,0.003689408263265681,0.0006549228215523476,-0.0032731308570388977,0.00013232597162575,0.0014964197707256616,0.002745478609044394,4.553263891385155e-05,,,,,,0.08161309939753258,
2006-04-01,0.0017690896054932586,0.0010730498831723174,0.006802422756536883,0.0013654199035346105,0.002407670815013259,0.013367691222648803,-4.996174110152504e-05,,,,,,0.08829888453351109,
2006-05-01,0.0020480822581849844,0.0011394108115550196,0.009372405068627609,0.002568937406437441,0.0036128719632599142,0.018753975431804903,1.2267923739935072e-05,,,,,,0.09863741751265431,
2006-06-01,-0.007676282874206525,0.0048014523260792785,0.0036106199265643945,-0.000489336971952742,0.0031031329029977267,0.003354132814232802,4.547504750669791e-06,,,,,,0.10118996633085886,
2006-07-01,0.0038708805477913784,0.003006342573702302,-0.002419385545256176,0.0008655773472954108,0.0031311933927598403,0.008473917891460792,1.9309575168036802e-05,,,,,,0.11692784617970098,
2006-08-01,-0.003319144717941146,-0.00012281527289460635,-0.00304421346680875,-0.000941094303219617,0.0030667721342567717,-0.0043940807573901175,-3.35851307827692e-05,,,,,,0.10262101675622448,
2006-09-01,0.007823873143492886,-0.0018503624007459155,0.0032195544501264373,-0.0006826692347631433,0.004304675301938835,0.012853273060316361,3.8201800267260305e-05,,,,,,0.10546776143028169,
2006-10-01,0.002104778522987821,0.000575766226211007,0.0075771678204815405,-0.00019444478010545232,0.002644641135761114,0.012690160497509151,-1.7748427826877813e-05,,,,,,0.09979244526560338,
2006-11-01,0.007495296113942514,0.001191756652387042,0.0026256654962003557,0.0006271724667904613,0.0009698982109458112,0.012908584206430707,-1.2047338354779363e-06,,,,,,0.09857540747385762,
2006-12-01,0.0016808182590299138,0.0009822428506493684,-0.0023582932482624675,-0.00019795399292716785,0.0022098611617418357,0.002310329746837647,-6.345283393835357e-06,0.031201692504990348,0.015289572935772811,0.009664482709251215,0.006918421128844906,0.03346820029165076,0.0965348568940334,-7.512676476639779e-06
2007-01-01,0.012636856671173192,0.000352412944408393,-0.006070229407991815,-6.0383188660819613e-05,0.0031755972968560246,0.010037919906749515,3.6655909645393753e-06,0.04013525929060234,0.013445853724309172,0.008941714738278983,0.0034727226458287743,0.03334768877014395,0.09929594580486523,-4.729336429799835e-05
2007-02-01,0.004716335379435647,0.0003078704260205236,-0.003836137185483922,0.0015654008238935502,0.0015290880284513331,0.004269728739406453,-1.2828732910678646e-05,0.03763340860963204,0.0127523309236879,0.013327108716433738,0.004785901413787743,0.03308061746366559,0.10158268797114767,3.3208439406406942e-06
2007-03-01,0.0018480378483359313,0.0015122953477175389,0.0008276306600387776,0.00368289140837718,0.0013001977597898802,0.009162879190974138,-8.17383328517024e-06,0.03573607844896325,0.013655405529030452,0.017905553733616845,0.008365944568713268,0.03302494913900002,0.10863262988924638,-5.530153007746175e-05
2007-04-01,0.0028007763306590583,0.0006075433389926028,0.0069813141807027095,9.584051901360125e-05,0.0015426356823137876,0.012057820982035672,2.9710930353912465e-05,0.037009018675407915,0.013239522879345614,0.017571129977770522,0.007050867749955812,0.0323000215320499,0.10719962101966951,2.906020513974983e-05
2007-05-01,-0.004917574133375871,0.0008003914069551627,0.008124211241764228,-0.00026953827243676113,0.001289788449508289,0.005024041719223771,-3.2369731912760408e-06,0.03004030483966501,0.012861877193340025,0.01554635035936525,0.004010760317351473,0.029805827198006663,0.09227768915996659,1.2569252238164852e-05
2007-06-01,-0.005613108841422206,-3.9813608728184524e-05,0.00045483315899262573,-0.00028631750122387254,0.0030833226676519913,-0.002428049365153395,-2.696524042374894e-05,0.03269056977128658,0.0075765384529983245,0.01204236415894596,0.004246116151132937,0.029446830100083872,0.0859830536144015,-1.9365020046180348e-05
2007-07-01,-0.002017096947833375,-0.00013971198308729407,-0.006382957040791892,-7.628339877812566e-05,0.00128642557399309,-0.00730188425062317,2.773954587442784e-05,0.026296819055330156,0.00416773901329349,0.008157785632629502,0.0032135304574432847,0.027171009008312985,0.06899475725935322,-1.212590765618804e-05
2007-08-01,0.004812644801166369,0.00010053946490362597,-0.0053236099258585825,0.00015371555386912663,0.0004712567809269214,0.00021634113344992656,1.7944584424658505e-06,0.03467973190044424,0.004401076983017473,0.006105258482030964,0.004378624776045267,0.024354599316757587,0.07394502596989994,2.5734511604397214e-05
2007-09-01,0.006629213522263631,0.0008040265152103248,0.00041742941060551365,0.0002305127539797727,0.002254752685787876,0.010310022560672039,-2.591232717508163e-05,0.03328518284567638,0.007232676417155663,0.003136690770695151,0.00538558955901542,0.022249072046569306,0.07124837553045782,-4.083610865410203e-05
2007-10-01,0.010011561939879867,0.00013927386539033725,0.005082124755043159,2.172376557465322e-05,0.002847947018943838,0.018126024244816463,2.3392899984608223e-05,0.041633229368092106,0.006882950551283528,0.00011507238993126688,0.005714349400637854,0.02265203157692877,0.07699856491320745,9.316263339109732e-07
2007-11-01,0.0016423868084469106,0.009194327051172227,0.003185758786791643,0.0040338685530124305,0.0014395044016431158,0.019485528139241648,-1.0317461824678464e-05,0.03596202321298443,0.014919541265245556,0.00045687394098320845,0.009179715350562941,0.023481561212135807,0.08399165322107427,-8.061760837674292e-06
2007-12-01,0.0010604030710215915,0.001265100022767839,-0.0017714018122972296,-0.00020585939983138203,0.0018452459832902042,0.0022000676621674042,6.579797216381064e-06,0.035279752638647535,0.01515283936692461,0.0012425662582394763,0.009208608816123062,0.022983260685612683,0.08387240554308284,5.377777535467421e-06
2008-01-01,0.005219661999073971,0.006754366836375861,-0.0074816331763048975,0.0007068159594424698,0.0028428745855986867,0.008026342995639757,-1.5743208546333334e-05,0.027113120024249298,0.021647618150869602,0.0003371571490002716,0.010054653555747818,0.022575519445912424,0.08171378093839388,-1.4287387385542027e-05
2008-02-01,0.014592521692763328,0.00044168385448011975,-0.004060262703551767,0.0006201539835301818,0.0013334598733813839,0.012930448448749576,2.891748146327533e-06,0.03691050478647428,0.02203331573655093,0.00046664224605624284,0.00909690009345079,0.02253259108280294,0.09104237025493211,2.4163095969365056e-06
2008-03-01,0.003117549902846186,0.0014194813488997743,0.001918026581462353,0.0008368366359837926,0.0022848793601024124,0.009607631075460032,3.0857246165513774e-05,0.03836550100222643,0.02201377958571136,0.0014857740813497662,0.006001174946328524,0.023614759235986518,0.09152320755110144,4.22186994988305e-05
2008-04-01,0.003030400804759804,0.0022514876361606055,0.00909347733182795,0.00017066537079753636,0.0022331716706572085,0.016769815585156334,-9.387229046770723e-06,0.038967938347251825,0.023968199072342242,0.0029484222664082557,0.006167379704523976,0.024552283781754204,0.09660518148236474,9.583100842314174e-07
2008-05-01,0.0007544793887711843,0.0011116650450441435,0.011021841251785897,-0.0006114147943205091,0.002653316929538892,0.01492244247250829,-7.445348311315575e-06,0.045749663478986666,0.024551170296977943,0.0050174645004389725,0.005946485459904985,0.026143661856613945,0.107405557497124,-2.888095798514456e-06
2008-06-01,-0.009999042139986668,0.002537955605121352,0.0008894537470876755,-0.0001299349365961583,0.00307905767671389,-0.003611272593909254,1.123745375065455e-05,0.041794021956092206,0.02704450245016283,0.005385711469570688,0.006111769658160831,0.02571786892178397,0.10609206028176033,3.818582598978659e-05
2008-07-01,0.001249712832200538,0.008544173347394,-0.006767854978686471,0.00036750012806824437,0.0023760106277673117,0.005760144957634772,-9.396999108850397e-06,0.04554492632026618,0.03590102374643487,0.005801915134605056,0.006599961161739649,0.026800390349575272,0.12064613928040524,-2.0774322157801617e-06
2008-08-01,-9.273584016325811e-05,0.0007286760736649128,-0.004128254043075327,-0.0010254722529991378,0.0020724597238093627,-0.0024453017477357175,2.4591027729739534e-08,0.03996189943465489,0.036429541641010234,0.0076094809535291385,0.005386547667593348,0.02828060828162468,0.11766402461552783,-4.053362884448575e-06
2008-09-01,0.0007251293504993205,0.00017815585957984997,0.0006000734935076948,-1.771925387419995e-05,0.003021941507756985,0.004515544657512027,7.963700042377085e-06,0.03350073958145446,0.03587871917479374,0.007780045365006242,0.005136993428540404,0.02892464957147532,0.11125383432821678,3.268720694660221e-05
2008-10-01,0.011123432949016344,0.005320795285534373,0.006509260213290477,0.0014880113697153597,0.0015620724747826755,0.026008221096124773,4.648803785541056e-06,0.03428394930939037,0.041976689306198564,0.00880039766353831,0.0067342813478576576,0.028049707281772415,0.1198570143524611,1.1989443703785962e-05
2008-11-01,0.0020384821795416327,0.0018237115729404171,0.003413093474183724,-0.00010604759653292912,0.0011840995494764666,0.008324466036767841,-2.8873142841469995e-05,0.03478872417580218,0.033966224320879895,0.008758212519460403,0.0022163918907877386,0.027872914749815653,0.10759711135423866,-5.356302507197874e-06
2008-12-01,0.0013774676643953181,-0.0040715164136258565,-0.0027078615419945827,0.0004917449295525221,0.0008248098798253979,-0.0040968337205902206,-1.147823874301894e-05,0.03485654831498612,0.0283631367852234,0.007964142170982739,0.00292563330779048,0.026552586098613728,0.10063799210543012,-2.405457216635154e-05
2009-01-01,0.00410927175428702,0.000911253807087055,-0.0042254138707337185,0.0005501837978306718,0.0015109321343015813,0.0028671145092864503,1.0886886513840517e-05,0.03335020303211217,0.021959647093404287,0.011953986374251671,0.002710238388855654,0.02502668632465971,0.09500476344876829,4.002235484801275e-06
2009-02-01,5.190129068030379e-05,-0.0012843542889326388,-0.003350166308340338,0.0013095160541143694,-0.00012670132033364552,-0.0034182717662849527,-1.8467193473003986e-05,0.01756712299590461,0.020124388894318904,0.012937206440061876,0.0033423787759138757,0.023377858847571067,0.07733136194408474,-1.7594009685595324e-05
2009-03-01,0.011137537447320694,-6.137079173697899e-05,-0.0035265665030323446,0.0034799930344732158,-1.4155738963753343e-05,0.011038352857195122,2.291540913429077e-05,0.025535178719488696,0.018753739320366575,0.007484166958663016,0.005956438220844881,0.021156695660162612,0.07885805548149194,-2.8163398033839715e-05
