kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.09462,09462. Spor Faaliyetlerine Katılım,09462,5,4,TP.TUKFIY2025.0946,01-01-2005,01-07-2026
TP.TUKFIY2025.09463,09463. Spor Faaliyetlerine Seyir Amaçlı Katılım,09463,5,4,TP.TUKFIY2025.0946,01-01-2005,01-12-2025
TP.TUKFIY2025.0947,0947. Şans Oyunları,0947,4,3,TP.TUKFIY2025.094,01-01-2005,01-07-2026
TP.TUKFIY2025.09470,09470. Şans Oyunları,09470,5,4,TP.TUKFIY2025.0947,01-01-2005,01-07-2026
TP.TUKFIY2025.095,095. Kültürel Mallar,095,3,2,TP.TUKFIY2025.09,01-01-2005,01-12-2025
TP.TUKFIY2025.0951,0951. Müzik Enstrümanları,0951,4,3,TP.TUKFIY2025.095,01-01-2005,01-12-2025
TP.TUKFIY2025.09510,09510. Müzik Enstrümanları,09510,5,4,TP.TUKFIY2025.0951,01-01-2005,01-12-2025
TP.TUKFIY2025.096,096. Kültürel Hizmetler,096,3,2,TP.TUKFIY2025.09,01-01-2005,01-07-2026
TP.TUKFIY2025.0961,"0961. Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler",0961,4,3,TP.TUKFIY2025.096,01-01-2005,01-07-2026
TP.TUKFIY2025.09610,"09610. Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler",09610,5,4,TP.TUKFIY2025.0961,01-01-2005,01-07-2026
TP.TUKFIY2025.0963,0963. Fotoğrafçılık Hizmetleri,0963,4,3,TP.TUKFIY2025.096,01-01-2005,01-12-2025
TP.TUKFIY2025.09630,09630. Fotoğrafçılık Hizmetleri,09630,5,4,TP.TUKFIY2025.0963,01-01-2005,01-12-2025
TP.TUKFIY2025.0969,0969. Diğer Kültürel Hizmetler,0969,4,3,TP.TUKFIY2025.096,01-12-2006,01-07-2026
TP.TUKFIY2025.09690,09690. Diğer Kültürel Hizmetler,09690,5,4,TP.TUKFIY2025.0969,01-12-2006,01-07-2026
