kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.01184,"01184. Sert Kabuklu Meyve Püresi, Meyve Ezmesi Ve Macunu",01184,5,4,TP.TUKFIY2025.0118,01-12-2012,01-07-2026
TP.TUKFIY2025.01185,"01185. Çikolata, Kakao, Kakao Bazlı Gıda Ürünleri",01185,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01186,"01186. Buz, Dondurma Ve Buzlu Şerbet Sorbe",01186,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01189,01189. Başka Yerde Sınıflandırılmamış Tatlılar Ve Diğer Şekerlemeler,01189,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.0119,0119. Yemeye Hazır Gıdalar Ve Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri,0119,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01191,"01191. Yemeye Hazır Gıdalar Hazır Pizza, Börek, Çorba Vb.",01191,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01192,01192. Bebek Mamaları,01192,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01193,"01193. Tuz, Çeşniler Ve Soslar",01193,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01194,"01194. Baharatlar, Yemeklerde Kullanılan Otlar Ve Tohumlar",01194,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01199,01199. Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri,01199,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.012,012. Alkolsüz İçecekler,012,3,2,TP.TUKFIY2025.01,01-01-2005,01-07-2026
TP.TUKFIY2025.0121,0121. Meyve Ve Sebze Suları,0121,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01210,01210. Meyve Ve Sebze Suları,01210,5,4,TP.TUKFIY2025.0121,01-01-2005,01-07-2026
TP.TUKFIY2025.0122,0122. Kahve Ve Kahve İkameleri,0122,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01220,01220. Kahve,01220,5,4,TP.TUKFIY2025.0122,01-01-2005,01-07-2026
TP.TUKFIY2025.0123,"0123. Çay, Mate Çayı Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler",0123,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01230,01230. Çay Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler,01230,5,4,TP.TUKFIY2025.0123,01-01-2005,01-07-2026
TP.TUKFIY2025.0125,0125. Maden Suları Ve Kaynak Suları,0125,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01250,01250. Maden Suları Ve Kaynak Suları,01250,5,4,TP.TUKFIY2025.0125,01-01-2005,01-07-2026
TP.TUKFIY2025.0126,0126. Meşrubatlar,0126,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01260,01260. Meşrubatlar,01260,5,4,TP.TUKFIY2025.0126,01-01-2005,01-07-2026
TP.TUKFIY2025.02,"02. Alkollü İçecekler, Tütün Ve Tütün Ürünleri",02,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.021,021. Alkollü İçecekler,021,3,2,TP.TUKFIY2025.02,01-01-2005,01-07-2026
TP.TUKFIY2025.0211,0211. İçkiler Ve Likörler,0211,4,3,TP.TUKFIY2025.021,01-01-2005,01-07-2026
TP.TUKFIY2025.02110,02110. İçkiler Ve Likörler,02110,5,4,TP.TUKFIY2025.0211,01-01-2005,01-07-2026
TP.TUKFIY2025.0212,0212. Şaraplar,0212,4,3,TP.TUKFIY2025.021,01-01-2005,01-07-2026
TP.TUKFIY2025.02121,"02121. Şarap, Üzümden",02121,5,4,TP.TUKFIY2025.0212,01-01-2005,01-07-2026
TP.TUKFIY2025.0213,0213. Biralar,0213,4,3,TP.TUKFIY2025.021,01-01-2005,01-07-2026
TP.TUKFIY2025.02130,02130. Biralar,02130,5,4,TP.TUKFIY2025.0213,01-01-2005,01-07-2026
TP.TUKFIY2025.023,023. Tütün Ve Tütün Ürünleri,023,3,2,TP.TUKFIY2025.02,01-01-2005,01-07-2026
TP.TUKFIY2025.0230,0230. Tütün Ve Tütün Ürünleri,0230,4,3,TP.TUKFIY2025.023,01-01-2005,01-07-2026
TP.TUKFIY2025.02301,02301. Sigara,02301,5,4,TP.TUKFIY2025.0230,01-01-2005,01-07-2026
TP.TUKFIY2025.03,03. Giyim Ve Ayakkabı,03,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.031,031. Giyim,031,3,2,TP.TUKFIY2025.03,01-01-2005,01-07-2026
TP.TUKFIY2025.0312,0312. Giysiler,0312,4,3,TP.TUKFIY2025.031,01-01-2005,01-07-2026
TP.TUKFIY2025.03121,03121. Erkek Ve Erkek Çocuk Giysileri,03121,5,4,TP.TUKFIY2025.0312,01-01-2005,01-07-2026
TP.TUKFIY2025.03122,03122. Kadın Ve Kız Çocuk Giysileri,03122,5,4,TP.TUKFIY2025.0312,01-01-2005,01-07-2026
TP.TUKFIY2025.03123,03123. Bebek Giysileri 0-2 Yaş,03123,5,4,TP.TUKFIY2025.0312,01-01-2005,01-07-2026
TP.TUKFIY2025.03124,03124. Okul Üniformaları,03124,5,4,TP.TUKFIY2025.0312,01-12-2025,01-07-2026
TP.TUKFIY2025.0313,0313. Diğer Giyim Eşyaları Ve Giyim Aksesuarları,0313,4,3,TP.TUKFIY2025.031,01-01-2005,01-07-2026
TP.TUKFIY2025.03131,03131. Diğer Giyim Eşyaları,03131,5,4,TP.TUKFIY2025.0313,01-01-2005,01-07-2026
TP.TUKFIY2025.03132,03132. Giyim Aksesuarları,03132,5,4,TP.TUKFIY2025.0313,01-01-2005,01-12-2025
TP.TUKFIY2025.0314,"0314. Giyim Eşyalarının Temizlenmesi, Onarımı, Tadilatı, Dikimi Ve Kiralanması",0314,4,3,TP.TUKFIY2025.031,01-01-2005,01-07-2026
TP.TUKFIY2025.03141,03141. Giyim Eşyalarının Temizlenmesi,03141,5,4,TP.TUKFIY2025.0314,01-01-2005,01-07-2026
TP.TUKFIY2025.03142,"03142. Giyim Eşyalarının Onarımı, Tadilatı, Dikimi Ve Kiralanması",03142,5,4,TP.TUKFIY2025.0314,01-01-2005,01-07-2026
TP.TUKFIY2025.032,032. Ayakkabılar,032,3,2,TP.TUKFIY2025.03,01-01-2005,01-07-2026
TP.TUKFIY2025.0321,0321. Ayakkabılar,0321,4,3,TP.TUKFIY2025.032,01-01-2005,01-07-2026
TP.TUKFIY2025.03211,03211. Erkek Ayakkabıları,03211,5,4,TP.TUKFIY2025.0321,01-01-2005,01-07-2026
TP.TUKFIY2025.03212,03212. Kadın Ayakkabıları,03212,5,4,TP.TUKFIY2025.0321,01-01-2005,01-07-2026
TP.TUKFIY2025.03213,03213. Bebek Ve Çocuk Ayakkabıları,03213,5,4,TP.TUKFIY2025.0321,01-01-2005,01-07-2026
TP.TUKFIY2025.0322,"0322. Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması",0322,4,3,TP.TUKFIY2025.032,01-01-2005,01-12-2025
TP.TUKFIY2025.03220,"03220. Ayakkabıların Temizlenmesi, Tamiri Ve Kiralanması",03220,5,4,TP.TUKFIY2025.0322,01-01-2005,01-12-2025
TP.TUKFIY2025.04,"04. Konut, Su, Elektrik, Gaz Ve Diğer Yakıtlar",04,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.041,041. Konut İçin Yapılan Gerçek Kira Ödemeleri,041,3,2,TP.TUKFIY2025.04,01-01-2005,01-07-2026
TP.TUKFIY2025.0411,0411. Ana İkametgah İçin Kiracılar Tarafından Ödenen Gerçek Kiralar,0411,4,3,TP.TUKFIY2025.041,01-01-2005,01-07-2026
TP.TUKFIY2025.04110,04110. Kiracılar Tarafından Ödenen Gerçek Kira,04110,5,4,TP.TUKFIY2025.0411,01-01-2005,01-07-2026
TP.TUKFIY2025.043,"043. Konutun Bakımı, Onarımı Ve Güvenliği",043,3,2,TP.TUKFIY2025.04,01-01-2005,01-07-2026
TP.TUKFIY2025.0431,0431. Konutun Bakım Ve Onarımı İçin Malzemeler Ve Güvenlik Ekipmanları,0431,4,3,TP.TUKFIY2025.043,01-01-2005,01-07-2026
TP.TUKFIY2025.04311,04311. Konutun Bakım Ve Onarımı İçin Malzemeler,04311,5,4,TP.TUKFIY2025.0431,01-01-2005,01-07-2026
TP.TUKFIY2025.0432,"0432. Konutun Bakım, Onarım Ve Güvenlik Hizmetleri",0432,4,3,TP.TUKFIY2025.043,01-01-2005,01-07-2026
TP.TUKFIY2025.04320,"04320. Konutun Bakım, Onarım Ve Güvenlik Hizmetleri",04320,5,4,TP.TUKFIY2025.0432,01-01-2005,01-07-2026
TP.TUKFIY2025.044,044. Konutla İlgili Su Temini Ve Çeşitli Hizmetler,044,3,2,TP.TUKFIY2025.04,01-01-2005,01-07-2026
TP.TUKFIY2025.0441,0441. Su Temini,0441,4,3,TP.TUKFIY2025.044,01-01-2005,01-07-2026
TP.TUKFIY2025.04411,04411. Su Şebeke Suyu,04411,5,4,TP.TUKFIY2025.0441,01-01-2005,01-07-2026
TP.TUKFIY2025.045,"045. Elektrik, Gaz Ve Diğer Yakıtlar",045,3,2,TP.TUKFIY2025.04,01-01-2005,01-07-2026
TP.TUKFIY2025.0451,0451. Elektrik,0451,4,3,TP.TUKFIY2025.045,01-01-2005,01-07-2026
TP.TUKFIY2025.04510,04510. Elektrik,04510,5,4,TP.TUKFIY2025.0451,01-01-2005,01-07-2026
TP.TUKFIY2025.0452,0452. Gaz,0452,4,3,TP.TUKFIY2025.045,01-01-2005,01-07-2026
TP.TUKFIY2025.04521,04521. Doğalgaz Ve İlgili Abonelik Ücretleri,04521,5,4,TP.TUKFIY2025.0452,01-01-2005,01-07-2026
TP.TUKFIY2025.04522,04522. Tüpgaz Ev Tüpü,04522,5,4,TP.TUKFIY2025.0452,01-01-2005,01-07-2026
TP.TUKFIY2025.0454,0454. Katı Yakıtlar,0454,4,3,TP.TUKFIY2025.045,01-01-2005,01-07-2026
TP.TUKFIY2025.04541,"04541. Kömür, Kömür Briketi Ve Turba",04541,5,4,TP.TUKFIY2025.0454,01-01-2005,01-07-2026
TP.TUKFIY2025.04542,"04542. Yakacak Odun, Peletler Ve Briketler Dahil",04542,5,4,TP.TUKFIY2025.0454,01-01-2005,01-07-2026
TP.TUKFIY2025.05,"05. Mobilya, Mefruşat Ve Evde Kullanılan Ekipmanlar İle Rutin Ev Bakım Ve Onarımı",05,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.051,"051. Mobilya, Mefruşat Ve Halılar",051,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0511,"0511. Mobilya, Mefruşat Ve Halılar",0511,4,3,TP.TUKFIY2025.051,01-01-2005,01-07-2026
TP.TUKFIY2025.05111,05111. Ev Mobilyaları,05111,5,4,TP.TUKFIY2025.0511,01-01-2005,01-07-2026
TP.TUKFIY2025.05114,"05114. Mefruşat, Halılar Ve Kilimler",05114,5,4,TP.TUKFIY2025.0511,01-01-2005,01-07-2026
TP.TUKFIY2025.052,052. Ev Tekstilleri,052,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0521,0521. Ev Tekstilleri,0521,4,3,TP.TUKFIY2025.052,01-01-2005,01-07-2026
TP.TUKFIY2025.05211,05211. Döşemelik Kumaşlar Ve Perdeler,05211,5,4,TP.TUKFIY2025.0521,01-01-2005,01-07-2026
TP.TUKFIY2025.05212,05212. Yatak Takımları Ve Yatak Olarak Kullanılan Eşyalar,05212,5,4,TP.TUKFIY2025.0521,01-01-2005,01-07-2026
TP.TUKFIY2025.05213,05213. Masa Ve Banyo Tekstili,05213,5,4,TP.TUKFIY2025.0521,01-01-2005,01-07-2026
TP.TUKFIY2025.05219,05219. Diğer Ev Tekstilleri,05219,5,4,TP.TUKFIY2025.0521,01-12-2025,01-07-2026
TP.TUKFIY2025.053,053. Ev Aletleri,053,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0531,0531. Elektrikli Veya Elektriksiz Büyük Ev Aletleri,0531,4,3,TP.TUKFIY2025.053,01-01-2005,01-07-2026
TP.TUKFIY2025.05311,05311. Elektrikli Büyük Mutfak Eşyaları,05311,5,4,TP.TUKFIY2025.0531,01-01-2005,01-07-2026
TP.TUKFIY2025.05312,05312. Çamaşır Makineleri Ve Kurutma Makineleri,05312,5,4,TP.TUKFIY2025.0531,01-01-2005,01-07-2026
TP.TUKFIY2025.05313,"05313. Isıtıcılar, Klimalar",05313,5,4,TP.TUKFIY2025.0531,01-01-2005,01-07-2026
TP.TUKFIY2025.05314,05314. Temizlik Ekipmanları Elektrik Süpürgesi Vb.,05314,5,4,TP.TUKFIY2025.0531,01-01-2005,01-07-2026
TP.TUKFIY2025.0532,0532. Küçük Ev Aletleri,0532,4,3,TP.TUKFIY2025.053,01-01-2005,01-07-2026
TP.TUKFIY2025.05321,05321. Yiyecek Pişirme Ve İşlemede Kullanılan Küçük Aletler,05321,5,4,TP.TUKFIY2025.0532,01-01-2005,01-07-2026
TP.TUKFIY2025.05322,05322. İçecek Hazırlamada Kullanılan Küçük Aletler,05322,5,4,TP.TUKFIY2025.0532,01-01-2005,01-07-2026
TP.TUKFIY2025.05329,05329. Diğer Küçük Ev Aletleri,05329,5,4,TP.TUKFIY2025.0532,01-01-2005,01-07-2026
TP.TUKFIY2025.0533,"0533. Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması",0533,4,3,TP.TUKFIY2025.053,01-01-2005,01-07-2026
TP.TUKFIY2025.05330,"05330. Ev Aletlerinin Onarımı, Kurulumu Ve Kiralanması",05330,5,4,TP.TUKFIY2025.0533,01-01-2005,01-07-2026
TP.TUKFIY2025.054,"054. Züccaciye, Yemek Takımı Ve Ev Gereçleri",054,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0540,"0540. Züccaciye, Yemek Takımı Ve Ev Gereçleri",0540,4,3,TP.TUKFIY2025.054,01-01-2005,01-07-2026
TP.TUKFIY2025.05401,"05401. Cam, Kristal, Seramik, Porselen Ve Çin Porseleni Eşyalar",05401,5,4,TP.TUKFIY2025.0540,01-01-2005,01-07-2026
TP.TUKFIY2025.05402,05402. Çatal Bıçak Takımları Ve Gümüş Çatal Bıçak Takımları,05402,5,4,TP.TUKFIY2025.0540,01-01-2005,01-07-2026
TP.TUKFIY2025.05403,05403. Mutfak Gereçleri Ve Eşyaları,05403,5,4,TP.TUKFIY2025.0540,01-01-2005,01-07-2026
TP.TUKFIY2025.055,055. Ev Ve Bahçe Alet Ve Ekipmanları,055,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0552,0552. Motorlu Olmayan Ev Ve Bahçe Aletleri Ve Çeşitli Aksesuarlar,0552,4,3,TP.TUKFIY2025.055,01-01-2005,01-07-2026
TP.TUKFIY2025.05522,"05522. Çeşitli Hırdavat Malzemeleri Ve Aksesuarlar Pil, Ampul Vb.",05522,5,4,TP.TUKFIY2025.0552,01-01-2005,01-07-2026
TP.TUKFIY2025.056,056. Rutin Ev Bakımı İçin Mal Ve Hizmetler,056,3,2,TP.TUKFIY2025.05,01-01-2005,01-07-2026
TP.TUKFIY2025.0561,0561. Dayanıklı Olmayan Ev Eşyaları,0561,4,3,TP.TUKFIY2025.056,01-01-2005,01-07-2026
TP.TUKFIY2025.05611,05611. Ev Temizlik Ve Bakım Ürünleri,05611,5,4,TP.TUKFIY2025.0561,01-01-2005,01-07-2026
TP.TUKFIY2025.05619,05619. Diğer Dayanıklı Olmayan Ev Eşyaları,05619,5,4,TP.TUKFIY2025.0561,01-01-2005,01-07-2026
TP.TUKFIY2025.0562,0562. Ev İçi Hizmetler Ve Hanehalkı Hizmetleri,0562,4,3,TP.TUKFIY2025.056,01-01-2005,01-07-2026
TP.TUKFIY2025.05629,05629. Diğer Hanehalkı Hizmetleri,05629,5,4,TP.TUKFIY2025.0562,01-01-2005,01-07-2026
TP.TUKFIY2025.06,06. Sağlık,06,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.061,061. İlaçlar Ve Sağlık Ürünleri,061,3,2,TP.TUKFIY2025.06,01-01-2005,01-07-2026
TP.TUKFIY2025.0611,0611. İlaçlar,0611,4,3,TP.TUKFIY2025.061,01-01-2005,01-07-2026
TP.TUKFIY2025.06111,"06111. İlaçlar, Aşılar Ve Diğer Eczacılık Ürünleri",06111,5,4,TP.TUKFIY2025.0611,01-01-2005,01-07-2026
TP.TUKFIY2025.0612,0612. Medikal Tıbbi Ürünler,0612,4,3,TP.TUKFIY2025.061,01-01-2005,01-12-2025
TP.TUKFIY2025.06121,06121. Medikal Tıbbi Tanı Ürünleri,06121,5,4,TP.TUKFIY2025.0612,01-01-2005,01-12-2025
TP.TUKFIY2025.0613,0613. Yardımcı Ürünler,0613,4,3,TP.TUKFIY2025.061,01-01-2005,01-07-2026
TP.TUKFIY2025.06131,06131. Görmeye Yardımcı Ürünler,06131,5,4,TP.TUKFIY2025.0613,01-01-2005,01-07-2026
TP.TUKFIY2025.06133,06133. Hareket Ve Günlük Yaşam İçin Yardımcı Ürünler,06133,5,4,TP.TUKFIY2025.0613,01-01-2005,01-07-2026
TP.TUKFIY2025.062,062. Ayaktan Tedavi Hizmetleri,062,3,2,TP.TUKFIY2025.06,01-01-2005,01-07-2026
TP.TUKFIY2025.0622,0622. Ayaktan Ağız Ve Diş Tedavi Hizmetleri,0622,4,3,TP.TUKFIY2025.062,01-01-2005,01-07-2026
TP.TUKFIY2025.06229,06229. Diğer Ayaktan Ağız Ve Diş Tedavi Hizmetleri,06229,5,4,TP.TUKFIY2025.0622,01-01-2005,01-07-2026
TP.TUKFIY2025.0623,0623. Diğer Ayaktan Tedavi Hizmetleri,0623,4,3,TP.TUKFIY2025.062,01-01-2005,01-07-2026
TP.TUKFIY2025.06231,06231. Ayaktan Tedavi Edici Ve Rehabilite Edici Hizmetler,06231,5,4,TP.TUKFIY2025.0623,01-01-2005,01-07-2026
TP.TUKFIY2025.063,063. Yatarak Tedavi Hizmetleri,063,3,2,TP.TUKFIY2025.06,01-01-2005,01-07-2026
TP.TUKFIY2025.0631,0631. Yatarak Tedavi Edici Ve Rehabilite Edici Hizmetler,0631,4,3,TP.TUKFIY2025.063,01-01-2005,01-07-2026
TP.TUKFIY2025.06310,06310. Yatarak Tedavi Edici Ve Rehabilite Edici Hizmetler,06310,5,4,TP.TUKFIY2025.0631,01-01-2005,01-07-2026
TP.TUKFIY2025.064,064. Diğer Sağlık Hizmetleri,064,3,2,TP.TUKFIY2025.06,01-01-2005,01-07-2026
TP.TUKFIY2025.0641,0641. Tanısal Görüntüleme Hizmetleri Ve Medikal Tıbbi Laboratuvar Hizmetleri,0641,4,3,TP.TUKFIY2025.064,01-01-2005,01-07-2026
TP.TUKFIY2025.06410,06410. Tanısal Görüntüleme Hizmetleri Ve Medikal Tıbbi Laboratuvar Hizmetleri,06410,5,4,TP.TUKFIY2025.0641,01-01-2005,01-07-2026
TP.TUKFIY2025.07,07. Ulaştırma,07,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.071,071. Araç Satın Alımı,071,3,2,TP.TUKFIY2025.07,01-01-2005,01-07-2026
TP.TUKFIY2025.0711,0711. Motorlu Taşıtlar,0711,4,3,TP.TUKFIY2025.071,01-01-2005,01-07-2026
TP.TUKFIY2025.07111,07111. Birinci El Motorlu Taşıtlar,07111,5,4,TP.TUKFIY2025.0711,01-01-2005,01-07-2026
TP.TUKFIY2025.0712,0712. Motosikletler,0712,4,3,TP.TUKFIY2025.071,01-12-2007,01-07-2026
TP.TUKFIY2025.07120,07120. Motosikletler,07120,5,4,TP.TUKFIY2025.0712,01-12-2007,01-07-2026
TP.TUKFIY2025.0713,0713. Bisikletler,0713,4,3,TP.TUKFIY2025.071,01-01-2005,01-07-2026
TP.TUKFIY2025.07130,07130. Bisikletler,07130,5,4,TP.TUKFIY2025.0713,01-01-2005,01-07-2026
TP.TUKFIY2025.072,072. Kişisel Ulaşım Araçlarının Kullanımı,072,3,2,TP.TUKFIY2025.07,01-01-2005,01-07-2026
TP.TUKFIY2025.0721,0721. Kişisel Ulaşım Araçlarının Parça Ve Aksesuarları,0721,4,3,TP.TUKFIY2025.072,01-01-2005,01-07-2026
TP.TUKFIY2025.07211,07211. Lastikler,07211,5,4,TP.TUKFIY2025.0721,01-12-2015,01-07-2026
TP.TUKFIY2025.07212,07212. Kişisel Ulaşım Araçlarının Parçaları,07212,5,4,TP.TUKFIY2025.0721,01-01-2005,01-07-2026
TP.TUKFIY2025.07213,07213. Kişisel Ulaşım Araçlarının Aksesuarları,07213,5,4,TP.TUKFIY2025.0721,01-01-2005,01-07-2026
TP.TUKFIY2025.0722,0722. Kişisel Ulaşım Araçları İçin Yakıtlar Ve Yağlar,0722,4,3,TP.TUKFIY2025.072,01-01-2005,01-07-2026
TP.TUKFIY2025.07221,07221. Motorin Mazot,07221,5,4,TP.TUKFIY2025.0722,01-01-2005,01-07-2026
TP.TUKFIY2025.07222,07222. Benzin,07222,5,4,TP.TUKFIY2025.0722,01-01-2005,01-07-2026
TP.TUKFIY2025.07223,07223. Kişisel Ulaşım Araçları İçin Diğer Yakıtlar,07223,5,4,TP.TUKFIY2025.0722,01-01-2005,01-07-2026
TP.TUKFIY2025.07224,07224. Yağlar,07224,5,4,TP.TUKFIY2025.0722,01-01-2005,01-07-2026
TP.TUKFIY2025.0723,0723. Kişisel Ulaşım Araçlarının Bakım Ve Onarımı,0723,4,3,TP.TUKFIY2025.072,01-01-2005,01-07-2026
TP.TUKFIY2025.07230,07230. Kişisel Ulaşım Araçlarının Bakım Ve Onarımı,07230,5,4,TP.TUKFIY2025.0723,01-01-2005,01-07-2026
TP.TUKFIY2025.0724,0724. Kişisel Ulaşım Araçları İle İlgili Diğer Hizmetler,0724,4,3,TP.TUKFIY2025.072,01-01-2005,01-07-2026
TP.TUKFIY2025.07241,07241. Otopark Hizmetleri,07241,5,4,TP.TUKFIY2025.0724,01-01-2005,01-12-2025
TP.TUKFIY2025.07242,07242. Geçiş Ücretleri,07242,5,4,TP.TUKFIY2025.0724,01-01-2005,01-07-2026
TP.TUKFIY2025.07243,"07243. Sürücü Kursları, Araç Muayene, Emisyon Ölçüm Ücreti Vb. Hizmetler",07243,5,4,TP.TUKFIY2025.0724,01-01-2005,01-07-2026
TP.TUKFIY2025.07244,07244. Kişisel Ulaşım Araçlarının Sürücüsüz Olarak Kiralanması,07244,5,4,TP.TUKFIY2025.0724,01-01-2005,01-07-2026
TP.TUKFIY2025.073,073. Yolcu Taşıma Hizmetleri,073,3,2,TP.TUKFIY2025.07,01-01-2005,01-07-2026
TP.TUKFIY2025.0731,0731. Demir Yolu İle Yolcu Taşımacılığı,0731,4,3,TP.TUKFIY2025.073,01-01-2005,01-07-2026
TP.TUKFIY2025.07311,07311. Tren İle Yolcu Taşımacılığı,07311,5,4,TP.TUKFIY2025.0731,01-01-2005,01-07-2026
TP.TUKFIY2025.07312,07312. Metro Ve Tramvay İle Yolcu Taşımacılığı,07312,5,4,TP.TUKFIY2025.0731,01-01-2005,01-07-2026
TP.TUKFIY2025.0732,0732. Kara Yolu İle Yolcu Taşımacılığı,0732,4,3,TP.TUKFIY2025.073,01-01-2005,01-07-2026
TP.TUKFIY2025.07321,07321. Otobüs İle Yolcu Taşımacılığı,07321,5,4,TP.TUKFIY2025.0732,01-01-2005,01-07-2026
TP.TUKFIY2025.07322,07322. Taksi Ve Sürücüsü İle Birlikte Kiralanmış Taşıtlarla Yolcu Taşımacılığı,07322,5,4,TP.TUKFIY2025.0732,01-01-2005,01-07-2026
TP.TUKFIY2025.07323,07323. Okul Servisleri,07323,5,4,TP.TUKFIY2025.0732,01-01-2005,01-07-2026
TP.TUKFIY2025.0733,0733. Hava Yolu İle Yolcu Taşımacılığı,0733,4,3,TP.TUKFIY2025.073,01-01-2005,01-07-2026
TP.TUKFIY2025.07331,07331. Hava Yolu İle Yurt İçi Yolcu Taşımacılığı,07331,5,4,TP.TUKFIY2025.0733,01-01-2005,01-07-2026
TP.TUKFIY2025.07332,07332. Hava Yolu İle Yurt Dışı Yolcu Taşımacılığı,07332,5,4,TP.TUKFIY2025.0733,01-12-2015,01-07-2026
TP.TUKFIY2025.0734,0734. Deniz Ve İç Sularda Yolcu Taşımacılığı,0734,4,3,TP.TUKFIY2025.073,01-01-2005,01-07-2026
TP.TUKFIY2025.07340,07340. Deniz Ve İç Sularda Yolcu Taşımacılığı,07340,5,4,TP.TUKFIY2025.0734,01-01-2005,01-07-2026
TP.TUKFIY2025.074,074. Posta Ve Mal Taşımacılığı Hizmetleri,074,3,2,TP.TUKFIY2025.07,01-01-2005,01-07-2026
TP.TUKFIY2025.0741,0741. Posta Ve Kurye Hizmetleri,0741,4,3,TP.TUKFIY2025.074,01-01-2005,01-07-2026
TP.TUKFIY2025.07412,07412. Kurye Ve Paket/Koli Dağıtım Hizmetleri,07412,5,4,TP.TUKFIY2025.0741,01-01-2005,01-07-2026
TP.TUKFIY2025.0749,0749. Diğer Mal Taşımacılığı,0749,4,3,TP.TUKFIY2025.074,01-01-2005,01-07-2026
TP.TUKFIY2025.07491,07491. Nakliye Ve Depolama Hizmetleri,07491,5,4,TP.TUKFIY2025.0749,01-01-2005,01-07-2026
TP.TUKFIY2025.07492,"07492. Malların Dağıtım Ücretleri Kurye, Paket Servis Vb.",07492,5,4,TP.TUKFIY2025.0749,01-12-2025,01-07-2026
TP.TUKFIY2025.08,08. Bilgi Ve İletişim,08,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.081,081. Bilgi Ve İletişim Ekipmanları,081,3,2,TP.TUKFIY2025.08,01-01-2005,01-07-2026
