tarih,seri,aylik_ham,aylik_sa,saar3_ham,saar3_sa,saar6_ham,saar6_sa,yillik,ecb3,saar3_aritmetik,saar3_basit,saar6_aritmetik,saar6_basit
2005-01-01,tufe,,,,,,,,,,,,
2005-02-01,tufe,0.024014024744323237,0.47435556824284575,,,,,,,,,,
2005-03-01,tufe,0.2592962621461137,0.43149826496609034,,,,,,,,,,
2005-04-01,tufe,0.7142233544116472,0.4273652641755499,4.058834216655227,5.465146478910432,,,,,5.465174783406401,5.332876389537944,,
2005-05-01,tufe,0.916717144648227,0.3799179866758928,7.823716511269807,5.0691911158398995,,,,,5.069225360845642,4.955126063270132,,
2005-06-01,tufe,0.10283666119770274,0.7616836600037757,7.152233366404359,6.457750420821817,,,,5.664272172047791,6.459573538204211,6.275867643420874,,
2005-07-01,tufe,-0.5735810520944962,0.35408748022309755,1.775954906723065,6.147378678237847,2.9110646086244474,5.805712703297505,,5.891729016635017,6.14956666537374,5.9827565076110645,5.806863481006941,5.657816448574504
2005-08-01,tufe,0.8524196550176111,1.3421938873514616,1.5168229335064565,10.276540875545749,4.622756306203191,7.64138121023179,,7.620013303333706,10.287236226840824,9.83186011031334,7.649252772354953,7.393493086791736
2005-09-01,tufe,1.0245024533054536,0.7181127296737477,5.307514043102746,10.085923344600435,6.225869353855851,8.256638375044666,,8.83063350739539,10.096736551252516,9.657576388993228,8.264154740387376,7.966722016207051
2005-10-01,tufe,1.7915998211182727,0.7440552461956296,15.69109463354339,11.807062763487819,8.510698230787096,8.940472874214468,,10.723573439826994,11.812527675527251,11.217447452883356,8.947323671732764,8.60010198024721
2005-11-01,tufe,1.403071748756557,0.5691481136378407,18.2385473111593,8.434409007708155,9.559124089698612,9.351595952021574,,10.095212894790384,8.434790385252612,8.125264358028872,9.357417817294067,8.978562234171106
2005-12-01,tufe,0.41755371423617405,0.921449628228932,15.42257356080512,9.31272477497933,10.24910106729009,9.698642836489913,,9.834556685133911,9.314061557308984,8.938611952249609,9.704759234325099,9.298094170621418
2006-01-01,tufe,0.7501019347062154,0.5606256448822178,10.7707178276647,8.51877247067554,13.204176596209916,10.150647772246346,7.93499122925192,8.754939489650294,8.520586507540994,8.204893546995962,10.155285101275657,9.711170499939659
2006-02-01,tufe,0.2184995600345463,0.6225866654574252,5.684698124861276,8.749607071831589,11.785532066104153,8.591893678370589,8.144858777064744,8.85866230508916,8.751202857929808,8.4186477542743,8.592890981915446,8.271956056151586
2006-03-01,tufe,0.2745478609044394,0.3854077819049673,5.083955506463322,6.457466429595327,10.132014348713025,7.875649374916627,8.16130993975326,7.899294121286049,6.458104344810223,6.274480368978441,7.877419740246427,7.606546160614025
2006-04-01,tufe,1.3367691222648803,1.036427319565214,7.553030023557961,8.486621261936955,9.15001759161509,8.502695675436932,8.82988845335111,7.892746328247613,8.491266009295684,8.177687067710426,8.505925350575616,8.191290307353194
2006-05-01,tufe,1.8753975431804903,1.4169503384987792,14.844005306473495,11.95318716515661,10.169206370313045,10.339771228011907,9.863741751265431,8.958941874982385,11.965156704172308,11.355141759875842,10.347454226616094,9.886894757075071
2006-06-01,tufe,0.3354132814232802,1.0747390114080435,15.123094893793398,15.060067979743286,9.989045734499125,10.675215492631729,10.118996633085885,11.82016104737491,15.062040050585601,14.112466677888147,10.683459595388612,10.193473523433294
2006-07-01,tufe,0.8473917891460792,1.7462382504307872,12.915334032576364,18.32762513840571,10.201571274305167,13.300327683615553,11.692784617970098,15.1066541221208,18.332814058262635,16.95171040135044,13.314136492388172,12.564698734530433
2006-08-01,tufe,-0.43940807573901175,0.03930783944194882,2.9972282626280045,12.028023387241248,8.759432828354319,11.990599025160842,10.262101675622448,15.102503446373738,12.060579875313016,11.441140405123118,12.01285897520641,11.39814108249948
2006-09-01,tufe,1.2853273060316361,1.003307263273201,6.953427210764507,11.711668244067418,10.963099947691024,13.373507232919835,10.546776143028168,13.96406081182242,11.743827581953159,11.155413412583748,13.391808065602895,12.633940045235947
