tarih,medyan,medyan_ham,difuzyon_0,difuzyon_hedef,difuzyon_mansete_gore,kesit_n,kirpma_05,kirpma_08,kirpma_10,medyan_saar3,kirpma_05_saar3,kirpma_08_saar3,kirpma_10_saar3
2007-01-01,0.9829250156724312,1.0583095202421955,70.25681845102167,65.34971771650268,59.312733347684144,44,1.00907518526739,1.1166572248274715,1.236127992952326,,,,
2007-02-01,0.44407781994437734,1.0042281989570911,68.74430595993266,47.22752452610528,28.25611473361897,44,0.5480886318480003,0.42442394159676583,0.4177895171129939,,,,
2007-03-01,0.6420700035590476,0.6210142364555526,91.09868229874137,76.53050532471582,22.78887315511289,44,0.8835587110893046,0.8751342323385324,0.7409671411508547,8.59756667210354,10.21181292741089,10.104693553262688,10.011535670987225
2007-04-01,1.0993627510101245,0.584660939334114,84.82883115440364,69.72309585325482,52.167729414918476,44,0.9835803496132044,1.0132040041313253,1.0132040041313253,9.100962682491232,10.100378342736938,9.653555913569,9.042272485336378
2007-05-01,0.2437064549252188,-0.01280103123523224,59.811723018822114,45.082670926382924,51.493068028999176,44,0.25789868278832123,0.32375695870207505,0.24875783327657974,8.236017407756147,8.839253752326615,9.216195666486126,8.312555653782638
2007-06-01,0.9050905950025223,-0.00042051998566661197,73.89101884662469,67.39987539646373,54.91545106218019,44,0.6682196516476054,0.6715473394246323,0.6715473394246323,9.372698680140301,7.911994618724627,8.336570210915495,8.014166331826832
2007-07-01,0.29173305462653065,-0.05999259804407853,72.63214663282128,19.209991480560394,64.99169493670598,44,0.17404655766440189,0.14784492762397328,0.18554464106760202,5.91675862757679,4.4905135180258515,4.669655896820513,4.51418997426114
2007-08-01,0.8787811596894013,0.47215136318752293,64.24905646761377,54.419288251310626,51.54393844778738,44,0.8069681434804444,0.8691728454524202,0.8691728454524202,8.625749912233704,6.800102936334951,6.96732535123834,7.1278383068505535
2007-09-01,0.8914210066262029,0.8128314419620253,92.19449592666254,69.4931793442719,59.54822534020738,44,0.9193595593532672,0.9550153749179028,0.9962547857826854,8.566777929501356,7.872007314831975,8.179661945428407,8.519503871473555
2007-10-01,0.7185581008827047,0.9958074768398051,70.83713921985961,54.11483050381555,51.71403339818025,44,0.5835931235403502,0.6892889840675894,0.6892889840675894,10.422060558778323,9.641189321727929,10.530382814195738,10.711331858513162
2007-11-01,0.46355090387999454,0.5614585554839957,60.33053189635255,50.74336388073942,28.08944081963714,44,0.8584746994797583,0.8656359394526733,0.5327715060996081,8.616797134968856,9.865563100158536,10.514876314195853,9.243173162464258
2007-12-01,0.6143781807646409,0.34585155708311,86.3699386016715,71.38530992774781,69.6827492529614,44,0.5474474493982139,0.5854042687968615,0.621209146073744,7.42741076361475,8.254840269402575,8.905376306058033,7.627413272635786
2008-01-01,0.09224885720864329,1.3435927210296184,70.64231390195012,38.28610905551116,38.28610905551116,44,0.2151420720830341,0.3389812175104017,0.2983761142298644,4.782445448416106,6.680479433477604,7.399795412789856,5.9666356109746355
2008-02-01,0.8499146158542414,0.8009407242249855,89.04876137025668,80.376905762197,36.18225815184017,44,1.558978916341209,1.676088530496713,1.697726936866601,6.406949243583937,9.69189206897103,10.91242257720375,10.986505807269896
2008-03-01,1.029623628098375,1.0122644075348353,93.55584036835508,81.84953947217615,27.409927732757865,44,1.1037980612760232,1.0530124116907256,1.063327459159031,8.178604212618069,12.138901273556367,12.986707212431824,12.94800826750011
