Dönem,CPI_REER,PPI_REER,Composite_REER,MA_10Y,MA_5Y,Deviation_10Y_Pct,Deviation_5Y_Pct,PPI_MA_10Y,PPI_Deviation_10Y_Pct,CPI_MA_10Y,CPI_Deviation_10Y_Pct
2002-01-01,137.32,105.35,127.72899999999998,,117.53246666666665,,8.675503562987137,,,,
2002-02-01,142.14,109.29,132.285,,118.05563333333333,,12.053102647367666,,,,
2002-03-01,143.01,109.71,133.01999999999998,,118.58858333333333,,12.169313656528193,,,,
2002-04-01,148.67,113.82,138.21499999999997,,119.18903333333333,,15.962850049682967,,,,
2002-05-01,138.17,105.56,128.38699999999997,,119.63463333333333,,7.315913814254997,,,,
2002-06-01,123.74,94.18,114.872,,119.88936666666665,,-4.184997223829398,,,,
2002-07-01,112.83,85.54,104.643,,119.94896666666665,,-12.760398936325407,,,,
2002-08-01,117.36,89.02,108.858,,120.05723333333334,,-9.32824538962945,,,,
2002-09-01,120.24,91.09,111.49499999999999,,120.18541666666667,,-7.230841234897476,,,,
2002-10-01,123.79,93.65,114.748,,120.32618333333332,,-4.635884874599874,,,,
2002-11-01,129.15,97.75,119.73,,120.53843333333333,,-0.6706851175821318,,,,
2002-12-01,130.97,98.8,121.31899999999999,,120.75871666666666,,0.4639692676429272,,,,
2003-01-01,124.69,93.67,115.38399999999999,,120.82073333333332,,-4.4998347413882085,,,,
2003-02-01,127.77,97.19,118.59599999999999,,120.96616666666665,,-1.9593632930419909,,,,
2003-03-01,127.54,98.13,118.717,,121.13361666666667,,-1.9950008372297448,,,,
2003-04-01,130.79,102.12,122.18899999999998,,121.35758333333334,,0.6850965912719155,,,,
2003-05-01,138.33,106.53,128.79,,121.69841666666666,,5.827177976158276,,,,
2003-06-01,143.73,108.52,133.16699999999997,,122.11708333333331,,9.04862478290984,,,,
2003-07-01,147.81,111.3,136.857,,122.58564999999999,,11.64194177703509,,,,
2003-08-01,149.64,112.29,138.435,,123.04209999999999,,12.510270874765638,,,,
2003-09-01,153.51,113.85,141.612,,123.44456666666666,,14.717078137906437,,,,
2003-10-01,144.63,106.69,133.248,,123.65281666666665,,7.759777409033281,,,,
2003-11-01,141.13,104.37,130.102,,123.80903333333332,,5.082800904942062,,,,
2003-12-01,140.92,103.99,129.84099999999998,113.37325,123.97041666666665,14.52525176794348,4.735471164155424,91.14766666666667,14.08959088365765,122.8985,14.663726571113553
2004-01-01,147.4,110.53,136.339,113.45275833333332,124.22253333333333,20.17248589005219,9.753839614712952,91.213,21.177902272702365,122.98408333333333,19.852907794978897
2004-02-01,149.61,113.09,138.654,113.70988333333334,124.52678333333333,21.936630251870508,11.344721423383218,91.41733333333333,23.707393200414224,123.26383333333334,21.373801182558285
2004-03-01,154.55,117.96,143.573,114.10115833333333,124.90369999999999,25.829572720522346,14.946955134235434,91.73225,28.59163489394406,123.68783333333333,24.951659217357687
2004-04-01,152.71,118.73,142.51600000000002,114.59474999999999,125.24195,24.365208702841997,13.792543153472153,92.19066666666667,28.787440521817096,124.1965,22.95837644378063
2004-05-01,138.06,106.43,128.571,114.95510833333333,125.36096666666666,11.844529455085114,2.560632243582473,92.54525,15.003201136741229,124.55933333333333,10.838743517145785
2004-06-01,137.36,104.74,127.574,115.255625,125.46553333333333,10.687873151527315,1.6805146486445457,92.85591666666667,12.79841259442271,124.85549999999999,10.015177545242318
2004-07-01,140.5,104.74,129.772,115.55435833333333,125.59519999999999,12.3038558404295,3.325604800183447,93.15383333333334,12.437670305211975,125.15458333333335,12.261170352663859
2004-08-01,140.08,104.08,129.28,115.84846666666665,125.70536666666666,11.594053611413084,2.8436600823990315,93.45033333333335,11.374669610595271,125.44766666666666,11.664093659241717
2004-09-01,138.0,103.11,127.53299999999999,116.14330833333332,125.74353333333332,9.80658449471583,1.4231083056358653,93.74616666666665,9.988497307445474,125.74208333333333,9.748459975942826
2004-10-01,139.77,104.65,129.234,116.41092499999999,125.77348333333333,11.015353584725847,2.7513881105569635,94.02825000000001,11.296339132122517,126.0035,10.925490164955741
2004-11-01,140.7,104.48,129.83399999999997,116.65394166666665,125.8214,11.298425192519202,3.1891236307972872,94.28666666666666,10.811001909071635,126.23991666666666,11.454446196692935
2004-12-01,142.35,105.64,131.337,116.91080833333334,125.87658333333333,12.339485007694957,4.337912995467116,94.53408333333333,11.74805559546866,126.50083333333333,12.528902971653674
2005-01-01,148.99,108.59,136.87,117.23727499999998,126.00036666666665,16.74614579705987,8.62666801763277,94.81808333333333,14.524567658946916,126.84549999999999,17.457852269099043
2005-02-01,153.95,112.1,141.39499999999998,117.59625,126.15756666666667,20.2376776470338,12.078097046365547,95.12275,17.847728329973638,127.22775,21.003476049839747
2005-03-01,152.76,112.9,140.802,117.95296666666665,126.28729999999999,19.371308733509323,11.493396406447843,95.43641666666666,18.298657832396277,127.60291666666667,19.71513190333292
2005-04-01,149.86,112.18,138.556,118.26748333333333,126.36519999999999,17.154771620094518,9.647276307084566,95.72666666666667,17.18782645030991,127.92783333333334,17.14417112773218
2005-05-01,151.33,112.36,139.639,118.58209166666666,126.42853333333332,17.7572414496821,10.448959833961553,96.01100000000001,17.02825717886491,128.25541666666666,17.991117983970803
2005-06-01,156.87,116.68,144.813,118.93249166666666,126.63233333333332,21.76067109219312,14.357049410761341,96.32966666666668,21.125717587866653,128.61941666666667,21.964477887929057
2005-07-01,159.65,118.96,147.44299999999998,119.31682500000001,126.87021666666666,23.572681388395957,16.215612989284445,96.67841666666666,23.047112376857637,129.01899999999998,23.74146443547077
2005-08-01,157.3,117.86,145.468,119.68787499999999,127.04749999999999,21.53946253954296,14.498907888781758,97.01808333333334,21.48250712710774,129.4035,21.55776312078112
2005-09-01,158.6,118.95,146.70499999999998,120.0277,127.19606666666667,22.225952842552168,15.337686018592805,97.32891666666666,22.21444979952003,129.75574999999998,22.229650709120808
2005-10-01,161.6,119.43,148.94899999999998,120.38973333333334,127.33621666666666,23.722343987250277,16.97300571597004,97.64591666666666,22.309261950704553,130.13708333333332,24.176749517335892
2005-11-01,165.88,118.31,151.60899999999998,120.77811666666666,127.46063333333332,25.52687869643051,18.945745078415058,97.9545,20.780566487501858,130.55966666666666,27.053020458079196
2005-12-01,166.27,117.6,151.66899999999998,121.20235833333332,127.57088333333333,25.13700400356621,18.889981817951398,98.28091666666666,19.657003606159563,131.0258333333333,26.898639581253093
2006-01-01,166.68,118.59,152.253,121.61194999999998,127.66766666666666,25.19575584471757,19.257290412868823,98.59583333333333,20.27891645184466,131.476,26.775989534211575
2006-02-01,168.35,119.65,153.73999999999998,122.047325,128.01278333333332,25.967529398944205,20.097380899589844,98.92824999999999,20.946241341578382,131.9555,27.580889011825953
2006-03-01,166.95,118.6,152.445,122.48130833333333,128.67406666666665,24.463889285963837,18.473756172572468,99.25816666666667,19.4863898688437,132.43408333333335,26.062714218205386
2006-04-01,166.04,118.31,151.72099999999998,122.907975,129.53573333333333,23.442762766207796,17.126754213509155,99.58216666666665,18.80641279479427,132.90475,24.931576937618846
2006-05-01,154.05,110.34,140.937,123.24312499999999,130.0111,14.356886033196595,8.403820904522778,99.83716666666666,10.519963340305807,133.27425,15.588720251661531
2006-06-01,138.02,102.4,127.334,123.48174999999999,130.30903333333333,3.1196917763151335,-2.2830599362387476,100.03933333333335,2.3597385028555364,133.5285,3.3637013821019495
2006-07-01,142.28,105.47,131.237,123.77552499999999,130.78753333333333,6.028231348645063,0.3436617047598314,100.28416666666666,5.171138680915068,133.84325,6.303455721524983
2006-08-01,148.63,109.62,136.927,124.11254166666666,131.45435,10.324869800627859,4.1631562591880655,100.55958333333334,9.009998218303412,134.20666666666665,10.747106452734599
2006-09-01,149.74,109.2,137.578,124.44058333333334,132.13353333333333,10.557180233940294,4.120427668373865,100.8185,8.313454375932992,134.56433333333334,11.277629287602215
2006-10-01,151.7,110.1,139.21999999999997,124.77608333333333,132.87431666666666,11.575869574364187,4.775703456110577,101.07991666666666,8.923714651525732,134.93158333333332,12.427347439659236
2006-11-01,153.53,109.63,140.35999999999999,125.123875,133.4595,12.176832758736083,5.170482430999662,101.33874999999999,8.181717260179354,135.3175,13.459086962144589
2006-12-01,152.9,108.52,139.586,125.47238333333333,133.8952,11.248384936764987,4.250189700601683,101.59200000000001,6.81943460114968,135.70683333333332,12.669344825426393
2007-01-01,156.27,110.14,142.43099999999998,125.83635,134.14023333333333,13.187485174196475,6.18067112352818,101.84991666666666,8.139509196129282,136.11625,14.806277722167632
2007-02-01,159.19,112.86,145.291,126.20631666666667,134.357,15.121813105234166,8.138020348772299,102.11325000000001,10.524344294202752,136.53191666666666,16.5954480728865
2007-03-01,157.4,111.56,143.648,126.56135833333332,134.53413333333333,13.50067816249603,6.774389845055431,102.36416666666666,8.98344961208757,136.93158333333335,14.947914986742154
2007-04-01,161.91,114.03,147.546,126.93934166666665,134.68965,16.23346872827252,9.545165497126165,102.627,11.111111111111118,137.35891666666666,17.87367280488405
2007-05-01,164.63,115.41,149.86399999999998,127.34111666666666,135.0476,17.68704713991957,10.971242732192197,102.90575,12.151167451770187,137.81341666666668,19.458615845941445
2007-06-01,166.41,117.09,151.614,127.77466666666666,135.65996666666666,18.657323830493272,11.760310521477848,103.21108333333333,13.447118486144497,138.30191666666667,20.323712071958504
2007-07-01,166.75,118.29,152.212,128.200875,136.45278333333331,18.72929884448916,11.54920865789107,103.51508333333332,14.273201731470714,138.7805,20.153768000547636
2007-08-01,162.69,116.63,148.87199999999999,128.5884583333333,137.1196833333333,15.7739986384211,8.570845834071239,103.79591666666667,12.364728541826059,139.21383333333333,16.86338642112913
2007-09-01,167.63,119.86,153.29899999999998,129.00091666666665,137.81641666666664,18.835589669582443,11.234208309726048,104.09375,15.146202341639148,139.67541666666665,20.013960939201315
2007-10-01,175.66,122.51,159.71499999999997,129.446025,138.56586666666666,23.38347199151151,15.26287378132564,104.39658333333333,17.350583791455517,140.1815,25.3089744367124
2007-11-01,175.61,119.98,158.921,129.87874166666668,139.21905,22.361056136400027,14.151762995078604,104.67308333333334,14.623546167949893,140.68116666666668,24.828364848647112
2007-12-01,177.79,120.98,160.74699999999999,130.31744999999998,139.8761833333333,23.350326452827318,14.920922325232652,104.94875,15.275312950368633,141.18975,25.92273872572194
2008-01-01,177.34,119.81,160.081,130.72093333333333,140.6211333333333,22.460110953920147,13.838507915121367,105.18808333333332,13.900734953341527,141.66358333333335,25.18390106137603
2008-02-01,175.16,119.6,158.492,131.12611666666666,141.28606666666664,20.86989535646789,12.178082198244615,105.43716666666666,13.432486646865518,142.13566666666668,23.234374670209434
