Dönem,CPI_REER,PPI_REER,Composite_REER,MA_10Y,MA_5Y,Deviation_10Y,Deviation_5Y,PPI_MA_10Y,CPI_MA_10Y,PPI_Deviation_10Y,CPI_Deviation_10Y,PPI_MA_5Y,CPI_MA_5Y,PPI_Deviation_5Y,CPI_Deviation_5Y,USDTRY,High,Low,USDTRY_Change_1M,USDTRY_Change_3M,USDTRY_Change_6M,USDTRY_Change_12M,USDTRY_Forward_1M,USDTRY_Forward_3M,USDTRY_Forward_6M,USDTRY_Forward_12M
2005-01-01,148.9835758374839,108.58178116887285,136.86303743690058,118.75124024670187,127.19797589468934,15.251880445688013,7.598439734774723,94.8145086748666,129.00983949177413,14.520217091686172,15.482335629898467,102.36233064639481,137.84182385824414,6.075917266834027,8.082998082423721,1.3515000002724784,1.4057999849319458,1.3109999895095825,,,,,-3.0632625384344525,0.5478910441668594,-1.387171653203234,-1.4630209795222004
2005-02-01,153.94157115327712,112.09706117667902,141.3882181602977,119.09612637884977,127.31806651610522,18.717730340393977,11.05118230994551,95.11913992830884,129.3719777147959,17.849111399836474,18.991433749776622,102.44890780272833,137.97627739326674,9.417526824716184,11.5710425456003,1.31010000705719,1.340499997138977,1.2710000276565552,-3.0632625384344525,,,,0.0886088238914784,4.026227795815696,2.4631367360504086,1.0274019033849946
2005-03-01,152.74610633646785,112.89146205750554,140.78971305277915,119.43879309460753,127.4102936536073,17.876034582214455,10.501050594504338,95.43279696746205,129.72707714909845,18.294198268123736,17.744197813778747,102.53874461464702,138.06952895601884,10.096395739742361,10.629845333306044,1.3112608712652456,1.3910000324249268,1.2430000305175781,0.0886088238914784,,,,3.6334399595611355,3.1477712539458524,2.177191048783511,1.7222056430876709
2005-04-01,149.8557797651139,112.17215666878727,138.55069283621592,119.73889512624895,127.450495374801,15.710682556517993,8.709418844369285,95.7229672391125,130.03143564930744,17.18416165326894,15.245808843695603,102.60577786362212,138.09823145102052,9.323430906474137,8.513902162652567,1.3589047477358864,1.3954999446868896,1.31850004196167,3.6334399595611355,0.5478910441668594,,,0.2901505764103529,-1.9245184332310816,-0.27157595008263646,-2.164959879976791
2005-05-01,151.32464746654165,112.35447705571922,139.63359634329493,120.0389158503089,127.47563310769546,16.32360668553606,9.537480174997864,96.00727199842841,130.3381917868291,17.027048802676532,16.101539688410245,102.65165369817002,138.1144814260635,9.452184166539311,9.564649487932172,1.3628476176943098,1.3865000009536743,1.3380000591278076,0.2901505764103529,4.026227795815696,,,-0.7565962272863436,-1.50259323334625,-0.48477175824177543,5.092613468006846
2005-06-01,156.85768726002544,116.67885314787499,144.80403702638029,120.37453436135797,127.64197956623435,20.294577083626542,13.445464821579655,96.32595985239047,130.68106629377263,21.129188151016834,20.030920858426,102.8188770318649,138.28045208096412,13.479991725366444,13.43446228262562,1.3525363640351729,1.378999948501587,1.3265000581741333,-0.7565962272863436,3.1477712539458524,,,-1.4627324769658778,-0.9409609081836634,-0.17778072139508216,18.00287626594317
2005-07-01,159.6439672381014,118.95506952355308,147.4372979237369,120.74434632057142,127.84226302167407,22.106999140395992,15.32750941583437,96.67468357445361,131.05991606890765,23.046763770310477,21.80991108995144,103.01832371459416,138.48109415327974,15.4698166639856,15.282138846619187,1.332752375375657,1.364300012588501,1.3157999515533447,-1.4627324769658778,-1.9245184332310816,-1.387171653203234,,0.721603383497782,1.6853778913368256,-0.0769162872524265,15.704343207787485
2005-08-01,157.29433525622056,117.85959598207754,145.46391347397764,121.10094365302334,127.98155743220399,20.11790254150185,13.660058833894587,97.01436153738153,131.42376455972698,21.48675115144053,19.684849831505492,103.17565258941957,138.61265950768302,14.23198499271113,13.477611507412176,1.3423695616100146,1.3799999952316284,1.2984999418258667,0.721603383497782,-1.50259323334625,2.4631367360504086,,-0.19071022634861157,1.033348499738418,-1.4012208472242493,9.016826280548473
2005-09-01,158.59267637343294,118.94007653457528,146.69689642177565,121.42561897831007,128.09118174516274,20.812146280250563,14.525367338423775,97.32517117213146,131.7543823238152,22.20895694518247,20.369944115905575,103.3145499577577,138.7097382254792,15.124226532667857,14.334204939261777,1.3398095255806333,1.3559999465942383,1.3200000524520874,-0.19071022634861157,-0.9409609081836634,2.177191048783511,,1.1497726640804062,0.7704296284170464,-0.4452905790673256,10.15425116845632
2005-10-01,161.58620328284115,119.42469694771971,148.9377513823047,121.77250522292293,128.1915646543567,22.308193552930266,16.18373781760601,97.64211787426825,132.11409980091778,22.308589313374416,22.30806819736483,103.42828478150368,138.80439888557945,15.466187223358757,16.412883583063834,1.3552142892565047,1.3760000467300415,1.3235000371932983,1.1497726640804062,1.6853778913368256,-0.27157595008263646,,0.07575392965457617,-1.7330851447220574,-1.8985399076861587,8.36863850086198
