İhale Tarihi,Senet Tanımı,Vade Terimi,İtfa Tarihi,Yöntem,Aylık Strateji Hedefi (Milyar TL),Gerçekleşme Oranı Varsayımı (%),Tahmini Gerçekleşme (Milyon TL),Tahmini Bid-to-Cover,Tahmini Teklif (Milyon TL),Geçmiş Ort. Gerçekleşme (Milyon TL),Kıyas Bazı,Kıyas İhale Sayısı,Son İhale Tarihi
14.09.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /728 Gün,13.09.2028,İhale / İlk ihraç,,85.0,46223.0,1.74,80428.0,46223.0,Aynı tip + benzer vade,79,10.08.2026
14.09.2026,TLREF'e Endeksli Devlet Tahvili,4Yıl /1456 Gün,11.09.2030,İhale / İlk ihraç,,85.0,124900.0,2.23,278527.0,124900.0,Aynı tip + benzer vade,55,17.08.2026
15.09.2026,Kira Sertifikası,2Yıl /728 Gün,13.09.2028,Doğrudan Satış,,85.0,,,,,Doğrudan satış — ihale tahmini yok,0,
15.09.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1673 Gün,16.04.2031,İhale / Yeniden ihraç,,85.0,28074.0,1.51,42392.0,28074.0,Aynı tahvil (itfa + tür eşleşmesi),5,11.08.2026
15.09.2026,Sabit Kuponlu Devlet Tahvili,8Yıl /2933 Gün,27.09.2034,İhale / Yeniden ihraç,,85.0,11189.0,2.54,28420.0,11189.0,Aynı tahvil (itfa + tür eşleşmesi),6,08.07.2025
05.10.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /707 Gün,13.09.2028,İhale / Yeniden ihraç,,85.0,46223.0,1.74,80428.0,46223.0,Aynı tip + benzer vade,79,10.08.2026
06.10.2026,Altın Tahvili,2Yıl /728 Gün,04.10.2028,Doğrudan Satış,,85.0,,,,,Doğrudan satış — ihale tahmini yok,0,
06.10.2026,Altına Dayalı Kira Sertifikası,2Yıl /728 Gün,04.10.2028,Doğrudan Satış,,85.0,,,,,Doğrudan satış — ihale tahmini yok,0,
12.10.2026,TLREF'e Endeksli Devlet Tahvili,4Yıl /1428 Gün,11.09.2030,İhale / Yeniden ihraç,,85.0,124900.0,2.23,278527.0,124900.0,Aynı tip + benzer vade,55,17.08.2026
12.10.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1645 Gün,16.04.2031,İhale / Yeniden ihraç,,85.0,28074.0,1.51,42392.0,28074.0,Aynı tahvil (itfa + tür eşleşmesi),5,11.08.2026
13.10.2026,Kira Sertifikası,5Yıl /1820 Gün,08.10.2031,Doğrudan Satış,,85.0,,,,,Doğrudan satış — ihale tahmini yok,0,
13.10.2026,Sabit Kuponlu Devlet Tahvili,8Yıl /2905 Gün,27.09.2034,İhale / Yeniden ihraç,,85.0,11189.0,2.54,28420.0,11189.0,Aynı tahvil (itfa + tür eşleşmesi),6,08.07.2025
09.11.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /672 Gün,13.09.2028,İhale / Yeniden ihraç,,85.0,46223.0,1.74,80428.0,46223.0,Aynı tip + benzer vade,79,10.08.2026
09.11.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1820 Gün,05.11.2031,İhale / İlk ihraç,,85.0,28074.0,1.51,42392.0,28074.0,Aynı tip + benzer vade,69,11.08.2026
10.11.2026,TLREFK'ye Endeksli Kira Sertifikası,2Yıl /728 Gün,08.11.2028,Doğrudan Satış,,85.0,,,,,Doğrudan satış — ihale tahmini yok,0,
10.11.2026,Sabit Kuponlu Devlet Tahvili,8Yıl /2877 Gün,27.09.2034,İhale / Yeniden ihraç,,85.0,11189.0,2.54,28420.0,11189.0,Aynı tahvil (itfa + tür eşleşmesi),6,08.07.2025
