İhale Tarihi,Senet Tanımı,Vade Terimi,İtfa Tarihi,Yöntem,Aylık Strateji Hedefi (Milyar TL),Gerçekleşme Oranı Varsayımı (%),Tahmini Gerçekleşme (Milyon TL),Tahmini Bid-to-Cover,Tahmini Teklif (Milyon TL),Geçmiş Ort. Gerçekleşme (Milyon TL),Kıyas Bazı,Kıyas İhale Sayısı,Son İhale Tarihi
05.10.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /707 Gün,13.09.2028,İhale / Yeniden ihraç,229.1,92.0,59853.0,1.65,98757.0,59714.0,Aynı tahvil (itfa + tür eşleşmesi),1,14.09.2026
06.10.2026,Altın Tahvili,2Yıl /728 Gün,04.10.2028,Doğrudan Satış,229.1,92.0,,,,,Doğrudan satış — ihale tahmini yok,0,
06.10.2026,Altına Dayalı Kira Sertifikası,2Yıl /728 Gün,04.10.2028,Doğrudan Satış,229.1,92.0,,,,,Doğrudan satış — ihale tahmini yok,0,
12.10.2026,TLREF'e Endeksli Devlet Tahvili,4Yıl /1428 Gün,11.09.2030,İhale / Yeniden ihraç,229.1,92.0,84448.0,2.71,228854.0,84251.0,Aynı tahvil (itfa + tür eşleşmesi),1,14.09.2026
12.10.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1645 Gün,16.04.2031,İhale / Yeniden ihraç,229.1,92.0,40217.0,1.54,61934.0,40123.0,Aynı tahvil (itfa + tür eşleşmesi),6,15.09.2026
13.10.2026,Kira Sertifikası,5Yıl /1820 Gün,08.10.2031,Doğrudan Satış,229.1,92.0,,,,,Doğrudan satış — ihale tahmini yok,0,
13.10.2026,Sabit Kuponlu Devlet Tahvili,8Yıl /2905 Gün,27.09.2034,İhale / Yeniden ihraç,229.1,92.0,26254.0,2.34,61434.0,26193.0,Aynı tahvil (itfa + tür eşleşmesi),7,15.09.2026
09.11.2026,Sabit Kuponlu Devlet Tahvili,2Yıl /672 Gün,13.09.2028,İhale / Yeniden ihraç,85.4,92.0,37226.0,1.65,61423.0,59714.0,Aynı tahvil (itfa + tür eşleşmesi),1,14.09.2026
09.11.2026,Sabit Kuponlu Devlet Tahvili,5Yıl /1820 Gün,05.11.2031,İhale / İlk ihraç,85.4,92.0,25013.0,1.54,38520.0,40123.0,Aynı tip + benzer vade,70,15.09.2026
10.11.2026,TLREFK'ye Endeksli Kira Sertifikası,2Yıl /728 Gün,08.11.2028,Doğrudan Satış,85.4,92.0,,,,,Doğrudan satış — ihale tahmini yok,0,
10.11.2026,Sabit Kuponlu Devlet Tahvili,8Yıl /2877 Gün,27.09.2034,İhale / Yeniden ihraç,85.4,92.0,16329.0,2.34,38210.0,26193.0,Aynı tahvil (itfa + tür eşleşmesi),7,15.09.2026
