Tarih,TP.TUKFIY2025.101
2005-01-01,3.38203123
2005-02-01,3.36920485
2005-03-01,3.37106271
2005-04-01,3.36835454
2005-05-01,3.36845307
2005-06-01,3.55105142
2005-07-01,3.59793093
2005-08-01,3.61857138
2005-09-01,3.64502116
2005-10-01,3.65557289
2005-11-01,3.65549589
2005-12-01,3.65458933
2006-01-01,3.65566206
2006-02-01,3.65067645
2006-03-01,3.65004027
2006-04-01,3.65053392
2006-05-01,3.67341505
2006-06-01,3.82442797
2006-07-01,3.85329788
2006-08-01,3.86471881
2006-09-01,3.93042863
2006-10-01,3.94396949
2006-11-01,3.94566043
2006-12-01,3.94622093
2007-01-01,3.94682205
2007-02-01,3.947904
2007-03-01,3.94800522
2007-04-01,3.94895716
2007-05-01,4.00690412
2007-06-01,4.13921633
2007-07-01,4.20649723
2007-08-01,4.23645879
2007-09-01,4.33876475
2007-10-01,4.24564674
2007-11-01,4.23047419
2007-12-01,4.22298351
2008-01-01,4.2231704
2008-02-01,4.21451593
2008-03-01,4.20789521
2008-04-01,4.21026101
2008-05-01,4.25437517
2008-06-01,4.43009379
2008-07-01,4.4766675
2008-08-01,4.51454655
2008-09-01,4.80547481
2008-10-01,4.8064568
2008-11-01,4.81075028
2008-12-01,4.8107272
2009-01-01,4.81050029
2009-02-01,4.81116221
2009-03-01,4.81143159
2009-04-01,4.81587004
2009-05-01,4.84668452
2009-06-01,4.97981051
2009-07-01,5.03830452
2009-08-01,5.05567062
2009-09-01,5.21444867
2009-10-01,5.22165948
2009-11-01,5.22488813
2009-12-01,5.22827091
2010-01-01,5.2283937
2010-02-01,5.22857905
2010-03-01,5.22875557
2010-04-01,5.22842625
2010-05-01,5.30416437
2010-06-01,5.42580518
2010-07-01,5.49483638
2010-08-01,5.51480865
2010-09-01,5.53868266
2010-10-01,5.52243954
2010-11-01,5.47915724
2010-12-01,5.47481653
2011-01-01,5.47382201
2011-02-01,5.47371092
2011-03-01,5.47389169
2011-04-01,5.49593486
2011-05-01,5.63034442
2011-06-01,5.78843514
2011-07-01,5.8812674
2011-08-01,5.86352839
2011-09-01,5.82261364
2011-10-01,5.82677712
2011-11-01,5.83983008
2011-12-01,5.82956579
2012-01-01,5.80757177
2012-02-01,5.80750501
2012-03-01,5.80720814
2012-04-01,5.84570936
2012-05-01,6.00546855
2012-06-01,6.13358525
2012-07-01,6.26483067
2012-08-01,6.30904659
2012-09-01,6.41762829
2012-10-01,6.45631715
2012-11-01,6.45841619
2012-12-01,6.45981651
2013-01-01,6.45711013
2013-02-01,6.45954515
2013-03-01,6.42267572
2013-04-01,6.47157928
2013-05-01,6.59332183
2013-06-01,6.77060275
2013-07-01,6.86097776
2013-08-01,6.9175798
2013-09-01,7.12536813
2013-10-01,7.16934459
2013-11-01,7.16909074
2013-12-01,7.16898601
2014-01-01,7.16883284
2014-02-01,7.17441226
2014-03-01,7.16704479
2014-04-01,7.31115174
2014-05-01,7.40926604
2014-06-01,7.56394004
2014-07-01,7.62047762
2014-08-01,7.67222957
2014-09-01,7.7585132
2014-10-01,7.79027264
2014-11-01,7.80088029
2014-12-01,7.80604524
2015-01-01,7.80506846
2015-02-01,7.80257749
2015-03-01,7.83557206
2015-04-01,7.9678693
2015-05-01,8.0395212
2015-06-01,8.15009785
2015-07-01,8.20378932
2015-08-01,8.30730878
2015-09-01,8.45079302
2015-10-01,8.53550187
2015-11-01,8.54789051
2015-12-01,8.55656865
2016-01-01,8.55741155
2016-02-01,8.56953739
2016-03-01,8.62250829
2016-04-01,8.71205005
2016-05-01,8.80344462
2016-06-01,8.89871608
2016-07-01,8.97442429
2016-08-01,9.06695018
2016-09-01,9.64141761
2016-10-01,9.66940338
2016-11-01,9.6698303
2016-12-01,9.6776031
2017-01-01,9.68283452
2017-02-01,9.68620948
2017-03-01,9.78985316
2017-04-01,9.86504806
2017-05-01,9.96782774
2017-06-01,10.04485115
2017-07-01,10.19795668
2017-08-01,10.29767224
2017-09-01,10.83163155
2017-10-01,10.85966868
2017-11-01,10.86124397
2017-12-01,10.86297092
2018-01-01,10.87083696
2018-02-01,10.87299102
2018-03-01,10.9990312
2018-04-01,11.09412518
2018-05-01,11.20050835
2018-06-01,11.2551743
2018-07-01,11.39574198
2018-08-01,11.49267866
2018-09-01,11.94573006
2018-10-01,11.97230893
2018-11-01,11.97242133
2018-12-01,11.97965877
2019-01-01,11.97867239
