Tarih,TP.FE25.OKTG02
2005-01-01,3.324741
2005-02-01,3.342633
2005-03-01,3.364565
2005-04-01,3.385631
2005-05-01,3.40006
2005-06-01,3.42661
2005-07-01,3.443059
2005-08-01,3.497024
2005-09-01,3.520976
2005-10-01,3.540022
2005-11-01,3.541754
2005-12-01,3.57292
2006-01-01,3.616785
2006-02-01,3.635831
2006-03-01,3.655455
2006-04-01,3.685467
2006-05-01,3.719808
2006-06-01,3.757324
2006-07-01,3.817926
2006-08-01,3.848804
2006-09-01,3.878816
2006-10-01,3.905943
2006-11-01,3.91662
2006-12-01,3.931627
2007-01-01,3.963948
2007-02-01,3.993671
2007-03-01,4.03465
2007-04-01,4.055139
2007-05-01,4.067548
2007-06-01,4.075051
2007-07-01,4.08342
2007-08-01,4.105929
2007-09-01,4.141136
2007-10-01,4.169994
2007-11-01,4.240985
2007-12-01,4.253106
2008-01-01,4.319479
2008-02-01,4.361901
2008-03-01,4.414422
2008-04-01,4.479065
2008-05-01,4.547747
2008-06-01,4.593343
2008-07-01,4.659716
2008-08-01,4.688574
2008-09-01,4.707332
2008-10-01,4.753216
2008-11-01,4.77486
2008-12-01,4.763605
2009-01-01,4.791598
2009-02-01,4.794195
2009-03-01,4.80545
2009-04-01,4.782652
2009-05-01,4.780632
2009-06-01,4.80747
2009-07-01,4.867494
2009-08-01,4.916553
2009-09-01,4.945988
2009-10-01,5.023617
2009-11-01,5.046703
2009-12-01,5.064307
2010-01-01,5.194457
2010-02-01,5.244093
2010-03-01,5.279588
2010-04-01,5.284494
2010-05-01,5.270931
2010-06-01,5.253616
2010-07-01,5.274105
2010-08-01,5.287668
2010-09-01,5.317104
2010-10-01,5.34019
2010-11-01,5.356928
2010-12-01,5.389826
2011-01-01,5.42965
2011-02-01,5.464857
2011-03-01,5.502372
2011-04-01,5.529499
2011-05-01,5.558069
2011-06-01,5.564995
2011-07-01,5.596161
2011-08-01,5.658783
2011-09-01,5.731506
2011-10-01,5.860501
2011-11-01,5.899171
2011-12-01,5.917063
2012-01-01,5.980263
2012-02-01,6.011718
2012-03-01,6.051831
2012-04-01,6.105795
2012-05-01,6.089923
2012-06-01,6.093386
2012-07-01,6.099446
2012-08-01,6.147928
2012-09-01,6.212282
2012-10-01,6.299433
2012-11-01,6.304627
2012-12-01,6.317036
2013-01-01,6.406208
2013-02-01,6.452092
2013-03-01,6.474313
2013-04-01,6.482682
2013-05-01,6.500862
2013-06-01,6.538667
2013-07-01,6.586282
2013-08-01,6.627261
2013-09-01,6.692192
2013-10-01,6.725667
2013-11-01,6.749042
2013-12-01,6.795215
2014-01-01,6.948163
2014-02-01,7.029543
2014-03-01,7.082642
2014-04-01,7.109191
2014-05-01,7.117849
2014-06-01,7.159981
2014-07-01,7.224046
2014-08-01,7.259253
2014-09-01,7.288688
2014-10-01,7.349579
2014-11-01,7.345539
2014-12-01,7.340922
2015-01-01,7.42461
2015-02-01,7.49589
2015-03-01,7.562552
2015-04-01,7.62806
2015-05-01,7.676541
2015-06-01,7.69703
2015-07-01,7.755035
2015-08-01,7.801208
2015-09-01,7.872199
2015-10-01,7.931935
2015-11-01,7.937996
2015-12-01,7.955888
2016-01-01,8.097292
2016-02-01,8.144042
2016-03-01,8.170015
2016-04-01,8.211282
2016-05-01,8.25226
2016-06-01,8.285158
2016-07-01,8.36827
2016-08-01,8.419926
2016-09-01,8.466964
2016-10-01,8.506789
2016-11-01,8.556713
2016-12-01,8.708218
2017-01-01,8.879635
2017-02-01,8.985256
2017-03-01,9.051341
2017-04-01,9.125506
