Tarih,TP.TUKFIY2025.096
2005-01-01,2.98575188
2005-02-01,3.03922952
2005-03-01,3.0446328
2005-04-01,3.04476624
2005-05-01,3.03231251
2005-06-01,3.00522734
2005-07-01,3.00623485
2005-08-01,3.00149124
2005-09-01,3.01243862
2005-10-01,3.02376946
2005-11-01,3.05040533
2005-12-01,3.04595913
2006-01-01,3.06559677
2006-02-01,3.09008621
2006-03-01,3.11426428
2006-04-01,3.12804477
2006-05-01,3.13694596
2006-06-01,3.14564455
2006-07-01,3.14969008
2006-08-01,3.18141449
2006-09-01,3.20874779
2006-10-01,3.23061819
2006-11-01,3.27725787
2006-12-01,3.27221083
2007-01-01,3.29028033
2007-02-01,3.33414616
2007-03-01,3.33793825
2007-04-01,3.34331423
2007-05-01,3.35931973
2007-06-01,3.36710472
2007-07-01,3.36240823
2007-08-01,3.3594774
2007-09-01,3.37291688
2007-10-01,3.39409236
2007-11-01,3.42174222
2007-12-01,3.44110813
2008-01-01,3.45440845
2008-02-01,3.47138898
2008-03-01,3.47992913
2008-04-01,3.49382764
2008-05-01,3.512225
2008-06-01,3.52310696
2008-07-01,3.46237667
2008-08-01,3.47095478
2008-09-01,3.49129022
2008-10-01,3.60348143
2008-11-01,3.67463095
2008-12-01,3.7212199
2009-01-01,3.76012673
2009-02-01,3.7749847
2009-03-01,3.78155336
2009-04-01,3.77353303
2009-05-01,3.74093536
2009-06-01,3.72105689
2009-07-01,3.72766148
2009-08-01,3.71075636
2009-09-01,3.72136352
2009-10-01,3.80890596
2009-11-01,3.80960475
2009-12-01,3.8251688
2010-01-01,3.90690235
2010-02-01,3.92656492
2010-03-01,3.93113874
2010-04-01,3.9443355
2010-05-01,3.94069957
2010-06-01,3.94434288
2010-07-01,3.94356008
2010-08-01,3.94836377
2010-09-01,3.97458304
2010-10-01,3.99944821
2010-11-01,4.02838765
2010-12-01,4.04381951
2011-01-01,4.05769789
2011-02-01,4.07640987
2011-03-01,4.08532822
2011-04-01,4.11807451
2011-05-01,4.11348528
2011-06-01,4.10733798
2011-07-01,4.11268371
2011-08-01,4.12276332
2011-09-01,4.15912978
2011-10-01,4.19593084
2011-11-01,4.2145911
2011-12-01,4.24848313
2012-01-01,4.29435527
2012-02-01,4.31151521
2012-03-01,4.32281301
2012-04-01,4.33846813
2012-05-01,4.34331161
2012-06-01,4.35897392
2012-07-01,4.33278994
2012-08-01,4.3332508
2012-09-01,4.35851875
2012-10-01,4.38791567
2012-11-01,4.42773085
2012-12-01,4.43850014
2013-01-01,4.47970139
2013-02-01,4.49314245
2013-03-01,4.53900405
2013-04-01,4.58561707
2013-05-01,4.61414644
2013-06-01,4.61654791
2013-07-01,4.63794426
2013-08-01,4.63968467
2013-09-01,4.6795241
2013-10-01,4.72943251
2013-11-01,4.7433037
2013-12-01,4.75174315
2014-01-01,4.82388225
2014-02-01,4.87392045
2014-03-01,4.90658331
2014-04-01,4.92757863
2014-05-01,4.94704213
2014-06-01,4.96800277
2014-07-01,4.98379772
2014-08-01,5.00266072
2014-09-01,5.04591127
2014-10-01,5.12182445
2014-11-01,5.14267108
2014-12-01,5.14330637
2015-01-01,5.21389955
2015-02-01,5.27158969
2015-03-01,5.31671986
2015-04-01,5.3488153
2015-05-01,5.39330221
2015-06-01,5.42528186
2015-07-01,5.44282841
2015-08-01,5.47499395
2015-09-01,5.49284889
2015-10-01,5.59382364
2015-11-01,5.63177483
2015-12-01,5.66436907
2016-01-01,5.76079174
2016-02-01,5.8550543
2016-03-01,5.89714661
2016-04-01,5.89312224
2016-05-01,5.92132018
2016-06-01,5.89822397
2016-07-01,5.91218478
2016-08-01,5.93719186
2016-09-01,6.03036877
2016-10-01,6.05959584
2016-11-01,6.07961737
2016-12-01,6.13703843
2017-01-01,6.27900478
2017-02-01,6.36315117
2017-03-01,6.38533778
2017-04-01,6.39596921
2017-05-01,6.3944465
2017-06-01,6.38480363
2017-07-01,6.39830143
2017-08-01,6.4276953
2017-09-01,6.53914295
2017-10-01,6.60445896
2017-11-01,6.64372826
2017-12-01,6.7247223
2018-01-01,6.83304417
2018-02-01,6.92401515
2018-03-01,6.96001802
2018-04-01,6.98847552
2018-05-01,7.03190957
2018-06-01,7.08039402
2018-07-01,7.13760085
2018-08-01,7.19827813
2018-09-01,7.39953025
2018-10-01,7.64952587
2018-11-01,7.77995811
2018-12-01,7.81103229
2019-01-01,7.92006432
2019-02-01,8.03158397
2019-03-01,8.16711316
2019-04-01,8.19925861
2019-05-01,8.22704818
2019-06-01,8.27031674
2019-07-01,8.32319581
2019-08-01,8.36031167
2019-09-01,8.41563583
2019-10-01,8.66552436
2019-11-01,8.74375747
2019-12-01,8.85024866
2020-01-01,9.01347146
2020-02-01,9.02453591
2020-03-01,9.18970822
2020-04-01,9.20493005
2020-05-01,9.21897731
2020-06-01,9.26946569
2020-07-01,9.38634124
2020-08-01,9.40795687
2020-09-01,9.5895787
2020-10-01,9.74578766
2020-11-01,9.92055984
2020-12-01,9.98515537
2021-01-01,10.06888355
2021-02-01,10.11109776
2021-03-01,10.16258694
2021-04-01,10.19598758
2021-05-01,10.33518919
2021-06-01,10.60879687
2021-07-01,11.2183844
2021-08-01,11.30344014
2021-09-01,11.47815567
2021-10-01,11.68954561
2021-11-01,11.99192973
2021-12-01,12.87424383
2022-01-01,13.89081661
2022-02-01,14.71398822
2022-03-01,15.14992573
2022-04-01,15.71467397
2022-05-01,17.13056728
2022-06-01,17.6652481
2022-07-01,19.38465053
2022-08-01,20.49866069
2022-09-01,21.35518135
2022-10-01,22.91868526
2022-11-01,23.76738442
2022-12-01,25.13033317
2023-01-01,28.42175529
2023-02-01,29.70697526
2023-03-01,30.63622463
2023-04-01,31.70613887
2023-05-01,33.3171809
2023-06-01,34.74378622
2023-07-01,39.05609929
2023-08-01,42.14273164
2023-09-01,43.46070759
2023-10-01,45.81515985
2023-11-01,47.92297676
2023-12-01,50.16441587
2024-01-01,54.40866595
2024-02-01,56.81331035
2024-03-01,59.60889776
2024-04-01,62.76665223
2024-05-01,66.31988769
2024-06-01,67.99984994
2024-07-01,70.42037558
2024-08-01,72.35200693
2024-09-01,74.22591152
2024-10-01,75.10945211
2024-11-01,76.64953198
2024-12-01,77.35128476
2025-01-01,88.04853841
2025-02-01,91.41550312
2025-03-01,92.49357313
2025-04-01,96.02612835
2025-05-01,99.94563736
2025-06-01,101.05518404
2025-07-01,102.92935615
2025-08-01,104.01505832
2025-09-01,105.10624803
2025-10-01,105.6045774
2025-11-01,106.24247733
2025-12-01,107.11771835
2026-01-01,111.11
2026-02-01,112.51
2026-03-01,113.41
2026-04-01,117.02
2026-05-01,119.19
2026-06-01,121.24
2026-07-01,122.81
