Tarih,TP.TUKFIY2025.053
2005-01-01,3.48239176
2005-02-01,3.53814642
2005-03-01,3.55411479
2005-04-01,3.59197074
2005-05-01,3.58260587
2005-06-01,3.63469407
2005-07-01,3.5575486
2005-08-01,3.64141696
2005-09-01,3.58106244
2005-10-01,3.67390793
2005-11-01,3.66667924
2005-12-01,3.70147772
2006-01-01,3.66330532
2006-02-01,3.66531322
2006-03-01,3.63286315
2006-04-01,3.63336496
2006-05-01,3.75266536
2006-06-01,3.72584949
2006-07-01,3.8325919
2006-08-01,3.85330701
2006-09-01,3.8196558
2006-10-01,3.81957499
2006-11-01,3.8614495
2006-12-01,3.82756194
2007-01-01,3.86726599
2007-02-01,3.92022591
2007-03-01,4.04743414
2007-04-01,3.93284036
2007-05-01,4.04925556
2007-06-01,4.05145338
2007-07-01,4.0552885
2007-08-01,4.06471855
2007-09-01,4.0885919
2007-10-01,4.11163075
2007-11-01,4.12874814
2007-12-01,4.12970453
2008-01-01,4.11832585
2008-02-01,4.17167351
2008-03-01,4.20366718
2008-04-01,4.18381528
2008-05-01,4.23824633
2008-06-01,4.29857206
2008-07-01,4.38734645
2008-08-01,4.35176575
2008-09-01,4.4029027
2008-10-01,4.43765229
2008-11-01,4.6033449
2008-12-01,4.66066563
2009-01-01,4.66507482
2009-02-01,4.51431896
2009-03-01,4.3212567
2009-04-01,4.22940383
2009-05-01,4.25064684
2009-06-01,4.22365281
2009-07-01,4.36588136
2009-08-01,4.41631764
2009-09-01,4.43218558
2009-10-01,4.47208265
2009-11-01,4.33998281
2009-12-01,4.35005989
2010-01-01,4.39589124
2010-02-01,4.42675872
2010-03-01,4.40394798
2010-04-01,4.40172284
2010-05-01,4.37735935
2010-06-01,4.41347122
2010-07-01,4.41485692
2010-08-01,4.41532168
2010-09-01,4.47723371
2010-10-01,4.42774272
2010-11-01,4.44196213
2010-12-01,4.45620433
2011-01-01,4.57698644
2011-02-01,4.66006485
2011-03-01,4.72114668
2011-04-01,4.73109819
2011-05-01,4.68793574
2011-06-01,4.68396448
2011-07-01,4.62052167
2011-08-01,4.64434809
2011-09-01,4.71925499
2011-10-01,4.7470874
2011-11-01,4.76974814
2011-12-01,4.7709561
2012-01-01,4.82689269
2012-02-01,4.90882817
2012-03-01,4.97782961
2012-04-01,4.96068779
2012-05-01,4.84549009
2012-06-01,4.86415523
2012-07-01,4.87754611
2012-08-01,4.88043817
2012-09-01,4.84860981
2012-10-01,4.84680109
2012-11-01,4.84851621
2012-12-01,4.85135397
2013-01-01,4.91967393
2013-02-01,4.97322294
2013-03-01,4.9781744
2013-04-01,4.98782295
2013-05-01,4.91745399
2013-06-01,4.91505669
2013-07-01,4.87311373
2013-08-01,4.86514996
2013-09-01,4.94335747
2013-10-01,5.0073464
2013-11-01,5.02480868
2013-12-01,5.0195845
2014-01-01,5.13918631
2014-02-01,5.22582664
2014-03-01,5.30486899
2014-04-01,5.31661798
2014-05-01,5.23972994
2014-06-01,5.2434671
2014-07-01,5.30053408
2014-08-01,5.35102724
2014-09-01,5.37708178
2014-10-01,5.38021461
2014-11-01,5.44532789
2014-12-01,5.43684486
2015-01-01,5.60775231
2015-02-01,5.62863118
2015-03-01,5.61413602
2015-04-01,5.71560095
2015-05-01,5.77248479
2015-06-01,5.73970971
2015-07-01,5.84761417
2015-08-01,5.86061621
2015-09-01,6.06541987
2015-10-01,6.17241227
2015-11-01,6.18720283
2015-12-01,6.24235245
2016-01-01,6.33014659
2016-02-01,6.35822908
2016-03-01,6.41876527
2016-04-01,6.46660559
2016-05-01,6.40215219
2016-06-01,6.40419983
2016-07-01,6.30677439
2016-08-01,6.33728996
