Tarih,TP.FE25.OKTG25
2005-01-01,1.926036
2005-02-01,1.954515
2005-03-01,2.000638
2005-04-01,2.019521
2005-05-01,2.038404
2005-06-01,2.053726
2005-07-01,2.073538
2005-08-01,2.087313
2005-09-01,2.121364
2005-10-01,2.155879
2005-11-01,2.17569
2005-12-01,2.186834
2006-01-01,2.209431
2006-02-01,2.235434
2006-03-01,2.252924
2006-04-01,2.278771
2006-05-01,2.328919
2006-06-01,2.348575
2006-07-01,2.365291
2006-08-01,2.382626
2006-09-01,2.42844
2006-10-01,2.457847
2006-11-01,2.475337
2006-12-01,2.482921
2007-01-01,2.510936
2007-02-01,2.526568
2007-03-01,2.547463
2007-04-01,2.561238
2007-05-01,2.583216
2007-06-01,2.596991
2007-07-01,2.609528
2007-08-01,2.627946
2007-09-01,2.655961
2007-10-01,2.696977
2007-11-01,2.737064
2007-12-01,2.752696
2008-01-01,2.780092
2008-02-01,2.805011
2008-03-01,2.838907
2008-04-01,2.88828
2008-05-01,2.936261
2008-06-01,2.968919
2008-07-01,2.996624
2008-08-01,3.019995
2008-09-01,3.051105
2008-10-01,3.084846
2008-11-01,3.115492
2008-12-01,3.122611
2009-01-01,3.146911
2009-02-01,3.165484
2009-03-01,3.181426
2009-04-01,3.194428
2009-05-01,3.207274
2009-06-01,3.219347
2009-07-01,3.232812
2009-08-01,3.247052
2009-09-01,3.274911
2009-10-01,3.315463
2009-11-01,3.330012
2009-12-01,3.350906
2010-01-01,3.388053
2010-02-01,3.427675
2010-03-01,3.461417
2010-04-01,3.501504
2010-05-01,3.533078
2010-06-01,3.540198
2010-07-01,3.55227
2010-08-01,3.568831
2010-09-01,3.595298
2010-10-01,3.634147
2010-11-01,3.665721
2010-12-01,3.677949
2011-01-01,3.705963
2011-02-01,3.722524
2011-03-01,3.738621
2011-04-01,3.757194
2011-05-01,3.78753
2011-06-01,3.805794
2011-07-01,3.82901
2011-08-01,3.85362
2011-09-01,3.896029
2011-10-01,3.934877
2011-11-01,3.959332
