Tarih,TP.FE25.OKTG06
2005-01-01,3.673057
2005-02-01,3.670482
2005-03-01,3.680137
2005-04-01,3.707817
2005-05-01,3.743544
2005-06-01,3.747406
2005-07-01,3.721335
2005-08-01,3.722945
2005-09-01,3.763499
2005-10-01,3.83463
2005-11-01,3.891599
2005-12-01,3.898036
2006-01-01,3.917991
2006-02-01,3.927325
2006-03-01,3.938268
2006-04-01,3.994272
2006-05-01,4.073771
2006-06-01,4.088255
2006-07-01,4.124625
2006-08-01,4.105635
2006-09-01,4.160995
2006-10-01,4.216999
2006-11-01,4.274611
2006-12-01,4.284911
2007-01-01,4.329971
2007-02-01,4.343811
2007-03-01,4.368916
2007-04-01,4.424598
2007-05-01,4.448093
2007-06-01,4.436506
2007-07-01,4.402068
2007-08-01,4.403355
2007-09-01,4.451312
2007-10-01,4.536283
2007-11-01,4.613529
2007-12-01,4.62415
2008-01-01,4.663417
2008-02-01,4.726502
2008-03-01,4.773815
2008-04-01,4.85782
2008-05-01,4.934101
2008-06-01,4.915433
2008-07-01,4.945044
2008-08-01,4.93217
2008-09-01,4.955665
2008-10-01,5.090846
2008-11-01,5.135263
2008-12-01,5.113376
2009-01-01,5.128504
2009-02-01,5.110158
2009-03-01,5.152321
2009-04-01,5.153287
2009-05-01,5.187726
2009-06-01,5.193841
2009-07-01,5.178714
2009-08-01,5.157471
2009-09-01,5.178714
2009-10-01,5.310676
2009-11-01,5.381485
2009-12-01,5.41174
2010-01-01,5.450685
2010-02-01,5.52085
2010-03-01,5.555289
2010-04-01,5.590693
2010-05-01,5.569451
2010-06-01,5.536299
2010-07-01,5.507654
2010-08-01,5.531149
2010-09-01,5.608074
2010-10-01,5.722012
2010-11-01,5.721368
2010-12-01,5.7027
2011-01-01,5.727805
2011-02-01,5.772222
2011-03-01,5.797327
2011-04-01,5.850756
2011-05-01,6.001064
2011-06-01,5.909978
2011-07-01,5.884551
2011-08-01,5.929933
2011-09-01,5.976602
2011-10-01,6.133348
2011-11-01,6.231515
2011-12-01,6.269816
2012-01-01,6.30683
2012-02-01,6.344487
2012-03-01,6.372167
2012-04-01,6.473875
2012-05-01,6.458747
2012-06-01,6.397916
2012-07-01,6.382467
2012-08-01,6.419802
2012-09-01,6.48868
2012-10-01,6.621286
2012-11-01,6.647357
2012-12-01,6.674071
2013-01-01,6.739087
2013-02-01,6.757111
2013-03-01,6.804424
2013-04-01,6.835001
2013-05-01,6.8453
2013-06-01,6.900982
2013-07-01,6.924156
2013-08-01,6.916431
2013-09-01,6.972113
2013-10-01,7.108259
2013-11-01,7.111478
2013-12-01,7.15686
2014-01-01,7.27627
2014-02-01,7.309421
2014-03-01,7.396645
2014-04-01,7.501893
2014-05-01,7.533757
2014-06-01,7.558862
2014-07-01,7.586542
2014-08-01,7.595876
2014-09-01,7.612291
2014-10-01,7.764852
2014-11-01,7.779979
2014-12-01,7.743609
2015-01-01,7.816993
2015-02-01,7.877503
2015-03-01,7.97567
2015-04-01,8.11246
2015-05-01,8.160095
2015-06-01,8.116
2015-07-01,8.118897
2015-08-01,8.151727
2015-09-01,8.227042
2015-10-01,8.361257
2015-11-01,8.419513
