Tarih,TP.FE25.OKTG22
2005-01-01,1.937996
2005-02-01,1.944084
2005-03-01,1.956096
2005-04-01,1.967779
2005-05-01,1.967943
2005-06-01,1.974031
2005-07-01,1.989334
2005-08-01,2.260008
2005-09-01,2.276627
2005-10-01,2.297689
2005-11-01,2.307891
2005-12-01,2.430805
2006-01-01,2.543024
2006-02-01,2.551745
2006-03-01,2.556516
2006-04-01,2.605879
2006-05-01,2.699998
2006-06-01,2.681734
2006-07-01,2.714149
2006-08-01,2.678608
2006-09-01,2.652939
2006-10-01,2.645534
2006-11-01,2.669722
2006-12-01,2.661989
2007-01-01,2.659356
2007-02-01,2.7283
2007-03-01,2.891198
2007-04-01,2.895476
2007-05-01,2.8833
2007-06-01,2.870301
2007-07-01,2.866846
2007-08-01,2.873757
2007-09-01,2.884123
2007-10-01,2.88511
2007-11-01,3.071703
2007-12-01,3.061995
2008-01-01,3.099017
2008-02-01,3.131761
2008-03-01,3.176517
2008-04-01,3.185732
2008-05-01,3.152165
2008-06-01,3.144925
2008-07-01,3.165328
2008-08-01,3.108067
2008-09-01,3.10708
2008-10-01,3.190339
2008-11-01,3.184251
2008-12-01,3.212717
2009-01-01,3.245461
2009-02-01,3.323619
2009-03-01,3.530615
2009-04-01,3.465127
2009-05-01,3.471051
2009-06-01,3.486518
2009-07-01,3.790924
2009-08-01,3.841109
2009-09-01,3.86974
2009-10-01,3.891131
2009-11-01,3.935393
2009-12-01,3.948063
2010-01-01,4.691142
2010-02-01,4.844991
2010-03-01,4.864736
2010-04-01,4.861281
2010-05-01,4.906366
2010-06-01,4.936806
2010-07-01,4.908505
2010-08-01,4.900771
2010-09-01,4.874115
2010-10-01,4.834789
2010-11-01,4.872141
2010-12-01,4.919529
2011-01-01,4.928908
2011-02-01,4.935984
2011-03-01,4.959184
2011-04-01,4.957539
2011-05-01,4.98765
2011-06-01,5.01118
2011-07-01,5.045899
2011-08-01,5.167168
2011-09-01,5.230681
2011-10-01,5.796054
2011-11-01,5.992025
2011-12-01,5.986925
2012-01-01,5.97771
2012-02-01,5.975406
2012-03-01,5.967344
2012-04-01,5.9578
2012-05-01,5.949573
2012-06-01,5.957471
2012-07-01,5.949079
2012-08-01,5.952535
2012-09-01,6.018846
2012-10-01,6.051426
2012-11-01,6.034971
2012-12-01,6.02115
2013-01-01,6.741193
2013-02-01,6.773115
2013-03-01,6.768178
2013-04-01,6.716676
2013-05-01,6.686894
2013-06-01,6.677021
2013-07-01,6.651846
2013-08-01,6.69907
2013-09-01,6.722106
2013-10-01,6.650529
2013-11-01,6.600837
2013-12-01,6.427079
2014-01-01,6.913964
2014-02-01,6.938975
2014-03-01,6.95691
2014-04-01,6.916926
2014-05-01,6.894548
2014-06-01,6.893232
2014-07-01,7.033752
2014-08-01,7.008577
2014-09-01,6.924166
2014-10-01,6.931077
2014-11-01,6.902611
2014-12-01,6.924166
2015-01-01,7.223964
2015-02-01,7.226104
2015-03-01,7.234824
2015-04-01,7.269379
2015-05-01,7.267733
2015-06-01,7.279416
2015-07-01,7.313805
2015-08-01,7.370408
2015-09-01,7.448402
2015-10-01,7.449554
2015-11-01,7.378471
2015-12-01,7.378636
2016-01-01,8.05162
2016-02-01,8.176837
2016-03-01,8.200203
2016-04-01,8.185229
2016-05-01,8.231301
2016-06-01,8.229162
2016-07-01,8.802597
2016-08-01,9.081005
2016-09-01,9.068171
2016-10-01,9.060108
2016-11-01,9.103548
2016-12-01,9.684552
2017-01-01,10.054117
2017-02-01,10.079621
2017-03-01,10.077153
2017-04-01,10.130136
2017-05-01,10.053623
2017-06-01,10.059218
2017-07-01,10.070736
2017-08-01,10.109404
2017-09-01,10.14149
2017-10-01,10.190195
2017-11-01,10.306856
2017-12-01,10.261278
2018-01-01,10.349144
2018-02-01,10.363788
2018-03-01,10.401469
2018-04-01,10.509081
2018-05-01,10.649436
2018-06-01,10.729405
2018-07-01,10.772021
2018-08-01,11.202797
2018-09-01,11.455043
2018-10-01,11.300371
2018-11-01,11.101932
2018-12-01,11.14932
2019-01-01,11.299384
2019-02-01,11.30646
2019-03-01,11.368328
2019-04-01,12.052336
2019-05-01,13.003399
2019-06-01,13.057863
2019-07-01,13.164981
2019-08-01,15.220462
2019-09-01,15.509401
2019-10-01,15.521742
2019-11-01,15.447203
2019-12-01,15.509072
2020-01-01,15.704714
2020-02-01,15.677894
2020-03-01,15.785999
2020-04-01,16.266796
2020-05-01,16.512459
2020-06-01,16.572189
2020-07-01,16.866229
2020-08-01,17.501203
2020-09-01,17.503836
2020-10-01,17.696187
2020-11-01,17.73864
2020-12-01,17.547275
2021-01-01,17.564717
2021-02-01,17.440651
2021-03-01,17.514037
2021-04-01,17.798533
2021-05-01,18.019516
2021-06-01,18.083359
2021-07-01,18.029717
2021-08-01,17.984962
2021-09-01,18.015402
2021-10-01,19.090531
2021-11-01,19.629412
2021-12-01,22.443439
2022-01-01,26.322394
2022-02-01,26.596194
2022-03-01,27.917481
2022-04-01,28.901782
2022-05-01,30.539321
2022-06-01,31.52971
2022-07-01,33.217271
2022-08-01,33.499792
2022-09-01,33.362563
2022-10-01,34.271502
2022-11-01,35.378882
2022-12-01,35.663543
2023-01-01,39.43867
2023-02-01,39.235787
2023-03-01,39.363473
2023-04-01,39.668208
2023-05-01,39.941022
2023-06-01,44.184276
2023-07-01,49.444576
2023-08-01,51.212105
2023-09-01,55.779839
2023-10-01,55.949649
2023-11-01,60.785096
2023-12-01,61.049682
2024-01-01,64.001268
2024-02-01,64.349278
2024-03-01,65.069651
2024-04-01,70.772902
2024-05-01,73.676112
2024-06-01,73.761345
2024-07-01,77.817349
2024-08-01,81.241834
2024-09-01,84.632751
2024-10-01,84.839254
2024-11-01,84.766361
2024-12-01,84.8098
2025-01-01,85.842477
2025-02-01,86.313237
2025-03-01,93.997595
2025-04-01,94.696577
2025-05-01,95.053143
2025-06-01,95.661626
2025-07-01,100.64615
2025-08-01,105.999416
2025-09-01,106.683095
2025-10-01,109.664628
2025-11-01,112.272811
2025-12-01,113.169246
2026-01-01,116.424485
2026-02-01,120.807315
2026-03-01,124.832197
2026-04-01,125.093134
2026-05-01,124.996207
2026-06-01,127.974849
2026-07-01,129.767561
