Tarih,TP.PKAUO.S01.D.U
2013-01-01,6.32
2013-02-01,6.59
2013-03-01,6.58
2013-04-01,6.6
2013-05-01,6.51
2013-06-01,6.53
2013-07-01,7.2
2013-08-01,7.33
2013-09-01,7.44
2013-10-01,7.39
2013-11-01,7.71
2013-12-01,7.35
2014-01-01,7.44
2014-02-01,7.92
2014-03-01,7.98
2014-04-01,8.12
2014-05-01,8.33
2014-06-01,8.29
2014-07-01,8.3
2014-08-01,8.7
2014-09-01,8.89
2014-10-01,9.16
2014-11-01,9.22
2014-12-01,9.02
2015-01-01,6.82
2015-02-01,6.77
2015-03-01,6.98
2015-04-01,7.29
2015-05-01,7.5
2015-06-01,7.77
2015-07-01,7.71
2015-08-01,7.65
2015-09-01,7.98
2015-10-01,8.25
2015-11-01,8.36
2015-12-01,8.53
2016-01-01,8.19
2016-02-01,8.48
2016-03-01,8.29
2016-04-01,7.91
2016-05-01,7.8
2016-06-01,7.64
2016-07-01,7.81
2016-08-01,8.21
2016-09-01,8.07
2016-10-01,7.81
2016-11-01,7.8
2016-12-01,7.69
2017-01-01,8.48
2017-02-01,8.87
2017-03-01,9.08
2017-04-01,9.28
2017-05-01,9.53
2017-06-01,9.55
2017-07-01,9.49
2017-08-01,9.46
2017-09-01,9.72
2017-10-01,9.89
2017-11-01,10.68
2017-12-01,11.74
2018-01-01,9.55
2018-02-01,9.52
2018-03-01,9.49
2018-04-01,10.07
2018-05-01,11.07
2018-06-01,12.28
2018-07-01,13.88
2018-08-01,16.45
2018-09-01,19.61
2018-10-01,24.22
2018-11-01,24.45
2018-12-01,21.28
2019-01-01,16.45
2019-02-01,15.91
2019-03-01,15.64
2019-04-01,16.23
2019-05-01,16.68
2019-06-01,15.85
2019-07-01,15.01
2019-08-01,14.42
2019-09-01,13.96
2019-10-01,12.69
2019-11-01,12.18
2019-12-01,11.62
2020-01-01,10.01
2020-02-01,10.06
2020-03-01,9.98
2020-04-01,9.76
2020-05-01,9.38
2020-06-01,9.54
2020-07-01,10.22
2020-08-01,10.82
2020-09-01,11.46
2020-10-01,11.76
2020-11-01,12.47
2020-12-01,14.18
2021-01-01,11.15
2021-02-01,11.23
2021-03-01,11.54
2021-04-01,13.12
2021-05-01,13.81
2021-06-01,14.46
2021-07-01,15.64
2021-08-01,16.3
2021-09-01,16.74
2021-10-01,17.6326
2021-11-01,19.31
2021-12-01,23.85
2022-01-01,29.75
2022-02-01,34.06
2022-03-01,40.47
2022-04-01,46.44
2022-05-01,57.92
2022-06-01,64.59
2022-07-01,69.94
2022-08-01,70.6
2022-09-01,67.73
2022-10-01,67.78
2022-11-01,68.06
2022-12-01,66.8
2023-01-01,32.46
2023-02-01,35.76
2023-03-01,37.72
2023-04-01,37.77
2023-05-01,37.17
2023-06-01,38.55
2023-07-01,43.82
2023-08-01,59.46
2023-09-01,67.22
2023-10-01,68.01
2023-11-01,67.23
2023-12-01,65.39
2024-01-01,42.04
2024-02-01,42.96
2024-03-01,44.19
2024-04-01,44.16
2024-05-01,43.64
2024-06-01,43.52
2024-07-01,42.95
2024-08-01,43.31
2024-09-01,43.14
2024-10-01,44.11
2024-11-01,44.81
2024-12-01,45.28
2025-01-01,27.05
2025-02-01,28.3
2025-03-01,28.04
2025-04-01,29.98
2025-05-01,30.35
2025-06-01,29.86
2025-07-01,29.66
2025-08-01,29.69
2025-09-01,29.86
2025-10-01,31.77
2025-11-01,32.2
2025-12-01,31.17
2026-01-01,23.23
2026-02-01,24.11
2026-03-01,25.38
2026-04-01,27.53
2026-05-01,28.94
2026-06-01,29.14
2026-07-01,29.21
2026-08-01,29.43
