Tarih,TP.TUKFIY2025.094
2005-01-01,4.32565771
2005-02-01,4.41689688
2005-03-01,4.46235375
2005-04-01,4.46546082
2005-05-01,4.50389498
2005-06-01,4.52812352
2005-07-01,4.54263569
2005-08-01,4.65439623
2005-09-01,4.81988632
2005-10-01,4.83508887
2005-11-01,4.82397325
2005-12-01,4.81448582
2006-01-01,4.8120525
2006-02-01,4.73964176
2006-03-01,4.70807719
2006-04-01,4.78086899
2006-05-01,4.93942887
2006-06-01,4.95994294
2006-07-01,4.96179575
2006-08-01,4.9068506
2006-09-01,5.00859453
2006-10-01,4.92059454
2006-11-01,4.92685701
2006-12-01,4.96713552
2007-01-01,5.01225352
2007-02-01,5.0731086
2007-03-01,4.93681006
2007-04-01,5.13014131
2007-05-01,5.19112163
2007-06-01,5.41849117
2007-07-01,5.43620908
2007-08-01,5.48218694
2007-09-01,5.4864325
2007-10-01,5.4833053
2007-11-01,5.56094496
2007-12-01,5.44767093
2008-01-01,5.3071857
2008-02-01,5.14639754
2008-03-01,5.48510747
2008-04-01,5.38391139
2008-05-01,5.51110208
2008-06-01,5.51537553
2008-07-01,5.53979448
2008-08-01,5.64138921
2008-09-01,5.51872814
2008-10-01,5.44551917
2008-11-01,5.49666731
2008-12-01,5.48058256
2009-01-01,5.56878129
2009-02-01,5.43017777
2009-03-01,5.15705983
2009-04-01,5.34911996
2009-05-01,5.24995652
2009-06-01,5.23196791
2009-07-01,5.23877484
2009-08-01,5.69128537
2009-09-01,6.65753163
2009-10-01,6.73256985
2009-11-01,6.4150696
2009-12-01,6.27523929
2010-01-01,6.29206697
2010-02-01,6.15919673
2010-03-01,6.30885438
2010-04-01,6.37088903
2010-05-01,6.19922806
2010-06-01,6.19497384
2010-07-01,6.21242356
2010-08-01,6.33629501
2010-09-01,6.62941079
2010-10-01,6.60152249
2010-11-01,6.41018879
2010-12-01,6.63703305
2011-01-01,6.77832214
2011-02-01,6.62045592
2011-03-01,6.64202558
2011-04-01,6.71167571
2011-05-01,6.70978961
2011-06-01,6.67984589
2011-07-01,6.67787649
2011-08-01,6.69603427
2011-09-01,6.86584708
2011-10-01,6.91052219
2011-11-01,6.81174182
2011-12-01,6.89326601
2012-01-01,7.05211132
2012-02-01,7.10407809
2012-03-01,7.13396275
2012-04-01,7.17584202
2012-05-01,7.16882432
2012-06-01,7.23218536
2012-07-01,7.25244536
2012-08-01,7.30283781
2012-09-01,7.52043227
2012-10-01,7.73646954
2012-11-01,7.54472909
2012-12-01,7.64197804
2013-01-01,7.69323172
2013-02-01,7.59333286
2013-03-01,7.66446733
2013-04-01,7.69513867
2013-05-01,7.77949966
2013-06-01,7.80663404
2013-07-01,7.81428183
2013-08-01,7.87563799
2013-09-01,8.13981077
2013-10-01,8.15015763
2013-11-01,8.1368747
2013-12-01,8.33394289
2014-01-01,8.27634589
2014-02-01,8.20812696
2014-03-01,8.27419192
2014-04-01,8.46467843
2014-05-01,8.40307187
2014-06-01,8.41360639
2014-07-01,8.42397986
2014-08-01,8.49556316
2014-09-01,8.73306603
2014-10-01,8.90197886
2014-11-01,8.90940848
2014-12-01,8.75804709
2015-01-01,8.84759783
2015-02-01,8.8904453
2015-03-01,8.87396674
2015-04-01,8.97959764
2015-05-01,9.00685875
2015-06-01,9.17928913
2015-07-01,9.21064612
2015-08-01,9.24056377
2015-09-01,9.33279112
2015-10-01,9.41096302
2015-11-01,9.5080283
2015-12-01,9.40992382
2016-01-01,9.421203
2016-02-01,9.39353128
2016-03-01,9.46563236
2016-04-01,9.7794201
2016-05-01,9.68715141
2016-06-01,9.51152697
2016-07-01,9.61807517
2016-08-01,9.78214273
2016-09-01,9.93604289
2016-10-01,9.9111816
2016-11-01,10.09242292
2016-12-01,10.24052928
2017-01-01,10.24726926
2017-02-01,10.29082695
2017-03-01,10.42906759
2017-04-01,10.47790068
2017-05-01,10.50544668
2017-06-01,10.46620453
2017-07-01,10.51175875
2017-08-01,10.64882034
2017-09-01,10.88509534
2017-10-01,10.93523075
2017-11-01,10.92597667
2017-12-01,10.99313561
2018-01-01,11.10485384
2018-02-01,11.19096263
2018-03-01,11.24202153
2018-04-01,11.30522504
2018-05-01,11.29236925
2018-06-01,11.3550475
2018-07-01,11.4665988
2018-08-01,11.57489397
2018-09-01,11.77489293
2018-10-01,12.02442529
2018-11-01,12.20314809
2018-12-01,12.14562137
2019-01-01,12.31298105
2019-02-01,12.34081596
2019-03-01,12.51235615
2019-04-01,12.46583228
2019-05-01,12.48193095
2019-06-01,12.57587126
2019-07-01,12.68512192
2019-08-01,12.7887477
2019-09-01,13.10315169
2019-10-01,13.24775584
2019-11-01,13.26312374
2019-12-01,13.29044758
2020-01-01,13.45998354
2020-02-01,13.64011012
2020-03-01,13.53413023
2020-04-01,13.53888579
2020-05-01,13.53906882
2020-06-01,13.62118346
2020-07-01,13.65852299
2020-08-01,13.9305721
2020-09-01,14.14625407
2020-10-01,14.19164506
2020-11-01,14.26283794
2020-12-01,14.26876393
2021-01-01,14.37452747
2021-02-01,14.38932741
2021-03-01,14.63120824
2021-04-01,14.52443265
2021-05-01,14.52829783
2021-06-01,15.69098345
2021-07-01,16.00034278
2021-08-01,16.21458881
2021-09-01,16.57694947
2021-10-01,16.74477455
2021-11-01,16.99432953
2021-12-01,17.20388396
2022-01-01,18.41696948
2022-02-01,18.92997276
2022-03-01,19.40916337
2022-04-01,19.92458753
2022-05-01,20.25146039
2022-06-01,20.95398424
2022-07-01,21.70437036
2022-08-01,22.58419682
2022-09-01,23.28481208
2022-10-01,23.81471724
2022-11-01,24.29036913
2022-12-01,24.69309951
2023-01-01,27.51834457
2023-02-01,28.2305121
2023-03-01,28.86638031
2023-04-01,29.30911128
2023-05-01,30.92261248
2023-06-01,32.37462045
2023-07-01,35.10612433
2023-08-01,38.89844055
2023-09-01,40.6896794
2023-10-01,42.60091546
2023-11-01,44.40621658
2023-12-01,44.84681801
2024-01-01,51.8598116
2024-02-01,54.35969121
2024-03-01,55.72003051
2024-04-01,57.53546701
2024-05-01,59.49858431
2024-06-01,61.23697937
2024-07-01,63.35001767
2024-08-01,68.58593739
2024-09-01,72.3750329
2024-10-01,74.58363212
2024-11-01,75.67758147
2024-12-01,76.29818905
2025-01-01,84.48280561
2025-02-01,87.41519302
2025-03-01,90.16417277
2025-04-01,94.24550907
2025-05-01,95.81196342
