Tarih,TP.FE25.OKTG11
2005-01-01,2.076843
2005-02-01,2.106537
2005-03-01,2.104457
2005-04-01,2.060578
2005-05-01,2.058687
2005-06-01,1.982278
2005-07-01,1.927619
2005-08-01,1.919109
2005-09-01,1.969606
2005-10-01,2.063415
2005-11-01,2.205641
2005-12-01,2.178785
2006-01-01,2.217746
2006-02-01,2.322524
2006-03-01,2.370563
2006-04-01,2.395529
2006-05-01,2.427492
2006-06-01,2.283563
2006-07-01,2.31912
2006-08-01,2.216233
2006-09-01,2.325361
2006-10-01,2.336142
2006-11-01,2.443
2006-12-01,2.46059
2007-01-01,2.677522
2007-02-01,2.734072
2007-03-01,2.749392
2007-04-01,2.793838
2007-05-01,2.696625
2007-06-01,2.586172
2007-07-01,2.526029
2007-08-01,2.576148
2007-09-01,2.643857
2007-10-01,2.770385
2007-11-01,2.748635
2007-12-01,2.731046
2008-01-01,2.811805
2008-02-01,3.054649
2008-03-01,3.028738
2008-04-01,2.981834
2008-05-01,2.919231
2008-06-01,2.627592
2008-07-01,2.620594
2008-08-01,2.593737
2008-09-01,2.619838
2008-10-01,2.860223
2008-11-01,2.916394
2008-12-01,2.946088
2009-01-01,3.048218
2009-02-01,3.07394
2009-03-01,3.337777
2009-04-01,3.306003
2009-05-01,3.316027
2009-06-01,3.214842
2009-07-01,3.159616
2009-08-01,3.042355
2009-09-01,3.057486
2009-10-01,3.236971
2009-11-01,3.382034
2009-12-01,3.516317
2010-01-01,3.605208
2010-02-01,3.949237
2010-03-01,3.98763
2010-04-01,3.998222
2010-05-01,3.653815
2010-06-01,3.47868
2010-07-01,3.408512
2010-08-01,3.610315
2010-09-01,3.936187
2010-10-01,4.249765
2010-11-01,4.050611
2010-12-01,3.816089
2011-01-01,3.895334
2011-02-01,4.063661
2011-03-01,4.009759
2011-04-01,3.965124
2011-05-01,4.352463
2011-06-01,3.777695
2011-07-01,3.639819
2011-08-01,3.717741
2011-09-01,3.739869
2011-10-01,4.022619
2011-11-01,4.242767
2011-12-01,4.384426
2012-01-01,4.437383
2012-02-01,4.600413
2012-03-01,4.544998
2012-04-01,4.508874
2012-05-01,4.235013
2012-06-01,3.874152
2012-07-01,3.880015
2012-08-01,3.991413
2012-09-01,4.145743
2012-10-01,4.23785
2012-11-01,4.163333
2012-12-01,4.262437
2013-01-01,4.616111
2013-02-01,4.686279
2013-03-01,4.853659
2013-04-01,4.718431
2013-05-01,4.467076
2013-06-01,4.625568
2013-07-01,4.630674
2013-08-01,4.504903
2013-09-01,4.519466
2013-10-01,4.871059
2013-11-01,4.701598
2013-12-01,4.811294
2014-01-01,5.261425
2014-02-01,5.18426
2014-03-01,5.330458
2014-04-01,5.42786
2014-05-01,5.232866
2014-06-01,5.215277
2014-07-01,5.191068
2014-08-01,5.228138
2014-09-01,5.216412
2014-10-01,5.450177
2014-11-01,5.420673
2014-12-01,5.400436
2015-01-01,5.755245
2015-02-01,6.02173
