Tarih,TP.TUKFIY2025.133
2005-01-01,2.44014563
2005-02-01,2.4104141
2005-03-01,2.42750581
2005-04-01,2.436013
2005-05-01,2.44144297
2005-06-01,2.52505938
2005-07-01,2.54405208
2005-08-01,2.59628576
2005-09-01,2.71314542
2005-10-01,2.73092626
2005-11-01,2.73244103
2005-12-01,2.72729408
2006-01-01,2.73340761
2006-02-01,2.76165177
2006-03-01,2.77419533
2006-04-01,2.78456961
2006-05-01,2.78780501
2006-06-01,2.83515583
2006-07-01,2.84096172
2006-08-01,2.87007744
2006-09-01,2.98709018
2006-10-01,3.015479
2006-11-01,3.01298934
2006-12-01,3.01944147
2007-01-01,3.0470326
2007-02-01,3.06637412
2007-03-01,3.07278716
2007-04-01,3.07779099
2007-05-01,3.08502308
2007-06-01,3.10616914
2007-07-01,3.11129086
2007-08-01,3.13093714
2007-09-01,3.26160598
2007-10-01,3.30959589
2007-11-01,3.32207671
2007-12-01,3.32105451
2008-01-01,3.32338791
2008-02-01,3.34204467
2008-03-01,3.3576854
2008-04-01,3.37177337
2008-05-01,3.38469757
2008-06-01,3.3955443
2008-07-01,3.41477916
2008-08-01,3.44606016
2008-09-01,3.63501456
2008-10-01,3.64429741
2008-11-01,3.64755017
2008-12-01,3.64213426
2009-01-01,3.64487927
2009-02-01,3.65641089
2009-03-01,3.66756436
2009-04-01,3.68321444
2009-05-01,3.68829023
2009-06-01,3.68574546
2009-07-01,3.68077786
2009-08-01,3.6850992
2009-09-01,3.76941347
2009-10-01,3.78112734
2009-11-01,3.7784147
2009-12-01,3.76287224
2010-01-01,3.76207843
2010-02-01,3.77151177
2010-03-01,3.78399771
2010-04-01,3.78690375
2010-05-01,3.80395239
2010-06-01,3.81817106
2010-07-01,3.82125249
2010-08-01,3.82672226
2010-09-01,3.91989816
2010-10-01,3.97141631
2010-11-01,3.98073212
2010-12-01,3.98196563
2011-01-01,3.9896662
2011-02-01,3.9983188
2011-03-01,4.00961461
2011-04-01,4.01981447
2011-05-01,4.03163555
2011-06-01,4.0409295
2011-07-01,4.04430391
2011-08-01,4.06395395
2011-09-01,4.2161318
2011-10-01,4.24929961
2011-11-01,4.26290597
2011-12-01,4.26771674
2012-01-01,4.27572847
2012-02-01,4.29792671
2012-03-01,4.30480501
2012-04-01,4.3101397
2012-05-01,4.31545999
2012-06-01,4.32355264
2012-07-01,4.34888543
2012-08-01,4.39026941
2012-09-01,4.5132296
2012-10-01,4.5630334
2012-11-01,4.59388013
2012-12-01,4.59939137
2013-01-01,4.6119191
2013-02-01,4.63461633
2013-03-01,4.65643084
2013-04-01,4.65636672
2013-05-01,4.6676502
2013-06-01,4.68401202
2013-07-01,4.7227847
2013-08-01,4.73557027
2013-09-01,4.90449581
2013-10-01,4.92783046
2013-11-01,4.94375481
2013-12-01,4.95984998
2014-01-01,4.96998769
2014-02-01,4.98570163
2014-03-01,4.99634916
2014-04-01,5.01559449
2014-05-01,5.0368911
2014-06-01,5.05209733
2014-07-01,5.07118803
2014-08-01,5.11847874
2014-09-01,5.29566683
2014-10-01,5.31658924
2014-11-01,5.33539268
2014-12-01,5.34876818
2015-01-01,5.37947168
2015-02-01,5.40207132
2015-03-01,5.40453608
2015-04-01,5.43071362
2015-05-01,5.44976076
2015-06-01,5.46182731
2015-07-01,5.47495842
2015-08-01,5.52636798
2015-09-01,5.79326869
2015-10-01,5.8747581
2015-11-01,5.87653991
2015-12-01,5.88001103
2016-01-01,5.9100717
2016-02-01,5.93491976
2016-03-01,5.96106706
2016-04-01,5.96409446
2016-05-01,5.94828152
2016-06-01,6.00402421
2016-07-01,6.04461179
2016-08-01,6.12196437
2016-09-01,6.38693133
2016-10-01,6.44247152
2016-11-01,6.45582515
2016-12-01,6.47559423
2017-01-01,6.51419525
2017-02-01,6.54055478
2017-03-01,6.59711515
2017-04-01,6.59345865
2017-05-01,6.60546315
2017-06-01,6.6676282
2017-07-01,6.70349302
2017-08-01,6.76219756
2017-09-01,7.03881416
2017-10-01,7.06638817
2017-11-01,7.07193431
2017-12-01,7.0775623
2018-01-01,7.13498477
2018-02-01,7.19477869
2018-03-01,7.24194933
2018-04-01,7.27550799
2018-05-01,7.31042854
2018-06-01,7.3904276
2018-07-01,7.42570128
2018-08-01,7.47460251
2018-09-01,7.94303431
2018-10-01,8.041806
2018-11-01,8.06195083
2018-12-01,8.06348431
2019-01-01,8.10564912
2019-02-01,8.18155854
2019-03-01,8.25274771
