Tarih,TP.TUKFIY2025.012
2005-01-01,3.26049367
2005-02-01,3.26170178
2005-03-01,3.26811137
2005-04-01,3.28322551
2005-05-01,3.29638843
2005-06-01,3.3005609
2005-07-01,3.32707697
2005-08-01,3.3466083
2005-09-01,3.37679283
2005-10-01,3.39290216
2005-11-01,3.40442327
2005-12-01,3.4365187
2006-01-01,3.45836527
2006-02-01,3.47424322
2006-03-01,3.47628109
2006-04-01,3.48283661
2006-05-01,3.48925605
2006-06-01,3.51846386
2006-07-01,3.60080412
2006-08-01,3.65637907
2006-09-01,3.68630899
2006-10-01,3.69221283
2006-11-01,3.70838124
2006-12-01,3.73355185
2007-01-01,3.76454376
2007-02-01,3.80234837
2007-03-01,3.82576553
2007-04-01,3.83540969
2007-05-01,3.82615192
2007-06-01,3.84787039
2007-07-01,3.87447756
2007-08-01,3.91386385
2007-09-01,3.96066632
2007-10-01,3.97360763
2007-11-01,3.99591779
2007-12-01,4.01998731
2008-01-01,3.97597913
2008-02-01,4.00870426
2008-03-01,4.06947722
2008-04-01,4.11010603
2008-05-01,4.14108357
2008-06-01,4.21793122
2008-07-01,4.26639367
2008-08-01,4.29388691
2008-09-01,4.32848473
2008-10-01,4.35328356
2008-11-01,4.37130409
2008-12-01,4.39886345
2009-01-01,4.42238002
2009-02-01,4.45249968
2009-03-01,4.46825212
2009-04-01,4.48531463
2009-05-01,4.5207102
2009-06-01,4.55582904
2009-07-01,4.57314067
2009-08-01,4.57394112
2009-09-01,4.58942492
2009-10-01,4.61834551
2009-11-01,4.62581227
2009-12-01,4.6435374
2010-01-01,4.65870815
2010-02-01,4.65811313
2010-03-01,4.65695095
2010-04-01,4.68267228
2010-05-01,4.69730247
2010-06-01,4.72669559
2010-07-01,4.76937993
2010-08-01,4.80987882
2010-09-01,4.83133018
2010-10-01,4.85422074
2010-11-01,4.86444303
2010-12-01,4.85685912
2011-01-01,4.88372009
2011-02-01,4.92237707
2011-03-01,4.93410807
2011-04-01,4.93347308
2011-05-01,4.95196548
2011-06-01,4.98183985
2011-07-01,5.0293423
2011-08-01,5.05714476
2011-09-01,5.1061517
2011-10-01,5.16660168
2011-11-01,5.23520537
2011-12-01,5.29238426
2012-01-01,5.3321878
2012-02-01,5.34000791
2012-03-01,5.40216974
2012-04-01,5.44300926
2012-05-01,5.46330431
2012-06-01,5.48436602
2012-07-01,5.50307486
2012-08-01,5.52446372
2012-09-01,5.53879558
2012-10-01,5.57437245
2012-11-01,5.63223263
2012-12-01,5.64480491
2013-01-01,5.67545781
2013-02-01,5.69147103
2013-03-01,5.72317326
2013-04-01,5.7252094
2013-05-01,5.7597642
2013-06-01,5.77826691
2013-07-01,5.78179421
2013-08-01,5.7885957
2013-09-01,5.82987012
2013-10-01,5.86325256
2013-11-01,5.89924809
2013-12-01,5.94928278
2014-01-01,5.98809178
2014-02-01,6.02191708
2014-03-01,6.05851036
2014-04-01,6.09664617
2014-05-01,6.12907935
2014-06-01,6.20754295
2014-07-01,6.27662939
2014-08-01,6.35310821
2014-09-01,6.39953127
2014-10-01,6.46975583
2014-11-01,6.51952904
2014-12-01,6.53394295
2015-01-01,6.55559181
2015-02-01,6.63071432
2015-03-01,6.68322651
2015-04-01,6.71477959
2015-05-01,6.81685088
2015-06-01,6.85770371
2015-07-01,6.92074994
2015-08-01,7.0401858
2015-09-01,7.16511948
2015-10-01,7.20742918
2015-11-01,7.23367997
2015-12-01,7.26397752
2016-01-01,7.32187444
2016-02-01,7.39609249
2016-03-01,7.5023949
2016-04-01,7.58880637
2016-05-01,7.63475577
2016-06-01,7.65921808
2016-07-01,7.70653051
2016-08-01,7.71722158
2016-09-01,7.72054393
2016-10-01,7.73017793
2016-11-01,7.77340453
2016-12-01,7.88674681
2017-01-01,7.9819255
2017-02-01,8.10719834
2017-03-01,8.18004293
2017-04-01,8.36196929
2017-05-01,8.53205724
2017-06-01,8.58836541
2017-07-01,8.71303782
2017-08-01,8.8032309
