Tarih,TP.FE25.OKTG05
2005-01-01,3.997605
2005-02-01,3.985068
2005-03-01,3.997605
2005-04-01,4.046709
2005-05-01,4.09233
2005-06-01,4.121235
2005-07-01,4.105216
2005-08-01,4.110091
2005-09-01,4.145613
2005-10-01,4.206209
2005-11-01,4.233721
2005-12-01,4.250089
2006-01-01,4.263323
2006-02-01,4.243124
2006-03-01,4.242079
2006-04-01,4.305113
2006-05-01,4.395659
2006-06-01,4.457997
2006-07-01,4.49317
2006-08-01,4.500484
2006-09-01,4.53705
2006-10-01,4.604263
2006-11-01,4.644312
2006-12-01,4.651974
2007-01-01,4.641178
2007-02-01,4.64083
2007-03-01,4.667645
2007-04-01,4.724063
2007-05-01,4.78431
2007-06-01,4.804509
2007-07-01,4.779783
2007-08-01,4.765505
2007-09-01,4.805206
2007-10-01,4.873115
2007-11-01,4.977243
2007-12-01,4.996397
2008-01-01,5.021471
2008-02-01,5.028088
2008-03-01,5.095301
2008-04-01,5.2151
2008-05-01,5.330024
2008-06-01,5.393755
2008-07-01,5.433107
2008-08-01,5.425097
2008-09-01,5.446689
2008-10-01,5.544548
2008-11-01,5.583553
2008-12-01,5.547335
2009-01-01,5.537235
2009-02-01,5.506589
2009-03-01,5.483952
2009-04-01,5.4944
2009-05-01,5.534449
2009-06-01,5.571016
2009-07-01,5.567881
2009-08-01,5.575195
2009-09-01,5.597135
2009-10-01,5.710666
2009-11-01,5.75768
2009-12-01,5.756983
2010-01-01,5.781709
2010-02-01,5.778923
2010-03-01,5.811311
2010-04-01,5.852057
2010-05-01,5.915787
2010-06-01,5.920314
2010-07-01,5.90325
2010-08-01,5.879917
2010-09-01,5.889668
2010-10-01,5.948523
2010-11-01,5.999716
2010-12-01,6.037676
2011-01-01,6.04882
2011-02-01,6.062054
2011-03-01,6.106282
2011-04-01,6.182549
2011-05-01,6.271354
2011-06-01,6.300607
2011-07-01,6.303045
2011-08-01,6.339264
2011-09-01,6.391153
2011-10-01,6.513739
2011-11-01,6.579559
2011-12-01,6.592096
2012-01-01,6.625528
2012-02-01,6.635628
2012-03-01,6.680552
2012-04-01,6.810451
2012-05-01,6.851197
2012-06-01,6.855027
2012-07-01,6.835177
2012-08-01,6.85642
2012-09-01,6.906221
2012-10-01,7.045871
2012-11-01,7.092885
2012-12-01,7.103681
2013-01-01,7.106815
2013-02-01,7.11378
2013-03-01,7.135372
2013-04-01,7.200495
2013-05-01,7.265967
2013-06-01,7.299051
2013-07-01,7.325867
2013-08-01,7.342931
2013-09-01,7.40701
2013-10-01,7.495814
2013-11-01,7.535515
