tarih,TP.FG.J11
2005-01-01,124.44
2005-02-01,126.28
2005-03-01,129.26
2005-04-01,130.48
2005-05-01,131.7
2005-06-01,132.69
2005-07-01,133.97
2005-08-01,134.86
2005-09-01,137.06
2005-10-01,139.29
2005-11-01,140.57
2005-12-01,141.29
2006-01-01,142.75
2006-02-01,144.43
2006-03-01,145.56
2006-04-01,147.23
2006-05-01,150.47
2006-06-01,151.74
2006-07-01,152.82
2006-08-01,153.94
2006-09-01,156.9
2006-10-01,158.8
2006-11-01,159.93
2006-12-01,160.42
2007-01-01,162.23
2007-02-01,163.24
2007-03-01,164.59
2007-04-01,165.48
2007-05-01,166.9
2007-06-01,167.79
2007-07-01,168.6
2007-08-01,169.79
2007-09-01,171.6
2007-10-01,174.25
2007-11-01,176.84
2007-12-01,177.85
2008-01-01,179.62
2008-02-01,181.23
2008-03-01,183.42
2008-04-01,186.61
2008-05-01,189.71
2008-06-01,191.82
2008-07-01,193.61
2008-08-01,195.12
2008-09-01,197.13
2008-10-01,199.31
2008-11-01,201.29
2008-12-01,201.75
2009-01-01,203.32
2009-02-01,204.52
2009-03-01,205.55
2009-04-01,206.39
2009-05-01,207.22
2009-06-01,208.0
2009-07-01,208.87
2009-08-01,209.79
2009-09-01,211.59
2009-10-01,214.21
2009-11-01,215.15
2009-12-01,216.5
2010-01-01,218.9
2010-02-01,221.46
2010-03-01,223.64
2010-04-01,226.23
2010-05-01,228.27
2010-06-01,228.73
2010-07-01,229.51
2010-08-01,230.58
2010-09-01,232.29
2010-10-01,234.8
2010-11-01,236.84
2010-12-01,237.63
2011-01-01,239.44
2011-02-01,240.51
2011-03-01,241.55
2011-04-01,242.75
2011-05-01,244.71
2011-06-01,245.89
2011-07-01,247.39
2011-08-01,248.98
2011-09-01,251.72
2011-10-01,254.23
2011-11-01,255.81
2011-12-01,257.12
2012-01-01,259.06
2012-02-01,260.24
2012-03-01,262.23
2012-04-01,265.36
2012-05-01,267.79
2012-06-01,269.09
2012-07-01,270.56
2012-08-01,272.23
2012-09-01,276.25
2012-10-01,278.11
2012-11-01,279.96
2012-12-01,281.06
2013-01-01,283.73
2013-02-01,285.13
2013-03-01,286.89
2013-04-01,289.15
2013-05-01,291.31
2013-06-01,293.13
2013-07-01,294.84
2013-08-01,297.09
2013-09-01,301.48
2013-10-01,304.32
2013-11-01,306.28
2013-12-01,308.77
2014-01-01,314.1
2014-02-01,318.55
2014-03-01,322.79
2014-04-01,325.23
2014-05-01,328.83
2014-06-01,331.87
2014-07-01,335.34
2014-08-01,340.85
2014-09-01,344.98
2014-10-01,347.96
2014-11-01,350.15
2014-12-01,351.95
2015-01-01,355.13
2015-02-01,358.89
2015-03-01,363.99
2015-04-01,368.6
2015-05-01,373.02
2015-06-01,377.07
2015-07-01,381.63
2015-08-01,389.47
2015-09-01,393.24
2015-10-01,395.88
2015-11-01,397.2
2015-12-01,398.51
2016-01-01,402.81
2016-02-01,405.97
2016-03-01,408.61
2016-04-01,410.45
2016-05-01,412.54
2016-06-01,414.58
2016-07-01,419.63
2016-08-01,423.08
2016-09-01,425.9
2016-10-01,428.88
2016-11-01,430.96
2016-12-01,432.87
2017-01-01,437.38
2017-02-01,441.13
2017-03-01,444.22
2017-04-01,448.49
2017-05-01,452.46
2017-06-01,457.12
2017-07-01,465.12
2017-08-01,469.91
2017-09-01,474.68
2017-10-01,478.02
2017-11-01,480.22
2017-12-01,482.5
2018-01-01,487.35
2018-02-01,492.0
2018-03-01,496.07
2018-04-01,501.78
2018-05-01,509.07
2018-06-01,517.92
2018-07-01,529.6
2018-08-01,539.58
2018-09-01,565.3
2018-10-01,573.91
2018-11-01,576.29
2018-12-01,578.07
2019-01-01,584.28
2019-02-01,589.39
2019-03-01,593.31
2019-04-01,600.02
2019-05-01,609.71
2019-06-01,625.87
2019-07-01,634.74
2019-08-01,639.51
2019-09-01,649.38
2019-10-01,652.6
2019-11-01,651.59
2019-12-01,654.18
2020-01-01,663.25
2020-02-01,668.69
2020-03-01,674.5
2020-04-01,675.32
2020-05-01,676.43
2020-06-01,695.55
2020-07-01,704.05
2020-08-01,715.0
2020-09-01,720.26
2020-10-01,725.37
2020-11-01,733.6
2020-12-01,737.25
2021-01-01,748.72
2021-02-01,758.58
2021-03-01,778.33
2021-04-01,788.85
2021-05-01,796.33
2021-06-01,826.76
2021-07-01,849.27
2021-08-01,868.59
2021-09-01,887.83
2021-10-01,908.36
2021-11-01,945.62
2021-12-01,1038.39
2022-01-01,1126.11
2022-02-01,1177.29
2022-03-01,1248.45
2022-04-01,1335.19
2022-05-01,1408.17
2022-06-01,1484.48
2022-07-01,1521.38
2022-08-01,1571.7
2022-09-01,1609.96
2022-10-01,1652.46
2022-11-01,1704.95
2022-12-01,1749.45
2023-01-01,1972.21
2023-02-01,2052.51
2023-03-01,2131.51
2023-04-01,2221.87
2023-05-01,2379.55
2023-06-01,2482.39
2023-07-01,2778.32
2023-08-01,2975.44
2023-09-01,3098.92
2023-10-01,3207.76
2023-11-01,3288.15
2023-12-01,3380.6
2024-01-01,3792.03
2024-02-01,3997.92
2024-03-01,4155.88
2024-04-01,4350.91
2024-05-01,4591.01
2024-06-01,4733.07
2024-07-01,4890.87
2024-08-01,4989.92
2024-09-01,5125.8
2024-10-01,5199.55
2024-11-01,5240.77
2024-12-01,5311.78
2025-01-01,5656.88
2025-02-01,5833.16
2025-03-01,5958.51
2025-04-01,6172.43
2025-05-01,6285.48
2025-06-01,6417.44
2025-07-01,6561.51
2025-08-01,6684.69
2025-09-01,6863.98
2025-10-01,6955.87
2025-11-01,7017.75
2025-12-01,7123.56
