tarih,TP.FG.J045
2005-01-01,109.32
2005-02-01,109.66
2005-03-01,111.21
2005-04-01,113.35
2005-05-01,112.71
2005-06-01,112.83
2005-07-01,113.99
2005-08-01,114.22
2005-09-01,116.68
2005-10-01,118.85
2005-11-01,120.44
2005-12-01,120.69
2006-01-01,121.66
2006-02-01,122.53
2006-03-01,123.34
2006-04-01,123.06
2006-05-01,123.37
2006-06-01,126.75
2006-07-01,128.68
2006-08-01,129.91
2006-09-01,130.67
2006-10-01,132.28
2006-11-01,134.47
2006-12-01,135.4
2007-01-01,135.72
2007-02-01,135.74
2007-03-01,135.9
2007-04-01,135.56
2007-05-01,135.24
2007-06-01,135.25
2007-07-01,135.45
2007-08-01,136.09
2007-09-01,136.99
2007-10-01,137.39
2007-11-01,142.14
2007-12-01,144.27
2008-01-01,155.11
2008-02-01,155.24
2008-03-01,155.4
2008-04-01,156.4
2008-05-01,156.1
2008-06-01,158.94
2008-07-01,175.23
2008-08-01,180.24
2008-09-01,184.01
2008-10-01,195.91
2008-11-01,202.59
2008-12-01,199.89
2009-01-01,198.42
2009-02-01,194.13
2009-03-01,193.18
2009-04-01,188.83
2009-05-01,181.05
2009-06-01,182.19
2009-07-01,182.84
2009-08-01,183.47
2009-09-01,184.34
2009-10-01,191.72
2009-11-01,193.88
2009-12-01,195.43
2010-01-01,199.25
2010-02-01,200.51
2010-03-01,200.25
2010-04-01,200.37
2010-05-01,200.98
2010-06-01,201.54
2010-07-01,202.11
2010-08-01,202.24
2010-09-01,203.0
2010-10-01,203.09
2010-11-01,204.46
2010-12-01,208.16
2011-01-01,208.41
2011-02-01,208.45
2011-03-01,209.18
2011-04-01,210.19
2011-05-01,211.72
2011-06-01,211.48
2011-07-01,211.2
2011-08-01,213.07
2011-09-01,214.52
2011-10-01,230.36
2011-11-01,231.44
2011-12-01,232.81
2012-01-01,236.1
2012-02-01,237.97
2012-03-01,240.55
2012-04-01,255.7
2012-05-01,254.64
2012-06-01,252.59
2012-07-01,251.63
2012-08-01,254.14
2012-09-01,257.69
2012-10-01,274.2
2012-11-01,275.46
2012-12-01,275.82
2013-01-01,275.68
2013-02-01,275.36
2013-03-01,275.1
2013-04-01,274.63
2013-05-01,273.24
2013-06-01,273.24
2013-07-01,274.27
2013-08-01,274.68
2013-09-01,277.17
2013-10-01,277.51
2013-11-01,277.87
2013-12-01,282.04
2014-01-01,282.76
2014-02-01,282.46
2014-03-01,282.0
2014-04-01,281.57
2014-05-01,280.28
2014-06-01,279.51
2014-07-01,279.85
2014-08-01,279.44
2014-09-01,280.37
2014-10-01,296.71
2014-11-01,295.52
2014-12-01,295.19
2015-01-01,294.24
2015-02-01,294.58
2015-03-01,297.45
2015-04-01,297.64
2015-05-01,297.72
2015-06-01,297.53
2015-07-01,297.68
2015-08-01,297.74
2015-09-01,298.72
2015-10-01,301.42
2015-11-01,302.43
2015-12-01,302.92
2016-01-01,311.04
2016-02-01,310.65
2016-03-01,310.11
2016-04-01,309.75
