tarih,TP.TUKFIY2025.01171
2005-01-01,2.25280871
2005-02-01,2.2365086
2005-03-01,2.15494948
2005-04-01,1.85370764
2005-05-01,1.44505754
2005-06-01,1.16407504
2005-07-01,1.10151717
2005-08-01,1.18162986
2005-09-01,1.39348241
2005-10-01,1.78936739
2005-11-01,2.37337515
2005-12-01,2.29810844
2006-01-01,2.4483031
2006-02-01,2.68958513
2006-03-01,2.68841584
2006-04-01,2.63475708
2006-05-01,2.31402419
2006-06-01,1.71343281
2006-07-01,1.79655833
2006-08-01,1.646767
2006-09-01,1.85656546
2006-10-01,1.96262854
2006-11-01,2.40021058
2006-12-01,2.61830479
2007-01-01,3.22600375
2007-02-01,3.24722926
2007-03-01,3.02773848
2007-04-01,2.82432775
2007-05-01,1.99102204
2007-06-01,1.91716774
2007-07-01,2.07748863
2007-08-01,2.31635463
2007-09-01,2.4429304
2007-10-01,2.73618112
2007-11-01,2.70647257
2007-12-01,2.7618167
2008-01-01,3.15825897
2008-02-01,3.90628844
2008-03-01,3.30327488
2008-04-01,2.82616654
2008-05-01,2.71078736
2008-06-01,2.63111826
2008-07-01,2.66521502
2008-08-01,2.77349005
2008-09-01,3.07878432
2008-10-01,3.43845026
2008-11-01,3.14406884
2008-12-01,2.93674224
2009-01-01,3.12742258
2009-02-01,2.96164373
2009-03-01,3.32074548
2009-04-01,3.50957585
2009-05-01,3.20295579
2009-06-01,2.87100822
2009-07-01,2.84426496
2009-08-01,3.00296567
2009-09-01,2.87255137
2009-10-01,3.09609449
2009-11-01,2.99297659
2009-12-01,3.11109841
2010-01-01,3.19617759
2010-02-01,3.91133459
2010-03-01,3.94287745
2010-04-01,3.6724565
2010-05-01,3.2142184
2010-06-01,2.96003644
2010-07-01,3.06505669
2010-08-01,3.33407958
2010-09-01,4.25121741
2010-10-01,4.90455264
2010-11-01,4.66839454
2010-12-01,3.80209951
2011-01-01,3.89686422
2011-02-01,4.16723305
2011-03-01,3.95970495
2011-04-01,3.53910665
2011-05-01,3.58896498
2011-06-01,3.6019862
2011-07-01,3.62010624
2011-08-01,3.79222843
2011-09-01,3.70962569
2011-10-01,3.97014136
2011-11-01,4.38081856
2011-12-01,5.48556962
2012-01-01,5.81696744
2012-02-01,6.5441654
2012-03-01,5.83280848
2012-04-01,4.66876229
2012-05-01,4.24142358
2012-06-01,4.19822587
2012-07-01,4.34549445
2012-08-01,4.74304198
2012-09-01,5.42957108
2012-10-01,4.70451206
2012-11-01,3.95370741
2012-12-01,3.95385984
2013-01-01,4.50606268
2013-02-01,4.40806843
2013-03-01,4.26652461
2013-04-01,5.08759401
2013-05-01,5.02705573
2013-06-01,4.45017155
2013-07-01,4.37880906
2013-08-01,4.33833762
2013-09-01,4.51279056
2013-10-01,5.84684639
2013-11-01,5.03439689
2013-12-01,4.67408928
2014-01-01,4.94579816
2014-02-01,4.28501567
2014-03-01,4.19607067
2014-04-01,4.50884738
2014-05-01,4.38172793
2014-06-01,4.57607792
2014-07-01,4.98733421
2014-08-01,5.00145488
2014-09-01,5.54713917
2014-10-01,5.783071
2014-11-01,5.25977587
2014-12-01,4.94118471
2015-01-01,5.91405775
2015-02-01,6.61592063
2015-03-01,7.39112441
2015-04-01,7.68262097
2015-05-01,5.75928221
2015-06-01,4.69667871
2015-07-01,4.72667066
2015-08-01,4.87103854
2015-09-01,5.56055942
2015-10-01,6.44888271
2015-11-01,6.43498186
2015-12-01,6.50862129
2016-01-01,7.4226139
2016-02-01,6.8216894
2016-03-01,5.60102617
2016-04-01,5.34046225
2016-05-01,5.22380223
2016-06-01,5.66103803
2016-07-01,6.15083147
2016-08-01,6.54307747
2016-09-01,7.24963604
2016-10-01,7.33136645
2016-11-01,6.42631929
2016-12-01,6.31607221
2017-01-01,7.78190689
2017-02-01,7.61727628
2017-03-01,6.71659076
2017-04-01,6.62458404
2017-05-01,5.73337004
2017-06-01,5.28384432
2017-07-01,5.57874987
2017-08-01,5.50720166
2017-09-01,5.77455265
2017-10-01,7.60877465
2017-11-01,7.05556666
2017-12-01,6.61465434
2018-01-01,6.16064203
2018-02-01,6.30021202
2018-03-01,7.05502336
2018-04-01,7.28178265
2018-05-01,6.97705926
2018-06-01,8.11791032
2018-07-01,8.21044961
2018-08-01,7.72961108
2018-09-01,8.72885205
2018-10-01,10.19880905
2018-11-01,8.83582133
2018-12-01,8.61422747
2019-01-01,11.95510266
2019-02-01,13.68140609
2019-03-01,13.41344179
2019-04-01,11.74168273
2019-05-01,8.89363176
2019-06-01,7.21796189
2019-07-01,7.09071096
2019-08-01,7.4022486
2019-09-01,7.53173866
2019-10-01,10.46733165
2019-11-01,8.53794578
2019-12-01,8.42081871
2020-01-01,9.42585349
2020-02-01,10.59606763
2020-03-01,10.01477326
2020-04-01,9.57746652
2020-05-01,8.56026862
2020-06-01,8.10074679
2020-07-01,7.55985957
2020-08-01,7.77121686
2020-09-01,8.32057664
2020-10-01,11.83632832
2020-11-01,12.21393153
2020-12-01,14.0595692
2021-01-01,12.28255193
2021-02-01,11.43458655
2021-03-01,10.93435151
2021-04-01,12.02692081
2021-05-01,10.72258808
2021-06-01,9.67231407
2021-07-01,10.14338404
2021-08-01,11.19296276
2021-09-01,12.58560843
2021-10-01,18.97514615
2021-11-01,15.18146988
2021-12-01,13.92070128
2022-01-01,16.2633336
2022-02-01,24.36398603
2022-03-01,26.89699916
2022-04-01,25.76219087
2022-05-01,18.14311556
2022-06-01,14.94083195
2022-07-01,16.07589282
2022-08-01,15.43343799
2022-09-01,16.80264349
2022-10-01,35.98341472
2022-11-01,33.63993863
2022-12-01,29.67969102
2023-01-01,30.59990591
2023-02-01,32.42846144
2023-03-01,30.0571436
2023-04-01,31.26808144
2023-05-01,27.36139689
2023-06-01,32.52265616
2023-07-01,41.54303745
2023-08-01,43.04626647
2023-09-01,41.6126592
2023-10-01,63.8785785
2023-11-01,48.12407997
2023-12-01,52.30824426
2024-01-01,60.38864784
2024-02-01,65.2000841
2024-03-01,63.13522555
2024-04-01,58.60093659
2024-05-01,51.81187164
2024-06-01,55.88710049
2024-07-01,58.564744
2024-08-01,62.22218349
2024-09-01,67.99946405
2024-10-01,94.67328292
2024-11-01,115.5130517
2024-12-01,123.4998829
2025-01-01,119.79431073
2025-02-01,98.59234331
2025-03-01,97.9265106
2025-04-01,98.96103286
2025-05-01,82.05215087
2025-06-01,79.92115375
2025-07-01,80.77408752
2025-08-01,90.08646905
2025-09-01,112.14791461
2025-10-01,147.85381575
2025-11-01,103.84278252
2025-12-01,88.04742841
2026-01-01,98.44
2026-02-01,112.91
2026-03-01,139.26
2026-04-01,145.06
2026-05-01,122.52
2026-06-01,92.14
2026-07-01,82.66
