tarih,TP.FG.J112
2005-01-01,122.45
2005-02-01,123.87
2005-03-01,128.77
2005-04-01,130.81
2005-05-01,131.28
2005-06-01,132.2
2005-07-01,133.81
2005-08-01,134.83
2005-09-01,138.56
2005-10-01,141.04
2005-11-01,142.0
2005-12-01,142.35
2006-01-01,144.0
2006-02-01,145.89
2006-03-01,146.57
2006-04-01,148.59
2006-05-01,154.38
2006-06-01,156.34
2006-07-01,157.16
2006-08-01,157.95
2006-09-01,162.99
2006-10-01,165.25
2006-11-01,165.7
2006-12-01,165.66
2007-01-01,168.61
2007-02-01,169.96
2007-03-01,170.6
2007-04-01,170.84
2007-05-01,171.12
2007-06-01,171.28
2007-07-01,172.15
2007-08-01,173.72
2007-09-01,178.03
2007-10-01,178.15
2007-11-01,178.94
2007-12-01,178.82
2008-01-01,185.84
2008-02-01,185.78
2008-03-01,187.25
2008-04-01,188.4
2008-05-01,188.84
2008-06-01,189.61
2008-07-01,190.49
2008-08-01,191.33
2008-09-01,194.22
2008-10-01,196.48
2008-11-01,197.66
2008-12-01,197.75
2009-01-01,204.17
2009-02-01,204.33
2009-03-01,205.57
2009-04-01,204.81
2009-05-01,205.0
2009-06-01,206.03
2009-07-01,205.79
2009-08-01,205.68
2009-09-01,208.28
2009-10-01,208.7
2009-11-01,208.73
2009-12-01,208.57
2010-01-01,210.46
2010-02-01,210.4
2010-03-01,211.27
2010-04-01,213.48
2010-05-01,214.46
2010-06-01,214.52
2010-07-01,215.6
2010-08-01,215.56
2010-09-01,216.69
2010-10-01,217.64
2010-11-01,217.7
2010-12-01,216.49
2011-01-01,221.33
2011-02-01,222.21
2011-03-01,223.92
2011-04-01,225.61
2011-05-01,228.79
2011-06-01,230.38
2011-07-01,232.84
2011-08-01,235.52
2011-09-01,237.48
2011-10-01,239.31
2011-11-01,237.43
2011-12-01,236.79
2012-01-01,239.92
2012-02-01,239.35
2012-03-01,240.65
2012-04-01,244.84
2012-05-01,244.03
2012-06-01,244.98
2012-07-01,246.08
2012-08-01,246.51
2012-09-01,250.75
2012-10-01,252.42
2012-11-01,251.99
2012-12-01,252.45
2013-01-01,256.91
2013-02-01,257.93
2013-03-01,258.58
2013-04-01,259.89
2013-05-01,261.31
2013-06-01,262.53
2013-07-01,261.46
2013-08-01,262.41
2013-09-01,269.91
2013-10-01,270.97
2013-11-01,269.25
2013-12-01,269.1
2014-01-01,276.64
2014-02-01,277.53
2014-03-01,281.13
2014-04-01,280.87
2014-05-01,282.31
2014-06-01,282.92
2014-07-01,284.16
2014-08-01,287.25
2014-09-01,288.69
2014-10-01,289.83
2014-11-01,287.3
2014-12-01,283.58
2015-01-01,285.51
2015-02-01,287.53
2015-03-01,293.64
2015-04-01,295.97
2015-05-01,297.02
2015-06-01,299.99
2015-07-01,298.53
2015-08-01,306.05
2015-09-01,310.06
2015-10-01,304.12
2015-11-01,299.49
2015-12-01,298.25
2016-01-01,304.03
2016-02-01,303.23
2016-03-01,303.37
2016-04-01,303.54
2016-05-01,302.88
2016-06-01,297.31
2016-07-01,298.63
2016-08-01,300.74
2016-09-01,301.76
2016-10-01,305.58
2016-11-01,303.71
2016-12-01,302.82
2017-01-01,305.08
2017-02-01,303.6
2017-03-01,305.19
2017-04-01,306.8
2017-05-01,307.99
2017-06-01,307.55
2017-07-01,312.92
2017-08-01,318.88
2017-09-01,329.42
2017-10-01,329.85
2017-11-01,329.5
2017-12-01,328.49
2018-01-01,329.19
2018-02-01,331.49
2018-03-01,338.15
2018-04-01,345.06
2018-05-01,351.16
2018-06-01,355.73
2018-07-01,365.75
2018-08-01,385.14
2018-09-01,404.25
2018-10-01,392.91
2018-11-01,384.7
2018-12-01,383.98
2019-01-01,388.91
2019-02-01,389.65
2019-03-01,392.35
2019-04-01,401.32
2019-05-01,406.72
2019-06-01,427.22
2019-07-01,433.04
2019-08-01,438.65
2019-09-01,459.62
2019-10-01,455.1
2019-11-01,442.13
2019-12-01,441.01
2020-01-01,447.78
2020-02-01,448.59
2020-03-01,446.1
2020-04-01,445.34
2020-05-01,444.82
2020-06-01,448.96
2020-07-01,457.98
2020-08-01,467.96
2020-09-01,468.51
2020-10-01,469.87
2020-11-01,468.14
2020-12-01,464.81
2021-01-01,469.72
2021-02-01,469.88
2021-03-01,477.75
2021-04-01,484.53
2021-05-01,482.95
2021-06-01,508.47
2021-07-01,531.38
2021-08-01,548.97
2021-09-01,574.76
2021-10-01,608.43
2021-11-01,623.24
2021-12-01,656.99
2022-01-01,706.83
2022-02-01,713.62
