dt,MK_F_BILESIK,UNIXTIME
1986-06-24,,"{""numberLong"":""519948000""}"
1986-06-25,,"{""numberLong"":""520034400""}"
1986-06-26,,"{""numberLong"":""520120800""}"
1986-06-27,0.0116,"{""numberLong"":""520207200""}"
1986-06-30,,"{""numberLong"":""520466400""}"
1986-07-01,,"{""numberLong"":""520552800""}"
1986-07-02,,"{""numberLong"":""520639200""}"
1986-07-03,,"{""numberLong"":""520725600""}"
1986-07-04,0.0118,"{""numberLong"":""520812000""}"
1986-07-07,,"{""numberLong"":""521071200""}"
1986-07-08,,"{""numberLong"":""521157600""}"
1986-07-09,,"{""numberLong"":""521244000""}"
1986-07-10,,"{""numberLong"":""521330400""}"
1986-07-11,0.012,"{""numberLong"":""521416800""}"
1986-07-14,,"{""numberLong"":""521676000""}"
1986-07-15,,"{""numberLong"":""521762400""}"
1986-07-16,,"{""numberLong"":""521848800""}"
1986-07-17,,"{""numberLong"":""521935200""}"
1986-07-18,0.0123,"{""numberLong"":""522021600""}"
1986-07-21,,"{""numberLong"":""522280800""}"
1986-07-22,,"{""numberLong"":""522367200""}"
1986-07-23,,"{""numberLong"":""522453600""}"
1986-07-24,,"{""numberLong"":""522540000""}"
1986-07-25,0.0125,"{""numberLong"":""522626400""}"
1986-07-28,,"{""numberLong"":""522885600""}"
1986-07-29,,"{""numberLong"":""522972000""}"
1986-07-30,,"{""numberLong"":""523058400""}"
1986-07-31,,"{""numberLong"":""523144800""}"
1986-08-01,0.0126,"{""numberLong"":""523231200""}"
1986-08-04,,"{""numberLong"":""523490400""}"
1986-08-05,,"{""numberLong"":""523576800""}"
1986-08-06,,"{""numberLong"":""523663200""}"
1986-08-07,,"{""numberLong"":""523749600""}"
1986-08-08,0.0131,"{""numberLong"":""523836000""}"
1986-08-11,,"{""numberLong"":""524095200""}"
1986-08-12,,"{""numberLong"":""524181600""}"
1986-08-13,,"{""numberLong"":""524268000""}"
1986-08-14,,"{""numberLong"":""524354400""}"
1986-08-15,0.0136,"{""numberLong"":""524440800""}"
1986-08-18,,"{""numberLong"":""524700000""}"
1986-08-19,,"{""numberLong"":""524786400""}"
1986-08-20,,"{""numberLong"":""524872800""}"
1986-08-21,,"{""numberLong"":""524959200""}"
1986-08-22,0.014,"{""numberLong"":""525045600""}"
1986-08-25,,"{""numberLong"":""525304800""}"
1986-08-26,,"{""numberLong"":""525391200""}"
1986-08-27,,"{""numberLong"":""525477600""}"
1986-08-28,,"{""numberLong"":""525564000""}"
1986-08-29,0.0143,"{""numberLong"":""525650400""}"
1986-09-01,,"{""numberLong"":""525909600""}"
1986-09-02,,"{""numberLong"":""525996000""}"
1986-09-03,,"{""numberLong"":""526082400""}"
1986-09-04,,"{""numberLong"":""526168800""}"
1986-09-05,0.0152,"{""numberLong"":""526255200""}"
1986-09-08,,"{""numberLong"":""526514400""}"
1986-09-09,,"{""numberLong"":""526600800""}"
1986-09-10,,"{""numberLong"":""526687200""}"
1986-09-11,,"{""numberLong"":""526773600""}"
1986-09-12,0.0153,"{""numberLong"":""526860000""}"
1986-09-15,,"{""numberLong"":""527119200""}"
