dt,TRY.MT02,TRY.MT06
2003-09-05,34.2,34.01
2003-09-12,33.67,34.07
2003-09-19,33.37,32.42
2003-09-26,31.82,30.86
2003-10-03,31.83,31.21
2003-10-10,30.63,30.08
2003-10-17,28.93,28.69
2003-10-24,27.77,28.03
2003-10-31,27.53,28.14
2003-11-07,28.89,28.26
2003-11-14,28.48,27.86
2003-11-21,29.07,28.64
2003-11-28,27.0,28.17
2003-12-05,27.38,28.1
2003-12-12,29.0,28.73
2003-12-19,27.16,27.77
2003-12-26,26.86,27.69
2004-01-02,27.37,28.09
2004-01-09,25.68,26.81
2004-01-16,26.36,26.38
2004-01-23,25.2,25.42
2004-01-30,25.56,25.67
2004-02-06,25.97,25.14
2004-02-13,24.53,24.05
2004-02-20,23.9,23.6
2004-02-27,23.36,23.38
2004-03-05,23.54,23.2
2004-03-12,23.64,23.08
2004-03-19,22.89,22.49
2004-03-26,22.57,21.79
2004-04-02,22.55,21.5
2004-04-09,21.79,21.36
2004-04-16,21.74,21.42
2004-04-23,21.32,21.4
2004-04-30,21.64,21.59
2004-05-07,21.87,21.52
2004-05-14,21.48,21.57
2004-05-21,22.26,21.84
2004-05-28,21.8,21.51
2004-06-04,21.58,21.29
2004-06-11,21.8,21.9
2004-06-18,21.87,21.66
2004-06-25,22.04,21.74
2004-07-02,22.03,21.85
2004-07-09,22.65,21.95
2004-07-16,22.32,21.78
2004-07-23,22.45,22.04
2004-07-30,21.68,21.65
2004-08-06,21.72,21.51
2004-08-13,21.71,21.35
2004-08-20,22.24,21.23
2004-08-27,21.79,21.27
2004-09-03,21.87,21.13
2004-09-10,21.87,21.08
2004-09-17,21.34,20.72
2004-09-24,21.46,20.73
2004-10-01,21.14,20.65
2004-10-08,21.8,20.56
2004-10-15,21.81,20.62
2004-10-22,21.57,20.58
2004-10-29,21.24,20.6
2004-11-05,21.4,20.38
2004-11-12,21.64,21.6
2004-11-19,21.7,20.77
2004-11-26,21.89,20.72
2004-12-03,21.4,20.62
2004-12-10,21.08,20.66
2004-12-17,20.94,20.64
2004-12-24,20.31,19.95
2004-12-31,20.27,19.92
2005-01-07,19.45,19.28
2005-01-14,19.02,18.8
2005-01-21,19.38,18.77
2005-01-28,18.49,18.37
2005-02-04,18.67,18.42
2005-02-11,18.55,18.26
2005-02-18,18.43,18.11
2005-02-25,17.78,17.86
2005-03-04,17.66,17.45
2005-03-11,17.24,17.27
2005-03-18,16.91,16.99
2005-03-25,17.03,16.69
2005-04-01,17.21,16.33
2005-04-08,17.02,16.61
2005-04-15,16.75,16.43
2005-04-22,16.78,16.53
2005-04-29,16.85,16.52
2005-05-06,16.92,16.66
2005-05-13,17.02,16.49
2005-05-20,16.79,16.33
2005-05-27,17.05,16.4
2005-06-03,17.19,16.36
2005-06-10,16.85,16.29
2005-06-17,16.81,16.16
2005-06-24,16.86,16.4
2005-07-01,16.92,16.69
2005-07-08,16.8,16.39
2005-07-15,16.57,16.0
2005-07-22,16.52,16.22
2005-07-29,16.73,16.25
2005-08-05,17.0,16.27
2005-08-12,16.65,16.12
2005-08-19,16.85,16.16
2005-08-26,16.66,16.22
2005-09-02,16.99,16.22
2005-09-09,16.77,16.22
2005-09-16,16.78,16.3
2005-09-23,17.04,16.42
2005-09-30,16.45,16.4
2005-10-07,16.94,16.35
2005-10-14,16.67,16.15
2005-10-21,16.29,15.84
2005-10-28,16.62,16.08
2005-11-04,16.58,16.14
2005-11-11,16.45,15.78
