dt,TRY.MT02,TRY.MT06
2000-06-02,,
2000-06-09,,
2000-06-16,,
2000-06-23,,
2000-06-30,,
2000-07-07,,
2000-07-14,,
2000-07-21,,
2000-07-28,,
2000-08-04,,
2000-08-11,,
2000-08-18,,
2000-08-25,,
2000-09-01,,
2000-09-08,,
2000-09-15,,
2000-09-22,,
2000-09-29,,
2000-10-06,,
2000-10-13,,
2000-10-20,,
2000-10-27,,
2000-11-03,,
2000-11-10,,
2000-11-17,,
2000-11-24,,
2000-12-01,,
2000-12-08,,
2000-12-15,,
2000-12-22,,
2000-12-29,,
2001-01-05,,
2001-01-12,,
2001-01-19,,
2001-01-26,,
2001-02-02,,
2001-02-09,,
2001-02-16,,
2001-02-23,,
2001-03-02,,
2001-03-09,,
2001-03-16,,
2001-03-23,,
2001-03-30,,
2001-04-06,,
2001-04-13,,
2001-04-20,,
2001-04-27,,
2001-05-04,,
2001-05-11,,
2001-05-18,,
2001-05-25,,
2001-06-01,,
2001-06-08,,
2001-06-15,,
2001-06-22,,
2001-06-29,,
2001-07-06,,
2001-07-13,,
2001-07-20,,
2001-07-27,,
2001-08-03,,
2001-08-10,,
2001-08-17,,
2001-08-24,,
2001-08-31,,
2001-09-07,,
2001-09-14,,
2001-09-21,,
2001-09-28,,
2001-10-05,,
2001-10-12,,
2001-10-19,,
2001-10-26,,
2001-11-02,,
2001-11-09,,
2001-11-16,,
2001-11-23,,
2001-11-30,,
2001-12-07,,
2001-12-14,,
2001-12-21,,
2001-12-28,,
2002-01-04,65.06,63.89
2002-01-11,60.15,62.13
2002-01-18,60.94,62.22
2002-01-25,59.74,61.42
2002-02-01,59.35,61.27
2002-02-08,60.12,61.89
2002-02-15,59.38,61.48
2002-02-22,58.71,60.54
2002-03-01,59.26,60.29
2002-03-08,55.87,58.86
2002-03-15,57.08,57.94
2002-03-22,55.68,56.58
2002-03-29,55.73,57.33
2002-04-05,53.77,55.48
2002-04-12,52.41,55.04
2002-04-19,51.37,53.73
2002-04-26,51.26,53.12
2002-05-03,49.89,51.11
2002-05-10,49.73,50.3
2002-05-17,48.25,49.63
2002-05-24,49.13,49.97
2002-05-31,50.14,50.41
2002-06-07,49.35,50.51
2002-06-14,49.77,50.39
2002-06-21,50.95,50.49
2002-06-28,50.07,50.84
2002-07-05,50.23,50.86
2002-07-12,51.56,51.29
2002-07-19,51.04,51.42
2002-07-26,51.42,51.21
2002-08-02,51.39,50.9
2002-08-09,51.57,50.58
2002-08-16,52.85,51.84
2002-08-23,48.96,50.29
2002-08-30,50.54,50.35
2002-09-06,50.44,50.56
2002-09-13,49.75,50.19
2002-09-20,50.33,50.28
2002-09-27,50.69,50.97
2002-10-04,53.66,51.76
2002-10-11,50.37,50.57
2002-10-18,49.84,50.43
2002-10-25,49.22,50.11
2002-11-01,49.6,49.72
2002-11-08,49.51,49.85
2002-11-15,46.89,47.74
2002-11-22,46.53,47.1
2002-11-29,46.82,47.46
2002-12-06,45.95,46.67
2002-12-13,46.72,47.2
2002-12-20,45.68,46.73
2002-12-27,46.81,47.12
2003-01-03,47.82,47.96
2003-01-10,46.75,47.27
2003-01-17,46.5,47.5
2003-01-24,47.7,47.57
2003-01-31,47.29,47.6
2003-02-07,48.45,48.32
2003-02-14,49.06,47.38
2003-02-21,48.45,48.29
2003-02-28,47.26,48.17
2003-03-07,47.26,48.85
2003-03-14,44.78,47.04
2003-03-21,45.05,46.84
2003-03-28,45.26,47.41
2003-04-04,45.6,47.31
2003-04-11,46.33,47.3
2003-04-18,46.5,47.5
2003-04-25,46.13,47.17
2003-05-02,43.3,44.26
2003-05-09,43.2,44.15
2003-05-16,42.74,43.91
2003-05-23,43.0,44.08
2003-05-30,42.55,43.51
2003-06-06,42.83,42.6
2003-06-13,40.26,41.2
2003-06-20,39.83,40.31
2003-06-27,40.23,39.95
2003-07-04,40.91,40.83
2003-07-11,40.62,40.73
2003-07-18,40.28,39.77
2003-07-25,37.93,38.47
2003-08-01,37.84,37.91
2003-08-08,36.66,36.61
2003-08-15,35.41,35.2
2003-08-22,34.81,35.12
2003-08-29,35.01,34.3
