dt,AB.N06
2014-02-07,89502001.0
2014-02-14,87999750.0
2014-02-21,90952454.0
2014-02-28,91576057.0
2014-03-07,91470383.0
2014-03-14,92343076.0
2014-03-21,91243407.0
2014-03-28,88553284.0
2014-04-04,84956978.0
2014-04-11,86153103.0
2014-04-18,86242047.0
2014-04-25,84980431.0
2014-05-02,83733625.0
2014-05-09,82977118.0
2014-05-16,82825968.0
2014-05-23,84129681.0
2014-05-30,85021258.0
2014-06-06,86265319.0
2014-06-13,85975375.0
2014-06-20,87441112.0
2014-06-27,90869810.0
2014-07-04,91756869.0
2014-07-11,91907639.0
2014-07-18,91531144.0
2014-07-25,90286964.0
2014-08-01,91676485.0
2014-08-08,92705554.0
2014-08-15,92766049.0
2014-08-22,93396263.0
2014-08-29,93256062.0
2014-09-05,93154083.0
2014-09-12,95031561.0
2014-09-19,95519634.0
2014-09-26,97744419.0
2014-10-03,99238180.0
2014-10-10,98847522.0
2014-10-17,98904705.0
2014-10-24,97217964.0
2014-10-31,97216050.0
2014-11-07,97503389.0
2014-11-14,97392071.0
2014-11-21,96638495.0
2014-11-28,97916085.0
2014-12-05,98228727.0
2014-12-12,99208160.0
2014-12-19,99136097.0
2014-12-26,98185822.0
2015-01-02,100816515.0
2015-01-09,99052086.0
2015-01-16,100541019.0
2015-01-23,102152835.0
2015-01-30,105179702.0
2015-02-06,106450292.0
2015-02-13,108074308.0
2015-02-20,103673979.0
2015-02-27,104353431.0
2015-03-06,108050407.0
2015-03-13,107417590.0
2015-03-20,97127531.0
2015-03-27,96171709.0
2015-04-03,94810703.0
2015-04-10,95380076.0
2015-04-17,100943689.0
2015-04-24,98472920.0
2015-05-01,97949220.0
2015-05-08,98777663.0
2015-05-15,95772511.0
2015-05-22,92072083.0
2015-05-29,95058245.0
2015-06-05,96022363.0
2015-06-12,97547295.0
2015-06-19,95317720.0
2015-06-26,92666086.0
2015-07-03,95789795.0
2015-07-10,94941962.0
2015-07-17,92686919.0
2015-07-24,93762048.0
2015-07-31,94881164.0
2015-08-07,94583130.0
2015-08-14,94349115.0
2015-08-21,99070062.0
2015-08-28,95978591.0
2015-09-04,97830336.0
2015-09-11,100479302.0
2015-09-18,97448486.0
2015-09-25,96305552.0
2015-10-02,95623946.0
2015-10-09,92964919.0
2015-10-16,90988280.0
2015-10-23,89139024.0
2015-10-30,92719811.0
2015-11-06,91630020.0
2015-11-13,91024665.0
2015-11-20,88359997.0
2015-11-27,90787639.0
2015-12-04,88302392.0
2015-12-11,88768556.0
2015-12-18,87014288.0
2015-12-25,85766353.0
2016-01-01,83660996.0
2016-01-08,86487247.0
2016-01-15,85374440.0
2016-01-22,85143302.0
2016-01-29,84175955.0
2016-02-05,81874832.0
2016-02-12,82267676.0
2016-02-19,80843218.0
2016-02-26,79236830.0
2016-03-04,78259074.0
2016-03-11,81381405.0
2016-03-18,77713899.0
2016-03-25,77357358.0
2016-04-01,77230315.0
2016-04-08,77632769.0
2016-04-15,77914579.0
2016-04-22,76038706.0
2016-04-29,77558845.0
2016-05-06,86882761.0
2016-05-13,89397249.0
2016-05-20,89316488.0
2016-05-27,88793493.0
2016-06-03,90470584.0
2016-06-10,92785870.0
2016-06-17,92939322.0
2016-06-24,91382864.0
2016-07-01,97210195.0
2016-07-08,97075237.0
2016-07-15,97844813.0
2016-07-22,103553890.0
2016-07-29,102397334.0
2016-08-05,102720579.0
2016-08-12,101222514.0
2016-08-19,100078170.0
2016-08-26,100761462.0
2016-09-02,101694513.0
2016-09-09,102576852.0
2016-09-16,102688655.0
2016-09-23,102281758.0
2016-09-30,98262043.0
2016-10-07,100204132.0
2016-10-14,101572381.0
2016-10-21,104512875.0
2016-10-28,108999916.0
2016-11-04,109717338.0
2016-11-11,113953141.0
2016-11-18,116960395.0
2016-11-25,121368731.0
2016-12-02,122609948.0
2016-12-09,120185301.0
2016-12-16,126913841.0
2016-12-23,124635363.0
2016-12-30,125027135.0
2017-01-06,131998853.0
2017-01-13,141794365.0
2017-01-20,135538175.0
2017-01-27,140789454.0
2017-02-03,135116674.0
2017-02-10,133889765.0
2017-02-17,120914219.0
2017-02-24,121999585.0
2017-03-03,120424317.0
2017-03-10,127449459.0
2017-03-17,121278183.0
2017-03-24,113288403.0
2017-03-31,110558714.0
2017-04-07,111970399.0
2017-04-14,109107533.0
2017-04-21,101080984.0
2017-04-28,99451379.0
2017-05-05,103271769.0
2017-05-12,105237297.0
2017-05-19,102615718.0
2017-05-26,101821213.0
2017-06-02,102966444.0
2017-06-09,102589701.0
2017-06-16,108581699.0
2017-06-23,105198044.0
2017-06-30,105153351.0
2017-07-07,109343178.0
2017-07-14,99526485.0
2017-07-21,98782920.0
2017-07-28,101229339.0
2017-08-04,102598524.0
2017-08-11,102050281.0
2017-08-18,100793845.0
2017-08-25,107600078.0
2017-09-01,108239094.0
2017-09-08,107842785.0
2017-09-15,109452915.0
2017-09-22,110032431.0
2017-09-29,117372485.0
2017-10-06,120985116.0
2017-10-13,124620774.0
2017-10-20,116658675.0
2017-10-27,128388652.0
2017-11-03,134032782.0
2017-11-10,139527180.0
2017-11-17,132492266.0
2017-11-24,140419792.0
2017-12-01,125572824.0
2017-12-08,131905179.0
2017-12-15,135550814.0
2017-12-22,125315940.0
2017-12-29,117736032.0
2018-01-05,126892848.0
2018-01-12,122240932.0
2018-01-19,128202722.0
2018-01-26,128474706.0
2018-02-02,127183442.0
2018-02-09,125811964.0
2018-02-16,122564923.0
2018-02-23,119989992.0
2018-03-02,122287494.0
2018-03-09,122706474.0
2018-03-16,120834012.0
2018-03-23,121052038.0
2018-03-30,117029837.0
2018-04-06,107587785.0
2018-04-13,125223733.0
2018-04-20,120030515.0
2018-04-27,129520889.0
2018-05-04,124390777.0
2018-05-11,138385251.0
2018-05-18,136021124.0
